MapCode,TH_Taxa,FIRE_Taxa,INV_Taxa,OVG_Taxa,TH_Taxa_km2,Nat2022km2,pro_FIRE,pro_INV,pro_OVG,EOOkm2,AOO1prc,Qualify,B1iii,B2iii
FFd7,116,23,111,59,0.970061883,119.58,0.198275862,0.956896552,0.50862069,1247.806155,17,1,CR,EN
FFd8,39,12,31,26,0.898203593,43.42,0.307692308,0.794871795,0.666666667,858.792765,7,1,CR,EN
FFd9,75,24,66,25,0.283768445,264.3,0.32,0.88,0.333333333,2815.361154,27,1,EN,VU
FFf1,185,46,179,98,0.792257291,233.51,0.248648649,0.967567568,0.52972973,3002.170287,24,1,EN,VU
FFf2,49,15,43,34,2.52968508,19.37,0.306122449,0.87755102,0.693877551,108.751919,3,1,CR,EN
FFg1,11,3,2,7,0.171848149,64.01,0.272727273,0.181818182,0.636363636,652.4491809,7,0,LC,LC
FFg2,172,79,164,91,0.615054532,279.65,0.459302326,0.953488372,0.529069767,2695.816694,26,1,EN,VU
FFg3,89,38,82,42,2.848911652,31.24,0.426966292,0.921348315,0.471910112,417.5633165,5,1,CR,EN
FFg4,3,1,2,1,0.212164074,14.14,0.333333333,0.666666667,0.333333333,161.5855108,3,0,LC,LC
FFg5,23,5,19,10,0.129446195,177.68,0.217391304,0.826086957,0.434782609,913.7123884,15,0,LC,LC
FFh1,17,4,10,8,0.085470085,198.9,0.235294118,0.588235294,0.470588235,1717.98276,19,0,LC,LC
FFh10,2,0,2,1,0.007195021,277.97,0,1,0.5,2892.61647,29,0,LC,LC
FFh11,23,16,22,9,4.291044776,5.36,0.695652174,0.956521739,0.391304348,20.38625867,1,0,LC,LC
FFh2,4,0,0,3,0.039490572,101.29,0,0,0.75,436.1782593,10,0,LC,LC
FFh3,2,0,1,1,0.031407035,63.68,0,0.5,0.5,942.3442757,12,0,LC,LC
FFh4,75,38,68,42,0.368224666,203.68,0.506666667,0.906666667,0.56,3739.40539,26,1,EN,VU
FFh5,63,34,61,28,1.758303098,35.83,0.53968254,0.968253968,0.444444444,2187.982602,9,1,EN,EN
FFh6,75,29,71,33,1.117401669,67.12,0.386666667,0.946666667,0.44,1262.866847,12,1,CR,EN
FFh7,68,20,61,36,0.459056234,148.13,0.294117647,0.897058824,0.529411765,1052.033663,13,1,CR,EN
FFh8,12,1,7,3,0.083073728,144.45,0.083333333,0.583333333,0.25,2548.91743,15,0,LC,LC
FFh9,33,11,30,11,0.135395725,243.73,0.333333333,0.909090909,0.333333333,5140.617255,29,0,LC,LC
FFl1,126,18,123,40,0.489472457,257.42,0.142857143,0.976190476,0.317460317,1941.593189,19,1,CR,EN
FFl2,94,16,90,38,0.142062628,661.68,0.170212766,0.957446809,0.404255319,1679.06417,21,0,LC,LC
FFl3,67,15,66,22,0.107647815,622.4,0.223880597,0.985074627,0.328358209,2439.184831,26,0,LC,LC
FFq1,4,0,2,4,0.081582704,49.03,0,0.5,1,257.8622341,6,0,LC,LC
FFq2,25,5,10,6,0.015456619,1617.43,0.2,0.4,0.24,3419.42712,39,0,LC,LC
FFq3,12,2,5,8,0.009601229,1249.84,0.166666667,0.416666667,0.666666667,7718.464975,63,0,LC,LC
FFq4,22,10,18,15,0.240963855,91.3,0.454545455,0.818181818,0.681818182,1138.182575,12,0,LC,LC
FFq5,0,0,0,0,0,388.3,0,0,0,4626.252806,40,0,LC,LC
FFq6,11,5,7,6,0.016452288,668.6,0.454545455,0.636363636,0.545454545,3901.340334,42,0,LC,LC
FFs1,89,17,32,23,0.111198571,800.37,0.191011236,0.359550562,0.258426966,3631.899032,31,0,LC,LC
FFs10,73,24,71,20,0.072387601,1008.46,0.328767123,0.97260274,0.273972603,2437.235578,27,0,LC,LC
FFs11,143,48,132,21,0.187307617,763.45,0.335664336,0.923076923,0.146853147,1667.08404,24,1,CR,VU
FFs12,177,44,168,45,0.168595514,1049.85,0.248587571,0.949152542,0.254237288,3385.397108,37,1,EN,VU
FFs13,43,10,38,12,0.082558943,520.84,0.23255814,0.88372093,0.279069767,1515.09612,19,0,LC,LC
FFs14,52,13,52,8,0.15611865,333.08,0.25,1,0.153846154,1135.420239,15,1,CR,EN
FFs15,47,21,36,17,0.051855775,906.36,0.446808511,0.765957447,0.361702128,7923.451361,52,0,LC,LC
FFs16,60,26,51,10,0.051138252,1173.29,0.433333333,0.85,0.166666667,5411.657559,53,0,LC,LC
FFs17,33,7,30,11,0.328980161,100.31,0.212121212,0.909090909,0.333333333,159.5605787,7,1,CR,EN
FFs18,44,20,40,12,0.060078922,732.37,0.454545455,0.909090909,0.272727273,1785.451017,26,0,LC,LC
FFs19,57,31,56,9,0.054409041,1047.62,0.543859649,0.98245614,0.157894737,4173.596256,43,0,LC,LC
FFs2,65,19,32,23,0.069308937,937.83,0.292307692,0.492307692,0.353846154,5082.237246,53,0,LC,LC
FFs20,39,20,33,11,0.02487705,1567.71,0.512820513,0.846153846,0.282051282,3079.756733,46,0,LC,LC
FFs21,7,3,5,3,0.022010502,318.03,0.428571429,0.714285714,0.428571429,1079.901515,18,0,LC,LC
FFs22,8,2,6,5,0.020758732,385.38,0.25,0.75,0.625,1177.078043,16,0,LC,LC
FFs23,17,13,11,3,0.020091713,846.12,0.764705882,0.647058824,0.176470588,4474.320015,43,0,LC,LC
FFs24,15,11,10,3,0.01386027,1082.23,0.733333333,0.666666667,0.2,4384.958593,49,0,LC,LC
FFs25,7,6,5,1,0.021154427,330.9,0.857142857,0.714285714,0.142857143,709.679405,14,0,LC,LC
FFs26,14,11,11,2,0.048777089,287.02,0.785714286,0.785714286,0.142857143,592.6839483,12,0,LC,LC
FFs27,36,13,28,13,0.016697666,2155.99,0.361111111,0.777777778,0.361111111,8603.635103,69,0,LC,LC
FFs28,42,17,34,17,0.011362407,3696.4,0.404761905,0.80952381,0.404761905,10476.01296,102,0,LC,LC
FFs29,37,20,32,13,0.280941534,131.7,0.540540541,0.864864865,0.351351351,445.7764344,8,1,CR,EN
FFs3,30,10,16,8,0.063911376,469.4,0.333333333,0.533333333,0.266666667,2787.288284,25,0,LC,LC
FFs30,4,2,3,0,0.106695119,37.49,0.5,0.75,0,4707.702167,9,0,LC,LC
FFs31,12,12,7,1,0.236266982,50.79,1,0.583333333,0.083333333,1118.08715,11,0,LC,LC
FFs32,30,9,14,10,0.084659668,354.36,0.3,0.466666667,0.333333333,1307.54331,16,0,LC,LC
FFs4,70,23,34,18,0.031352736,2232.66,0.328571429,0.485714286,0.257142857,4973.867617,53,0,LC,LC
FFs5,42,12,30,10,0.039966885,1050.87,0.285714286,0.714285714,0.238095238,2233.630916,30,0,LC,LC
FFs6,57,24,39,24,0.153775596,370.67,0.421052632,0.684210526,0.421052632,856.7413311,13,1,CR,EN
FFs7,8,2,6,2,0.021555208,371.14,0.25,0.75,0.25,1029.757367,13,0,LC,LC
FFs8,16,3,13,5,0.05069066,315.64,0.1875,0.8125,0.3125,787.3268006,14,0,LC,LC
FFs9,98,29,86,31,0.482259731,203.21,0.295918367,0.87755102,0.316326531,488.4404375,12,1,CR,EN
FFt1,6,1,2,3,0.015161087,395.75,0.166666667,0.333333333,0.5,1202.115011,22,0,LC,LC
FFt2,9,4,8,5,0.04956493,181.58,0.444444444,0.888888889,0.555555556,957.0193591,11,0,LC,LC
FOa1,7,3,4,3,0.052461965,133.43,0.428571429,0.571428571,0.428571429,78523.07413,34,0,LC,LC
FOa2,6,2,4,1,0.082315818,72.89,0.333333333,0.666666667,0.166666667,17901.17785,22,0,LC,LC
FOa3,3,1,2,0,0.145772595,20.58,0.333333333,0.666666667,0,38231.9017,4,0,LC,LC
FOz1,11,6,8,1,0.017397906,632.26,0.545454545,0.727272727,0.090909091,125260.6447,59,0,LC,LC
FOz2,13,5,7,6,0.071252398,182.45,0.384615385,0.538461538,0.461538462,181409.8919,61,0,LC,LC
FOz3,22,6,11,7,0.02488913,883.92,0.272727273,0.5,0.318181818,151896.5129,183,0,LC,LC
FOz4,10,3,5,3,0.034636833,288.71,0.3,0.5,0.3,47077.72723,50,0,LC,LC
FOz5,53,22,30,21,0.056007609,946.3,0.41509434,0.566037736,0.396226415,178728.6377,182,0,LC,LC
FOz6,8,1,2,1,0.053025784,150.87,0.125,0.25,0.125,51589.81548,14,0,LC,LC
FOz7,44,15,24,16,0.085382182,515.33,0.340909091,0.545454545,0.363636364,25652.53,82,0,LC,LC
FOz8,14,2,2,5,0.057360593,244.07,0.142857143,0.142857143,0.357142857,4701.764351,33,0,LC,LC
FOz9,1,1,1,1,0.012309207,81.24,1,1,1,40154.37645,19,0,LC,LC
FRa1,36,8,19,17,0.206280083,174.52,0.222222222,0.527777778,0.472222222,2225.363994,24,0,LC,LC
FRa2,38,21,38,31,1.04195229,36.47,0.552631579,1,0.815789474,723.0662765,8,1,CR,EN
FRc1,86,44,85,75,6.739811912,12.76,0.511627907,0.988372093,0.872093023,5168.441968,1,1,EN,CR
FRc2,63,20,51,47,2.205110256,28.57,0.317460317,0.80952381,0.746031746,6229.923698,10,1,EN,EN
FRd1,13,1,4,5,0.06590621,197.25,0.076923077,0.307692308,0.384615385,3622.143145,20,0,LC,LC
FRd2,4,1,0,1,0.007075639,565.32,0.25,0,0.25,2005.234376,24,0,LC,LC
FRg1,18,2,3,15,0.071202532,252.8,0.111111111,0.166666667,0.833333333,6593.15449,26,0,LC,LC
FRg2,241,102,224,154,1.566053675,153.89,0.423236515,0.929460581,0.639004149,3605.80829,29,1,EN,VU
FRg3,0,0,0,0,0,18.83,0,0,0,25.58366204,1,0,LC,LC
FRl1,8,0,1,6,0.018490269,432.66,0,0.125,0.75,1159.866766,19,0,LC,LC
FRs1,11,0,6,3,0.056108136,196.05,0,0.545454545,0.272727273,2154.65089,20,0,LC,LC
FRs10,56,30,55,37,22.31075697,2.51,0.535714286,0.982142857,0.660714286,44.58345309,1,1,CR,CR
FRs11,107,27,96,67,0.699117935,153.05,0.252336449,0.897196262,0.626168224,1846.579477,24,1,CR,VU
FRs12,97,22,80,69,0.495732611,195.67,0.226804124,0.824742268,0.711340206,4180.985879,33,1,EN,VU
FRs13,115,24,79,74,0.289169956,397.69,0.208695652,0.686956522,0.643478261,4591.980171,49,1,EN,VU
FRs14,40,10,30,21,0.122571551,326.34,0.25,0.75,0.525,1844.316858,24,0,LC,LC
FRs15,4,0,2,3,0.015136608,264.26,0,0.5,0.75,1248.264085,20,0,LC,LC
FRs16,17,3,6,11,0.015397296,1104.09,0.176470588,0.352941176,0.647058824,5903.943571,47,0,LC,LC
FRs17,9,3,5,5,0.140208755,64.19,0.333333333,0.555555556,0.555555556,3237.255399,22,0,LC,LC
FRs18,1,0,1,1,0.00842744,118.66,0,1,1,424.8912812,9,0,LC,LC
FRs19,14,8,12,9,0.089737837,156.01,0.571428571,0.857142857,0.642857143,2107.5874,17,0,LC,LC
FRs2,25,0,10,12,0.239532433,104.37,0,0.4,0.48,717.4438879,9,0,LC,LC
FRs20,18,6,12,7,1.576182137,11.42,0.333333333,0.666666667,0.388888889,417.2272384,5,0,LC,LC
FRs3,22,1,2,14,0.006988031,3148.24,0.045454545,0.090909091,0.636363636,12844.59637,81,0,LC,LC
FRs4,27,7,17,14,0.127683723,211.46,0.259259259,0.62962963,0.518518519,1760.893134,17,0,LC,LC
FRs5,3,1,1,2,0.002501751,1199.16,0.333333333,0.333333333,0.666666667,3289.691308,32,0,LC,LC
FRs6,35,2,8,19,0.019337337,1809.97,0.057142857,0.228571429,0.542857143,6248.108058,65,0,LC,LC
FRs7,56,12,29,36,0.043299081,1293.33,0.214285714,0.517857143,0.642857143,8781.296478,57,0,LC,LC
FRs8,131,47,94,83,0.212524335,616.4,0.358778626,0.717557252,0.633587786,4785.752309,37,1,EN,VU
FRs9,225,109,201,156,0.462772522,486.2,0.484444444,0.893333333,0.693333333,10531.74819,91,1,EN,LC
FS1,25,3,12,13,0.106067034,235.7,0.12,0.48,0.52,1253.141566,15,0,LC,LC
FS10,0,0,0,0,0,305.59,0,0,0,8530.91948,33,0,LC,LC
FS11,0,0,0,0,0,39.44,0,0,0,85.69274714,5,0,LC,LC
FS12,0,0,0,0,0,91.07,0,0,0,4956.790609,10,0,LC,LC
FS13,0,0,0,0,0,35.18,0,0,0,801.0552353,4,0,LC,LC
FS14,0,0,0,0,0,84.94,0,0,0,1119.904783,8,0,LC,LC
FS2,84,15,55,53,1.072386059,78.33,0.178571429,0.654761905,0.630952381,1102.319439,13,1,CR,EN
FS3,97,23,71,57,0.167019646,580.77,0.237113402,0.731958763,0.587628866,5158.496452,42,1,EN,VU
FS4,46,3,24,25,0.929668553,49.48,0.065217391,0.52173913,0.543478261,793.4973066,10,0,LC,LC
FS5,71,11,52,42,0.242469777,292.82,0.154929577,0.732394366,0.591549296,4473.393093,33,1,EN,VU
FS6,91,20,83,41,0.493438889,184.42,0.21978022,0.912087912,0.450549451,2792.449494,19,1,EN,EN
FS7,106,17,99,38,2.828175027,37.48,0.160377358,0.933962264,0.358490566,6173.867055,8,1,EN,EN
FS9,10,6,9,2,0.807754443,12.38,0.6,0.9,0.2,234.5165512,2,0,LC,LC
Gd1,18,4,5,8,0.004282839,4202.82,0.222222222,0.277777778,0.444444444,13760.36291,120,0,LC,LC
Gd10,4,0,1,4,0.001452697,2753.5,0,0.25,1,11951.10056,90,0,LC,LC
Gd2,3,1,1,2,0.019536338,153.56,0.333333333,0.333333333,0.666666667,1628.709932,19,0,LC,LC
Gd3,0,0,0,0,0,2408.8,0,0,0,5034.783727,54,0,LC,LC
Gd4,11,6,6,9,0.001835309,5993.54,0.545454545,0.545454545,0.818181818,27746.50666,174,0,LC,LC
Gd5,11,3,8,10,0.009856101,1116.06,0.272727273,0.727272727,0.909090909,6787.27755,47,0,LC,LC
Gd6,3,1,0,1,0.139275766,21.54,0.333333333,0,0.333333333,7312.49147,9,0,LC,LC
Gd7,10,3,3,4,0.007430083,1345.88,0.3,0.3,0.4,8340.146353,44,0,LC,LC
Gd8,10,5,5,8,0.000578322,17291.4,0.5,0.5,0.8,46169.09771,357,0,LC,LC
Gd9,0,0,0,0,0,1856.11,0,0,0,4171.145551,48,0,LC,LC
Gh1,6,1,2,3,0.000737241,8138.45,0.166666667,0.333333333,0.5,52010.78122,232,0,LC,LC
Gh10,1,0,0,0,0.000172029,5812.99,0,0,0,62463.69551,417,0,LC,LC
Gh11,0,0,0,0,0,416.94,0,0,0,1684.969493,20,0,LC,LC
Gh12,1,0,0,1,0.004522636,221.11,0,0,1,449.7492844,9,0,LC,LC
Gh13,3,0,1,1,0.001412522,2123.86,0,0.333333333,0.333333333,14437.17915,66,0,LC,LC
Gh14,1,0,1,1,0.000272064,3675.61,0,1,1,21087.15852,147,0,LC,LC
Gh15,10,1,8,4,0.001828795,5468.08,0.1,0.8,0.4,29449.71486,158,0,LC,LC
Gh2,0,0,0,0,0,5659.64,0,0,0,15310.06295,130,0,LC,LC
Gh3,0,0,0,0,0,12356.6,0,0,0,22593.86346,204,0,LC,LC
Gh4,0,0,0,0,0,9248.67,0,0,0,58590.36547,417,0,LC,LC
Gh5,0,0,0,0,0,2576.77,0,0,0,7471.390087,79,0,LC,LC
Gh6,0,0,0,0,0,10487.84,0,0,0,34033.37531,254,0,LC,LC
Gh7,0,0,0,0,0,1286.28,0,0,0,22925.06983,110,0,LC,LC
Gh8,0,0,0,0,0,66.13,0,0,0,12589.27845,16,0,LC,LC
Gh9,0,0,0,0,0,5306.84,0,0,0,15417.29212,122,0,LC,LC
Gm1,1,0,0,0,0.000355664,2811.64,0,0,0,11927.0771,94,0,LC,LC
Gm10,2,0,1,0,0.010924783,183.07,0,0.5,0,1196.296317,18,0,LC,LC
Gm11,17,5,10,7,0.004038782,4209.19,0.294117647,0.588235294,0.411764706,51640.2252,198,0,LC,LC
Gm12,12,1,9,5,0.003236709,3707.47,0.083333333,0.75,0.416666667,23004.02852,176,0,LC,LC
Gm13,2,0,1,1,0.000940636,2126.22,0,0.5,0.5,7256.956417,74,0,LC,LC
Gm14,22,7,12,15,0.007457526,2950.04,0.318181818,0.545454545,0.681818182,7449.258226,67,0,LC,LC
Gm15,13,4,6,9,0.006609453,1966.88,0.307692308,0.461538462,0.692307692,11686.37436,101,0,LC,LC
Gm16,21,7,14,13,0.003940717,5328.98,0.333333333,0.666666667,0.619047619,18471.99954,155,0,LC,LC
Gm17,24,9,19,8,0.029807,805.18,0.375,0.791666667,0.333333333,2997.310435,30,0,LC,LC
Gm19,9,1,5,6,0.010625111,847.05,0.111111111,0.555555556,0.666666667,2594.081203,32,0,LC,LC
Gm2,1,0,0,1,0.000354797,2818.51,0,0,1,13760.53633,105,0,LC,LC
Gm20,2,1,1,1,0.108754758,18.39,0.5,0.5,0.5,62.29200488,2,0,LC,LC
Gm21,6,3,2,3,0.005030603,1192.7,0.5,0.333333333,0.5,3456.909643,39,0,LC,LC
Gm22,12,5,10,5,0.034087036,352.04,0.416666667,0.833333333,0.416666667,3102.104281,25,0,LC,LC
Gm23,22,8,16,5,0.028953083,759.85,0.363636364,0.727272727,0.227272727,12576.35682,48,0,LC,LC
Gm24,2,0,2,1,0.214132762,9.34,0,1,0.5,5185.150507,4,0,LC,LC
Gm25,11,3,10,5,0.106085447,103.69,0.272727273,0.909090909,0.454545455,885.1880331,12,0,LC,LC
Gm26,5,0,4,3,0.020643243,242.21,0,0.8,0.6,1116.678628,13,0,LC,LC
Gm27,1,0,1,1,0.00382951,261.13,0,1,1,1993.071714,20,0,LC,LC
Gm28,5,2,1,1,0.054603036,91.57,0.4,0.2,0.2,808.2269192,10,0,LC,LC
Gm29,3,0,1,0,0.005966824,502.78,0,0.333333333,0,20180.11738,40,0,LC,LC
Gm3,0,0,0,0,0,6006.83,0,0,0,30463.63981,239,0,LC,LC
Gm30,27,6,16,12,0.010340113,2611.19,0.222222222,0.592592593,0.444444444,5659.921898,61,0,LC,LC
