MapCode,TH_Taxa,FIRE_Taxa,INV_Taxa,OVG_Taxa,TH_Taxa_km2,Nat2022km2,pro_FIRE,pro_INV,pro_OVG,EOOkm2,AOO1prc,Qualify,B1iii,B2iii
SVk10,0,0,0,0,0,5539.68,0,0,0,64698.61384,222,0,LC,LC
SVk11,0,0,0,0,0,13625.08,0,0,0,22885.46613,192,0,LC,LC
SVk12,0,0,0,0,0,7252.67,0,0,0,12608.7486,116,0,LC,LC
SVk13,0,0,0,0,0,8409.38,0,0,0,20772.29101,178,0,LC,LC
SVk14,0,0,0,0,0,880.82,0,0,0,1543.554548,22,0,LC,LC
SVk15,0,0,0,0,0,1617.17,0,0,0,12263.05505,82,0,LC,LC
SVk16,0,0,0,0,0,7905.82,0,0,0,42443.89966,151,0,LC,LC
SVk17,0,0,0,0,0,3751.64,0,0,0,36872.44651,176,0,LC,LC
SVk18,0,0,0,0,0,953.04,0,0,0,1312.457109,21,0,LC,LC
SVk2,1,0,0,0,0.000309853,3227.34,0,0,0,17344.11899,94,0,LC,LC
SVk3,1,0,0,0,0.001735328,576.26,0,0,0,1700.845545,24,0,LC,LC
SVk4,1,0,0,1,8.02875E-05,12455.24,0,0,1,42742.66764,289,0,LC,LC
SVk5,0,0,0,0,0,1418.33,0,0,0,18756.64742,100,0,LC,LC
SVk6,0,0,0,0,0,4220.26,0,0,0,18032.2345,103,0,LC,LC
SVk7,0,0,0,0,0,13112.57,0,0,0,16619.50565,178,0,LC,LC
SVk8,0,0,0,0,0,3235.82,0,0,0,4434.208762,54,0,LC,LC
SVk9,0,0,0,0,0,5504.18,0,0,0,12050.6283,104,0,LC,LC
SVkd1,0,0,0,0,0,37004.61,0,0,0,105628.5252,641,0,LC,LC
SVkd2,0,0,0,0,0,2239.51,0,0,0,17823.73221,64,0,LC,LC
SVkd3,0,0,0,0,0,2898.12,0,0,0,8222.225073,56,0,LC,LC
SVkd4,0,0,0,0,0,762.29,0,0,0,1946.198176,27,0,LC,LC
SVl1,3,0,0,1,0.001899468,1579.39,0,0,0.333333333,11749.4717,55,0,LC,LC
SVl10,4,1,0,1,0.006501105,615.28,0.25,0,0.25,2079.966729,23,0,LC,LC
SVl11,4,0,0,2,0.006705109,596.56,0,0,0.5,1310.267225,18,0,LC,LC
SVl12,3,0,0,1,0.008143101,368.41,0,0,0.333333333,1261.638471,18,0,LC,LC
SVl13,6,0,0,2,0.082747207,72.51,0,0,0.333333333,4106.51579,19,0,LC,LC
SVl14,4,0,0,0,0.001169389,3420.59,0,0,0,17730.99517,118,0,LC,LC
SVl15,2,0,0,0,0.001488527,1343.61,0,0,0,4904.974415,45,0,LC,LC
