"","T_MAPCODE","RoD","B1i_rod","B2i_rod","B1i_inv","B2i_inv","B1iii_sp","B2iii_sp","B1_fin","B2_fin","B1_source","B2_source"
"42","AT56",0.2,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"43","AT57",0.2,"LC","LC","LC","LC","EN","EN","EN","EN","B1iii_sp","B2iii_sp"
"44","AT58",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"45","AZa1",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"46","AZa2",0.8,"EN","VU","EN","VU","LC","LC","EN","VU","B1i_rod, B1i_inv","B2i_rod, B2i_inv"
"47","AZa3",0.3,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"48","AZa4",0.3,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"49","AZa5",0.2,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"50","AZa6",0.5,"EN","LC","LC","LC","LC","LC","EN","LC","B1i_rod","B2i_rod, B2i_inv, B2iii_sp"
"51","AZa7",0.3,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"52","AZd1",1.5,"CR","CR","LC","LC","LC","LC","CR","CR","B1i_rod","B2i_rod"
"53","AZd2",0.4,"EN","CR","LC","LC","LC","LC","EN","CR","B1i_rod","B2i_rod"
"54","AZd3",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"55","AZd4",0.1,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"56","AZi1",0.1,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"57","AZi3",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"58","AZi5",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"59","AZi6",0.1,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"60","AZi7",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"61","AZi8",0.7,"EN","VU","LC","LC","LC","LC","EN","VU","B1i_rod","B2i_rod"
"62","AZs3",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"63","Dg1",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"64","Dg10",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"65","Dg2",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"66","Dg3",0.1,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"67","Dg4",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"68","Dg5",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"69","Dg6",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"70","Dg7",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"71","Dg8",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"72","Dg9",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"73","Dn1",1.2,"CR","CR","LC","LC","LC","LC","CR","CR","B1i_rod","B2i_rod"
"74","Dn2",0.6,"CR","CR","LC","LC","LC","LC","CR","CR","B1i_rod","B2i_rod"
"75","Dn3",0.1,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"76","Dn4",0.1,"LC","LC","LC","LC","CR","EN","CR","EN","B1iii_sp","B2iii_sp"
"77","Dn5",0.1,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"78","FOa1",0.3,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"79","FOa2",0.2,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"80","FOa3",0.2,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"81","FOz1",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"82","FOz2",0.1,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"83","FOz3",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"84","FOz4",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
"85","FOz5",0,"LC","LC","LC","LC","LC","LC","LC","LC","B1i_rod, B1i_inv, B1iii_sp","B2i_rod, B2i_inv, B2iii_sp"
