"","LC","YEAR","BIOME","T_MAPCODE","km2"
"123","nat",1750,"Fynbos","FFh3",75.1268
"124","nat",1750,"Fynbos","FFh4",316.876
"125","nat",1750,"Fynbos","FFh5",84.0044
"126","nat",1750,"Fynbos","FFh6",279.4916
"127","nat",1750,"Fynbos","FFh7",266.618
"128","nat",1750,"Fynbos","FFh8",186.7676
"129","nat",1750,"Fynbos","FFh9",563.6392
"130","nat",1750,"Fynbos","FFl1",286.9588
"131","nat",1750,"Fynbos","FFl2",694.2568
"132","nat",1750,"Fynbos","FFl3",791.6736
"133","nat",1750,"Fynbos","FFq1",49.024
"134","nat",1750,"Fynbos","FFq2",1646.1872
"135","nat",1750,"Fynbos","FFq3",1268.0852
"136","nat",1750,"Fynbos","FFq4",97.856
"137","nat",1750,"Fynbos","FFq5",388.8108
"138","nat",1750,"Fynbos","FFq6",683.2776
"139","nat",1750,"Fynbos","FFs1",1014.1516
"140","nat",1750,"Fynbos","FFs10",1050.6224
"141","nat",1750,"Fynbos","FFs11",914.2348
"142","nat",1750,"Fynbos","FFs12",1179.408
"143","nat",1750,"Fynbos","FFs13",531.504
"144","nat",1750,"Fynbos","FFs14",358.8828
"145","nat",1750,"Fynbos","FFs15",993.5776
"146","nat",1750,"Fynbos","FFs16",1215.3228
"147","nat",1750,"Fynbos","FFs17",107.4468
"148","nat",1750,"Fynbos","FFs18",878.8052
"149","nat",1750,"Fynbos","FFs19",1571.0644
"150","nat",1750,"Fynbos","FFs2",1343.1468
"151","nat",1750,"Fynbos","FFs20",2298.4988
"152","nat",1750,"Fynbos","FFs21",318.3396
"153","nat",1750,"Fynbos","FFs22",388.3256
"154","nat",1750,"Fynbos","FFs23",852.1924
"155","nat",1750,"Fynbos","FFs24",1084.7884
"156","nat",1750,"Fynbos","FFs25",332.5684
"157","nat",1750,"Fynbos","FFs26",304.1844
"158","nat",1750,"Fynbos","FFs27",2402.9412
"159","nat",1750,"Fynbos","FFs28",4052.18
"160","nat",1750,"Fynbos","FFs29",334.1964
"161","nat",1750,"Fynbos","FFs3",498.2384
"162","nat",1750,"Fynbos","FFs30",37.5252
"163","nat",1750,"Fynbos","FFs31",50.8348
"164","nat",1750,"Fynbos","FFs32",547.9488
"165","nat",1750,"Fynbos","FFs4",2523.64
"166","nat",1750,"Fynbos","FFs5",1135.986
"167","nat",1750,"Fynbos","FFs6",422.8764
"168","nat",1750,"Fynbos","FFs7",394.0712
"169","nat",1750,"Fynbos","FFs8",319.7464
"170","nat",1750,"Fynbos","FFs9",219.4464
"171","nat",1750,"Fynbos","FFt1",404.9544
"172","nat",1750,"Fynbos","FFt2",211.1624
"173","nat",1750,"Fynbos","FRa1",497.676
"174","nat",1750,"Fynbos","FRa2",63.072
"175","nat",1750,"Fynbos","FRc1",101.0616
"176","nat",1750,"Fynbos","FRc2",209.756
"177","nat",1750,"Fynbos","FRd1",219.4944
"178","nat",1750,"Fynbos","FRd2",578.926
"179","nat",1750,"Fynbos","FRg1",305.5396
"180","nat",1750,"Fynbos","FRg2",951.3408
"181","nat",1750,"Fynbos","FRg3",19.1756
"182","nat",1750,"Fynbos","FRl1",501.6888
"183","nat",1750,"Fynbos","FRs1",207.306
"184","nat",1750,"Fynbos","FRs10",25.2736
"185","nat",1750,"Fynbos","FRs11",1193.6704
"186","nat",1750,"Fynbos","FRs12",2027.506
"187","nat",1750,"Fynbos","FRs13",2762.57
"188","nat",1750,"Fynbos","FRs14",866.5308
"189","nat",1750,"Fynbos","FRs15",276.4104
"190","nat",1750,"Fynbos","FRs16",1347.8644
"191","nat",1750,"Fynbos","FRs17",207.1384
"192","nat",1750,"Fynbos","FRs18",118.7224
"193","nat",1750,"Fynbos","FRs19",373.15
"194","nat",1750,"Fynbos","FRs2",218.8368
"195","nat",1750,"Fynbos","FRs20",46.9912
"196","nat",1750,"Fynbos","FRs3",3217.472
"197","nat",1750,"Fynbos","FRs4",491.7496
"198","nat",1750,"Fynbos","FRs5",1236.5136
"199","nat",1750,"Fynbos","FRs6",2095.8456
"200","nat",1750,"Fynbos","FRs7",1607.8492
"201","nat",1750,"Fynbos","FRs8",1049.7592
"202","nat",1750,"Fynbos","FRs9",4963.7544
"203","nat",1750,"Fynbos","FS1",354.2776
"204","nat",1750,"Fynbos","FS10",322.876
"205","nat",1750,"Fynbos","FS11",39.6004
"206","nat",1750,"Fynbos","FS12",119.0592
"207","nat",1750,"Fynbos","FS13",41.644
"208","nat",1750,"Fynbos","FS14",96.9252
"209","nat",1750,"Fynbos","FS2",298.8244
"210","nat",1750,"Fynbos","FS3",1643.4048
"211","nat",1750,"Fynbos","FS4",61.564
"212","nat",1750,"Fynbos","FS5",342.2724
"213","nat",1750,"Fynbos","FS6",394.2892
"214","nat",1750,"Fynbos","FS7",46.8288
"215","nat",1750,"Fynbos","FS9",27.99
"216","nat",1750,"Grassland","Gd1",5026.9468
"217","nat",1750,"Grassland","Gd10",2830.788
"218","nat",1750,"Grassland","Gd2",158.3236
"219","nat",1750,"Grassland","Gd3",2966.1812
"220","nat",1750,"Grassland","Gd4",6647.026
"221","nat",1750,"Grassland","Gd5",1237.522
"222","nat",1750,"Grassland","Gd6",21.6172
"223","nat",1750,"Grassland","Gd7",1346.9464
"224","nat",1750,"Grassland","Gd8",20169.2884
"225","nat",1750,"Grassland","Gd9",2208.2908
"226","nat",1750,"Grassland","Gh1",8370.6212
"227","nat",1750,"Grassland","Gh10",25965.724
"228","nat",1750,"Grassland","Gh11",923.5568
"229","nat",1750,"Grassland","Gh12",329.4952
"230","nat",1750,"Grassland","Gh13",3766.2224
"231","nat",1750,"Grassland","Gh14",9187.4096
"232","nat",1750,"Grassland","Gh15",8598.4796
"233","nat",1750,"Grassland","Gh2",7163.2324
"234","nat",1750,"Grassland","Gh3",13392.4368
"235","nat",1750,"Grassland","Gh4",9677.7704
