"","T_MAPCODE","A3_fin","A3_source","A3_prclost","A2b_fin","A2b_source","A2b_prclost50"
"447","SVl6","LC","A3_nat, A3_mpl",0,"LC","A2b",0
"448","SVl7","LC","A3_nat",12,"LC","A2b",4
"449","SVl8","LC","A3_nat",49,"LC","A2b",19
"450","SVl9","VU","A3_nat, A3_mpl",52,"LC","A2b",26
"451","SVmp1","LC","A3_nat",8,"LC","A2b",5
"452","SVmp2","LC","A3_nat",2,"LC","A2b",1
"453","SVmp3","LC","A3_nat",0,"LC","A2b",0
"454","SVmp4","LC","A3_nat",0,"LC","A2b",0
"455","SVmp5","LC","A3_nat",11,"LC","A2b",4
"456","SVmp6","LC","A3_nat",23,"LC","A2b",8
"457","SVmp7","LC","A3_nat",9,"LC","A2b",5
"458","SVmp8","LC","A3_nat",0,"LC","A2b",0
"459","SVs1","LC","A3_nat, A3_kzn",31,"LC","A2b",8
"460","SVs2","LC","A3_nat, A3_kzn",27,"LC","A2b",8
"461","SVs3","LC","A3_nat, A3_kzn",26,"LC","A2b",13
"462","SVs4","VU","A3_nat",59,"LC","A2b",18
"463","SVs5","EN","A3_nat, A3_kzn",76,"EN","A2b",52
"464","SVs6","LC","A3_nat",31,"LC","A2b",6
"465","SVs7","LC","A3_nat",38,"LC","A2b",13
"466","SVs8","LC","A3_nat",44,"LC","A2b",18
