"","T_MAPCODE","T_BIOME","T_Name","RLE_EPL","RLE","Criteria_triggered","EPL"
"177","SKk7","Succulent Karoo","Citrusdal Vygieveld","LC_PP","LC","","PP"
"178","SKk8","Succulent Karoo","Piketberg Quartz Succulent Shrubland","CR_NP","CR","B1i_rod, B2i_rod","NP"
"179","SKk9","Succulent Karoo","Kobee Succulent Shrubland","LC_NP","LC","","NP"
"180","SKn1","Succulent Karoo","Namaqualand Klipkoppe Shrubland","LC_PP","LC","","PP"
"181","SKn3","Succulent Karoo","Namaqualand Blomveld","LC_PP","LC","","PP"
"182","SKn4","Succulent Karoo","Namaqualand Heuweltjieveld","LC_PP","LC","","PP"
"183","SKn5","Succulent Karoo","Platbakkies Succulent Shrubland","LC_NP","LC","","NP"
"184","SKn6","Succulent Karoo","Kamiesberg Mountains Shrubland","LC_NP","LC","","NP"
"185","SKn7","Succulent Karoo","Southern Namaqualand Quartzite Klipkoppe Shrubland","LC_PP","LC","","PP"
"186","SKs10","Succulent Karoo","Riethuis-Wallekraal Quartz Vygieveld","LC_WP","LC","","WP"
"187","SKs11","Succulent Karoo","Namaqualand Arid Grassland","LC_WP","LC","","WP"
"188","SKs13","Succulent Karoo","Klawer Sandy Shrubland","CR_NP","CR","B1i_rod","NP"
"189","SKv1","Succulent Karoo","Doringrivier Quartzite Karoo","LC_NP","LC","","NP"
"190","SKv10","Succulent Karoo","Little Karoo Quartz Vygieveld","LC_PP","LC","","PP"
"191","SKv11","Succulent Karoo","Eastern Little Karoo","EN_PP","EN","D1_elk","PP"
"192","SKv13","Succulent Karoo","Prince Albert Succulent Karoo","LC_PP","LC","","PP"
"193","SKv14","Succulent Karoo","Steytlerville Karoo","LC_NP","LC","","NP"
"194","SKv2","Succulent Karoo","Swartruggens Quartzite Karoo","LC_MP","LC","","MP"
"195","SKv3","Succulent Karoo","Agter-Sederberg Shrubland","LC_PP","LC","","PP"
"196","SKv4","Succulent Karoo","Tanqua Escarpment Shrubland","LC_MP","LC","","MP"
"197","SKv5","Succulent Karoo","Tanqua Karoo","LC_MP","LC","","MP"
"198","SKv6","Succulent Karoo","Koedoesberge-Moordenaars Karoo","LC_NP","LC","","NP"
"199","SKv7","Succulent Karoo","Robertson Karoo","LC_PP","LC","","PP"
"200","SKv8","Succulent Karoo","Western Little Karoo","LC_MP","LC","","MP"
"201","SKt1","Succulent Karoo","Western Bushmanland Klipveld","LC_NP","LC","","NP"
"202","SKt2","Succulent Karoo","Hantam Karoo","LC_NP","LC","","NP"
"203","SKt3","Succulent Karoo","Roggeveld Karoo","LC_NP","LC","","NP"
