"","T_MAPCODE","T_BIOME","T_Name","RLE_EPL","RLE","Criteria_triggered","EPL"
"402","SVcb18","Savanna","Roodeberg Bushveld","LC_MP","LC","","MP"
"403","SVcb19","Savanna","Limpopo Sweet Bushveld","LC_PP","LC","","PP"
"404","SVcb2","Savanna","Madikwe Dolomite Bushveld","LC_WP","LC","","WP"
"405","SVcb20","Savanna","Makhado Sweet Bushveld","EN_PP","EN","B1i_rod","PP"
"406","SVcb21","Savanna","Soutpansberg Mountain Bushveld","LC_MP","LC","","MP"
"407","SVcb22","Savanna","VhaVenda Miombo","LC_WP","LC","","WP"
"408","SVcb23","Savanna","Polokwane Plateau Bushveld","EN_PP","EN","B1i_rod","PP"
"409","SVcb24","Savanna","Mamabolo Mountain Bushveld","LC_PP","LC","","PP"
"410","SVcb25","Savanna","Poung Dolomite Mountain Bushveld","LC_MP","LC","","MP"
"411","SVcb26","Savanna","Ohrigstad Mountain Bushveld","LC_MP","LC","","MP"
"412","SVcb27","Savanna","Sekhukhune Plains Bushveld","EN_PP","EN","B1i_rod","PP"
"413","SVcb28","Savanna","Sekhukhune Mountain Bushveld","LC_PP","LC","","PP"
"414","SVcb6","Savanna","Marikana Thornveld","EN_PP","EN","B1i_rod","PP"
"415","SVcb7","Savanna","Norite Koppies Bushveld","EN_PP","EN","B1i_rod","PP"
"416","SVcb8","Savanna","Moot Plains Bushveld","EN_PP","EN","B1i_rod","PP"
"417","SVcb9","Savanna","Gold Reef Mountain Bushveld","LC_MP","LC","","MP"
"418","SVl1","Savanna","Makuleke Sandy Bushveld","LC_WP","LC","","WP"
"419","SVl10","Savanna","Pretoriuskop Sour Bushveld","LC_WP","LC","","WP"
"420","SVl11","Savanna","Malelane Mountain Bushveld","LC_WP","LC","","WP"
"421","SVl12","Savanna","Kaalrug Mountain Bushveld","LC_MP","LC","","MP"
"422","SVl13","Savanna","Barberton Serpentine Sourveld","LC_WP","LC","","WP"
"423","SVl14","Savanna","Swaziland Sour Bushveld","LC_WP","LC","","WP"
"424","SVl15","Savanna","Northern Lebombo Bushveld","LC_WP","LC","","WP"
"425","SVl16","Savanna","Southern Lebombo Bushveld","LC_MP","LC","","MP"
"426","SVl17","Savanna","Lebombo Summit Sourveld","EN_NP","EN","B1i_rod, B2i_rod","NP"
"427","SVl18","Savanna","Tembe Sandy Bushveld","LC_MP","LC","","MP"
"428","SVl19","Savanna","Western Maputaland Sandy Bushveld","CR_MP","CR","B1i_rod","MP"
"429","SVl2","Savanna","Nwambyia-Pumbe Sandy Bushveld","LC_WP","LC","","WP"
"430","SVl20","Savanna","Western Maputaland Clay Bushveld","EN_MP","EN","B1i_rod","MP"
"431","SVl21","Savanna","Makatini Clay Thicket","LC_WP","LC","","WP"
"432","SVl22","Savanna","Northern Zululand Sourveld","LC_MP","LC","","MP"
"433","SVl23","Savanna","Zululand Lowveld","LC_WP","LC","","WP"
"434","SVl24","Savanna","Zululand Coastal Thornveld","CR_NP","CR","B1i_rod","NP"
"435","SVl25","Savanna","Maputaland Pallid Sandy Bushveld","LC_MP","LC","","MP"
"436","SVl26","Savanna","Muzi Palm Veld and Wooded Grassland","CR_PP","CR","B1i_rod","PP"
"437","SVl27","Savanna","Crocodile Gorge Mountain Bushveld","LC_MP","LC","","MP"
"438","SVl3","Savanna","Granite Lowveld","LC_WP","LC","","WP"
"439","SVl4","Savanna","Delagoa Lowveld","LC_WP","LC","","WP"
"440","SVl5","Savanna","Tshokwane-Hlane Basalt Lowveld","LC_WP","LC","","WP"
"441","SVl6","Savanna","Gabbro Grassy Bushveld","LC_WP","LC","","WP"
"442","SVl7","Savanna","Gravelotte Rocky Bushveld","LC_MP","LC","","MP"
"443","SVl8","Savanna","Tzaneen Sour Bushveld","EN_PP","EN","B1i_rod","PP"
"444","SVl9","Savanna","Legogote Sour Bushveld","EN_PP","EN","B1i_rod","PP"
"445","SVmp1","Savanna","Musina Mopane Bushveld","LC_MP","LC","","MP"
"446","SVmp2","Savanna","Limpopo Ridge Bushveld","LC_WP","LC","","WP"
"447","SVmp3","Savanna","Cathedral Mopane Bushveld","LC_WP","LC","","WP"
"448","SVmp4","Savanna","Mopane Basalt Shrubland","LC_WP","LC","","WP"
"449","SVmp5","Savanna","Tsende Mopaneveld","LC_WP","LC","","WP"
"450","SVmp6","Savanna","Lowveld Rugged Mopaneveld","LC_WP","LC","","WP"
"451","SVmp7","Savanna","Phalaborwa-Timbavati Mopaneveld","LC_WP","LC","","WP"
"452","SVmp8","Savanna","Mopane Gabbro Shrubland","LC_WP","LC","","WP"
"453","SVs1","Savanna","Thukela Valley Bushveld","LC_NP","LC","","NP"
"454","SVs2","Savanna","Thukela Thornveld","LC_PP","LC","","PP"
"455","SVs3","Savanna","KwaZulu-Natal Hinterland Thornveld","LC_PP","LC","","PP"
"456","SVcb29","Savanna","Central Sandy Mountain Bushveld","LC_WP","LC","","WP"
"457","SVcb4","Savanna","Dwarsberg-Swartruggens Mountain Bushveld","LC_PP","LC","","PP"
"458","Gh13","Grassland","Klerksdorp Thornveld","LC_PP","LC","","PP"
"459","SVcb5","Savanna","Pilanesberg Mountain Bushveld","LC_WP","LC","","WP"
"460","Gh14","Grassland","Western Highveld Sandy Grassland","EN_NP","EN","B1i_rod","NP"
"461","SVcb3","Savanna","Zeerust Thornveld","LC_PP","LC","","PP"
"462","Gm2","Grassland","Senqu Montane Shrubland","LC_NP","LC","","NP"
"463","SVk3","Savanna","Schweizer-Reneke Bushveld","VU_PP","VU","A3_nat","PP"
