"","T_MAPCODE","Area"
"FRs5","FRs5",3291167400
"FRs6","FRs6",6250621800
"FRs7","FRs7",8802791000
"FRs8","FRs8",4789342400
"FRs9","FRs9",10550349200
"FS1","FS1",1263999800
"FS10","FS10",8552322000.00001
"FS11","FS11",86285999.9999992
"FS12","FS12",5084070200
"FS13","FS13",808140200
"FS14","FS14",1128578400
"FS2","FS2",1104315600
"FS3","FS3",5165438600
"FS4","FS4",791501600
"FS5","FS5",4476652600
"FS6","FS6",2784513600
"FS7","FS7",6188120800.00001
"FS9","FS9",355448600
"Gd1","Gd1",13755470800
"Gd10","Gd10",11955671200
"Gd2","Gd2",1627928400
"Gd3","Gd3",5035089000
"Gd4","Gd4",27791764200
"Gd5","Gd5",6791244800
"Gd6","Gd6",7320739999.99999
"Gd7","Gd7",8349078799.99999
"Gd8","Gd8",46198631800
"Gd9","Gd9",4170993200
"Gh1","Gh1",52010417800
"Gh10","Gh10",62553896800
"Gh11","Gh11",1691869200
"Gh12","Gh12",448891800.000001
"Gh13","Gh13",14441147600
"Gh14","Gh14",21100381400
"Gh15","Gh15",29451060800
"Gh2","Gh2",15308940000
"Gh3","Gh3",22739106800
"Gh4","Gh4",58588650800
"Gh5","Gh5",7479376800.00001
"Gh6","Gh6",34036773200
"Gh7","Gh7",22931264000
"Gh8","Gh8",12640602000
"Gh9","Gh9",15431300400
"Gm1","Gm1",11929438200
"Gm10","Gm10",1213674200
"Gm11","Gm11",51682013800
"Gm12","Gm12",23060037200
"Gm13","Gm13",7272745199.99999
"Gm14","Gm14",7447166600
"Gm15","Gm15",11698593200
"Gm16","Gm16",18466007200
"Gm17","Gm17",3000669200
"Gm19","Gm19",2592331800
"Gm2","Gm2",13773785600
"Gm20","Gm20",61448999.9999994
"Gm21","Gm21",3464640399.99999
"Gm22","Gm22",3164237800
"Gm23","Gm23",12593801800
"Gm24","Gm24",5263240000
"Gm25","Gm25",889386600.000001
"Gm26","Gm26",1118040400
"Gm27","Gm27",1989393800
"Gm28","Gm28",816160999.999999
"Gm29","Gm29",20177562600
"Gm3","Gm3",30476500800
"Gm30","Gm30",5679912600
"Gm31","Gm31",1707698000
"Gm4","Gm4",35461918800
"Gm5","Gm5",37155292400
"Gm6","Gm6",14097572000
"Gm7","Gm7",13761217800
"Gm8","Gm8",26767650200
"Gm9","Gm9",5421381200
"Gs1","Gs1",3877716600
"Gs10","Gs10",57542152400
"Gs11","Gs11",5788247600
"Gs12","Gs12",16768561600
"Gs13","Gs13",1440582000
"Gs14","Gs14",11322397400
"Gs15","Gs15",13592625800
"Gs16","Gs16",6855601600
"Gs17","Gs17",27226749400
"Gs18","Gs18",5367680800.00001
"Gs19","Gs19",21548899800
"Gs2","Gs2",11669832600
"Gs20","Gs20",24578923600
"Gs3","Gs3",16251286600
"Gs4","Gs4",24924753600
"Gs6","Gs6",41869440400
"Gs7","Gs7",8126847399.99999
"Gs8","Gs8",9442787000.00001
"Gs9","Gs9",23153129800
"NKb1","NKb1",54628200800
"NKb2","NKb2",1572771000
"NKb3","NKb3",114340258400
"NKb4","NKb4",39630197800
"NKb5","NKb5",34362666000
"NKb6","NKb6",63137522800
"NKl1","NKl1",28829890600
"NKl2","NKl2",18201498000
"NKl4","NKl4",5342068400.00001
"NKu1","NKu1",27602494600
"NKu2","NKu2",97646432600
"NKu3","NKu3",88578940400
"NKu4","NKu4",101004278400
"SKk1","SKk1",4515393600
"SKk2","SKk2",783358400
"SKk3","SKk3",7000355200
"SKk4","SKk4",8059523800
"SKk5","SKk5",4023436200
"SKk6","SKk6",1806909600
"SKk7","SKk7",638280000
"SKk8","SKk8",1132296400
"SKk9","SKk9",2505977400
"SKn1","SKn1",39316690600
"SKn2","SKn2",1108525400
"SKn3","SKn3",12592261200
"SKn4","SKn4",17280292200
"SKn5","SKn5",2021310600
"SKn6","SKn6",4398089200
"SKn7","SKn7",3917852400
"SKr1","SKr1",2136191400
"SKr10","SKr10",143613000
"SKr11","SKr11",213917000
"SKr12","SKr12",1227922400
"SKr13","SKr13",1637783800
"SKr14","SKr14",1258466800
"SKr15","SKr15",371493600
"SKr16","SKr16",611181200
"SKr17","SKr17",509135000
"SKr18","SKr18",10625120000
"SKr19","SKr19",6494549400
"SKr2","SKr2",311660400
"SKr3","SKr3",188395400
"SKr4","SKr4",2982591600
"SKr5","SKr5",20110600
"SKr6","SKr6",166292800
"SKr7","SKr7",2198257400
"SKr8","SKr8",65754000
"SKr9","SKr9",4134000
"SKs1","SKs1",1273228200
"SKs10","SKs10",243659400
"SKs11","SKs11",7950678600
"SKs12","SKs12",2451813000
"SKs13","SKs13",858215400
"SKs14","SKs14",6697529400
"SKs2","SKs2",819110400
"SKs3","SKs3",684045800
"SKs4","SKs4",1237785600
"SKs5","SKs5",993467000
"SKs6","SKs6",213304600
"SKs7","SKs7",13863258800
"SKs8","SKs8",2576696000
"SKs9","SKs9",6937461600
"SKt1","SKt1",875785800
"SKt2","SKt2",11425534600
"SKt3","SKt3",12509296200
"SKv1","SKv1",4094181200
"SKv10","SKv10",4425375200
"SKv11","SKv11",4785491800
"SKv13","SKv13",5513149800
"SKv14","SKv14",3467499000
"SKv2","SKv2",1764506600
"SKv3","SKv3",3066675200
"SKv4","SKv4",5586219200
"SKv5","SKv5",13656171200
"SKv6","SKv6",9123524600
"SKv7","SKv7",2845968600
"SKv8","SKv8",10277150200
"SVcb1","SVcb1",18809700200
"SVcb10","SVcb10",15552592000
"SVcb11","SVcb11",43215279200
"SVcb12","SVcb12",41981781200
"SVcb13","SVcb13",6606816000
"SVcb14","SVcb14",1992548000
"SVcb15","SVcb15",13539321800
"SVcb16","SVcb16",34164563400
"SVcb17","SVcb17",20745946200
"SVcb18","SVcb18",10477155800
"SVcb19","SVcb19",26722878400
"SVcb2","SVcb2",6999552200
"SVcb20","SVcb20",15278724600
"SVcb21","SVcb21",8549155000
"SVcb22","SVcb22",1108799.9999999
"SVcb23","SVcb23",6854980600
"SVcb24","SVcb24",6743788000.00001
"SVcb25","SVcb25",5819391400
"SVcb26","SVcb26",8377481400.00001
"SVcb27","SVcb27",4655874000
"SVcb28","SVcb28",6059143799.99998
"SVcb29","SVcb29",3337893200
"SVcb3","SVcb3",5690877800
"SVcb4","SVcb4",21111362200
"SVcb5","SVcb5",563116600
"SVcb6","SVcb6",6435669400
"SVcb7","SVcb7",3265849800
"SVcb8","SVcb8",8207501200
"SVcb9","SVcb9",36110981200
"SVk1","SVk1",31930372200
"SVk10","SVk10",64689485200
"SVk11","SVk11",22909297000
"SVk12","SVk12",12605481000
"SVk13","SVk13",20770810600
"SVk14","SVk14",1541502200
"SVk15","SVk15",12258340600
"SVk16","SVk16",42451099600
"SVk17","SVk17",36966024400
"SVk18","SVk18",1309918400
