"","T_MAPCODE","YEAR","km2","prop_nat","A3"
"118","AT34",2018,161.8124,0.965889636762596,"LC"
"119","AT34",2020,161.734,0.965421651938675,"LC"
"120","AT34",2022,161.674,0.965063500287715,"LC"
"121","AT35",1750,30.1476,1,"LC"
"122","AT35",1990,19.5128,0.647242234871101,"LC"
"123","AT35",2014,18.71,0.620613249479229,"LC"
"124","AT35",2018,18.4276,0.61124600299858,"LC"
"125","AT35",2020,18.378,0.60960076423994,"LC"
"126","AT35",2022,18.3744,0.609481351749393,"LC"
"127","AT36",1750,51.4116,1,"LC"
"128","AT36",1990,33.5308,0.652203004769352,"LC"
"129","AT36",2014,31.96,0.621649588808751,"LC"
"130","AT36",2018,29.9712,0.582965712018299,"LC"
"131","AT36",2020,29.8592,0.580787215336617,"LC"
"132","AT36",2022,29.7644,0.578943273502478,"LC"
"133","AT37",1750,176.6464,1,"LC"
"134","AT37",1990,122.4728,0.693321799934785,"LC"
"135","AT37",2014,112.8844,0.639041610811202,"LC"
"136","AT37",2018,106.6108,0.603526593239375,"LC"
"137","AT37",2020,106.2076,0.60124406724394,"LC"
"138","AT37",2022,106.1272,0.600788920691279,"LC"
"139","AT38",1750,1290.854,1,"LC"
"140","AT38",1990,909.3172,0.704430710211999,"LC"
"141","AT38",2014,870.3608,0.6742519293429,"LC"
"142","AT38",2018,854.3688,0.661863231628054,"LC"
"143","AT38",2020,851.5792,0.659702181656485,"LC"
"144","AT38",2022,849.7652,0.658296910417445,"LC"
"145","AT39",1750,245.8596,1,"LC"
"146","AT39",1990,225.77,0.918288323905188,"LC"
"147","AT39",2014,222.4484,0.904778174209996,"LC"
"148","AT39",2018,218.4864,0.888663285875353,"LC"
"149","AT39",2020,217.718,0.885537924896974,"LC"
"150","AT39",2022,216.984,0.882552481172181,"LC"
"151","AT40",1750,596.3172,1,"LC"
"152","AT40",1990,502.0212,0.841869394342474,"LC"
"153","AT40",2014,493.1304,0.826959879741856,"LC"
"154","AT40",2018,465.11,0.779970794067319,"LC"
"155","AT40",2020,463.9972,0.778104673150464,"LC"
"156","AT40",2022,463.16,0.776700722367223,"LC"
"157","AT41",1750,307.5216,1,"LC"
"158","AT41",1990,220.4128,0.716739246934199,"LC"
"159","AT41",2014,212.6232,0.69140899370971,"LC"
"160","AT41",2018,208.9188,0.67936301059828,"LC"
"161","AT41",2020,208.1496,0.676861722883856,"LC"
"162","AT41",2022,207.8656,0.675938210519196,"LC"
"163","AT42",1750,59.8564,1,"LC"
"164","AT42",1990,54.6732,0.913406085230652,"LC"
"165","AT42",2014,53.8604,0.899826919093029,"LC"
"166","AT42",2018,52.9968,0.885399055071805,"LC"
"167","AT42",2020,52.8664,0.883220507748545,"LC"
"168","AT42",2022,51.7304,0.864241751926277,"LC"
"169","AT43",1750,286.2032,1,"LC"
"170","AT43",1990,270.7712,0.946080267446346,"LC"
"171","AT43",2014,268.8528,0.93937733750007,"LC"
"172","AT43",2018,266.2556,0.930302666077808,"LC"
"173","AT43",2020,265.994,0.929388630176043,"LC"
"174","AT43",2022,265.86,0.92892043135786,"LC"
"175","AT44",1750,163.4576,1,"LC"
"176","AT44",1990,88.7144,0.542736464991533,"LC"
"177","AT44",2014,73.2196,0.447942463366647,"VU"
"178","AT44",2018,64.7528,0.396144321218469,"VU"
"179","AT44",2020,64.3312,0.393565059073423,"VU"
"180","AT44",2022,63.2552,0.386982312232652,"VU"
"181","AT45",1750,697.0252,1,"LC"
"182","AT45",1990,451.4752,0.64771718440022,"LC"
"183","AT45",2014,437.408,0.627535417657783,"LC"
