"","type","zone","get","extent","RLE","EPL","RLE_EPL","realm"
"134","FRl1","Fynbos","T3.2",432.6812,"LC","PP","LC_PP","ter"
"135","FRs15","Fynbos","T3.2",264.244,"LC","PP","LC_PP","ter"
"136","FRs4","Fynbos","T3.2",211.3784,"CR","PP","CR_PP","ter"
"137","FRs6","Fynbos","T3.2",1809.988,"LC","PP","LC_PP","ter"
"138","FRs7","Fynbos","T3.2",1293.4608,"LC","PP","LC_PP","ter"
"139","FRs14","Fynbos","T3.2",326.5452,"CR","NP","CR_NP","ter"
"140","FFb6","Fynbos","T3.2",29.268,"EN","PP","EN_PP","ter"
"141","FFd10","Fynbos","T3.2",29.776,"CR","PP","CR_PP","ter"
"142","FFh9","Fynbos","T3.2",243.7668,"EN","PP","EN_PP","ter"
"143","FFa4","Fynbos","T3.2",5.122,"CR","PP","CR_PP","ter"
"144","FFd3","Fynbos","T3.2",638.2968,"EN","PP","EN_PP","ter"
"145","FFd4","Fynbos","T3.2",330.844,"EN","PP","EN_PP","ter"
"146","FFd5","Fynbos","T3.2",88.866,"CR","NP","CR_NP","ter"
"147","FFf2","Fynbos","T3.2",19.376,"CR","PP","CR_PP","ter"
"148","FFh11","Fynbos","T3.2",5.3668,"CR","WP","CR_WP","ter"
"149","FFh5","Fynbos","T3.2",35.8028,"CR","MP","CR_MP","ter"
"150","FFs11","Fynbos","T3.2",763.5196,"CR","WP","CR_WP","ter"
"151","FFs12","Fynbos","T3.2",1049.864,"EN","PP","EN_PP","ter"
"152","FFs9","Fynbos","T3.2",203.276,"CR","WP","CR_WP","ter"
"153","FS10","Fynbos",NA,305.542,"EN","MP","EN_MP","ter"
"154","Gh1","Grassland","T4.5",8138.5332,"LC","WP","LC_WP","ter"
"155","Gh4","Grassland","T4.5",9249.242,"LC","PP","LC_PP","ter"
"156","Gs17","Grassland","T4.5",4170.7988,"LC","PP","LC_PP","ter"
"157","NKb3","Nama-Karoo","T5.1",40919.9956,"LC","PP","LC_PP","ter"
"158","NKb4","Nama-Karoo","T5.1",2670.3192,"LC","NP","LC_NP","ter"
"159","NKb6","Nama-Karoo","T5.1",40909.9712,"LC","PP","LC_PP","ter"
"160","NKl1","Nama-Karoo","T5.1",20074.7364,"LC","PP","LC_PP","ter"
"161","NKl2","Nama-Karoo","T5.1",8164.2908,"LC","MP","LC_MP","ter"
"162","NKu1","Nama-Karoo","T5.1",16965.0208,"LC","NP","LC_NP","ter"
"163","NKu2","Nama-Karoo","T5.1",11706.3608,"LC","MP","LC_MP","ter"
"164","NKu3","Nama-Karoo","T5.1",40004.2396,"LC","NP","LC_NP","ter"
"165","NKu4","Nama-Karoo","T5.1",48084.2452,"LC","PP","LC_PP","ter"
"166","SKs14","Succulent Karoo","T5.2",644.0144,"LC","PP","LC_PP","ter"
"167","SKs7","Succulent Karoo","MT2.1",2540.0112,"LC","PP","LC_PP","ter"
"168","SKs8","Succulent Karoo","T5.2",727.288,"LC","MP","LC_MP","ter"
"169","SKs9","Succulent Karoo","T5.2",884.7432,"LC","PP","LC_PP","ter"
"170","SKk3","Succulent Karoo","T5.2",1298.8296,"LC","WP","LC_WP","ter"
"171","SKs12","Succulent Karoo","T5.2",423.524,"LC","PP","LC_PP","ter"
"172","SKk1","Succulent Karoo","T5.2",1666.85,"LC","MP","LC_MP","ter"
"173","SKk2","Succulent Karoo","T5.2",129.1548,"LC","WP","LC_WP","ter"
"174","SKk4","Succulent Karoo","T5.2",979.3724,"LC","PP","LC_PP","ter"
"175","SKk5","Succulent Karoo","T3.2",829.1768,"LC","NP","LC_NP","ter"
"176","SKk6","Succulent Karoo","T5.2",57.032,"LC","MP","LC_MP","ter"
"177","SKk7","Succulent Karoo","T5.2",130.8612,"LC","PP","LC_PP","ter"
"178","SKk8","Succulent Karoo","T5.2",0.6144,"CR","NP","CR_NP","ter"
"179","SKk9","Succulent Karoo","T5.2",140.2268,"LC","NP","LC_NP","ter"
"180","SKn1","Succulent Karoo","T5.2",7342.0048,"LC","PP","LC_PP","ter"
"181","SKn3","Succulent Karoo","T5.2",2891.024,"LC","PP","LC_PP","ter"
"182","SKn4","Succulent Karoo","T5.2",4581.266,"LC","PP","LC_PP","ter"
"183","SKn5","Succulent Karoo","T5.2",650.5384,"LC","NP","LC_NP","ter"
"184","SKn6","Succulent Karoo","T3.2",391.506,"LC","NP","LC_NP","ter"
"185","SKn7","Succulent Karoo","T5.2",907.9312,"LC","PP","LC_PP","ter"
