"","type","zone","get","extent","RLE","EPL","RLE_EPL","realm"
"388","Gs2","Grassland","T4.5",1242.8228,"LC","MP","LC_MP","ter"
"389","Gs3","Grassland","T4.5",1563.8912,"LC","PP","LC_PP","ter"
"390","Gs4","Grassland","T4.5",4242.93,"VU","PP","VU_PP","ter"
"391","Gs7","Grassland","T4.5",2366.6848,"EN","NP","EN_NP","ter"
"392","Gs8","Grassland","T4.5",1664.26,"EN","PP","EN_PP","ter"
"393","CB2","Indian Ocean Coastal Belt","T4.2",401.0516,"EN","MP","EN_MP","ter"
"394","SVcb1","Savanna","T4.2",5108.8792,"LC","MP","LC_MP","ter"
"395","SVcb10","Savanna","T4.2",919.6632,"EN","PP","EN_PP","ter"
"396","SVcb12","Savanna","T4.2",10862.8848,"LC","PP","LC_PP","ter"
"397","SVcb13","Savanna","T4.2",1920.4356,"LC","MP","LC_MP","ter"
"398","SVcb14","Savanna","T4.2",441.2272,"LC","PP","LC_PP","ter"
"399","SVcb15","Savanna","T4.1",2856.3324,"EN","PP","EN_PP","ter"
"400","SVcb16","Savanna","T4.2",9880.8072,"LC","MP","LC_MP","ter"
"401","SVcb17","Savanna","T4.2",8214.646,"LC","MP","LC_MP","ter"
"402","SVcb18","Savanna","T4.1",5101.8224,"LC","MP","LC_MP","ter"
"403","SVcb19","Savanna","T4.1",10665.7168,"LC","PP","LC_PP","ter"
"404","SVcb2","Savanna","T4.1",1075.8564,"LC","WP","LC_WP","ter"
"405","SVcb20","Savanna","T4.1",6219.6988,"EN","PP","EN_PP","ter"
"406","SVcb21","Savanna","T4.2",3045.662,"LC","MP","LC_MP","ter"
"407","SVcb22","Savanna","T4.2",0.5316,"LC","WP","LC_WP","ter"
"408","SVcb23","Savanna","T4.2",2519.1048,"EN","PP","EN_PP","ter"
"409","SVcb24","Savanna","T4.2",596.7168,"LC","PP","LC_PP","ter"
"410","SVcb25","Savanna","T4.2",823.9772,"LC","MP","LC_MP","ter"
"411","SVcb26","Savanna","T4.2",1747.8652,"LC","MP","LC_MP","ter"
"412","SVcb27","Savanna","T4.1",1210.104,"EN","PP","EN_PP","ter"
"413","SVcb28","Savanna","T4.2",1809.8568,"LC","PP","LC_PP","ter"
"414","SVcb6","Savanna","T4.2",708.9796,"EN","PP","EN_PP","ter"
"415","SVcb7","Savanna","T4.2",360.9508,"EN","PP","EN_PP","ter"
"416","SVcb8","Savanna","T4.2",843.362,"EN","PP","EN_PP","ter"
"417","SVcb9","Savanna","T4.2",2593.0128,"LC","MP","LC_MP","ter"
"418","SVl1","Savanna","T4.2",1579.2596,"LC","WP","LC_WP","ter"
"419","SVl10","Savanna","T4.2",615.1964,"LC","WP","LC_WP","ter"
"420","SVl11","Savanna","T4.2",596.5872,"LC","WP","LC_WP","ter"
"421","SVl12","Savanna","T4.2",368.3856,"LC","MP","LC_MP","ter"
"422","SVl13","Savanna","T4.2",72.4612,"LC","WP","LC_WP","ter"
"423","SVl14","Savanna","T4.2",3420.6212,"LC","WP","LC_WP","ter"
"424","SVl15","Savanna","T4.1",1334.5932,"LC","WP","LC_WP","ter"
"425","SVl16","Savanna","T4.2",2251.9056,"LC","MP","LC_MP","ter"
"426","SVl17","Savanna","T4.2",42.6524,"EN","NP","EN_NP","ter"
"427","SVl18","Savanna","T4.2",865.0132,"LC","MP","LC_MP","ter"
"428","SVl19","Savanna","T4.2",80.776,"CR","MP","CR_MP","ter"
"429","SVl2","Savanna","T4.1",181.6164,"LC","WP","LC_WP","ter"
"430","SVl20","Savanna","T4.2",648.648,"EN","MP","EN_MP","ter"
"431","SVl21","Savanna","T4.1",268.5708,"LC","WP","LC_WP","ter"
"432","SVl22","Savanna","T4.2",3681.678,"LC","MP","LC_MP","ter"
"433","SVl23","Savanna","T4.2",5704.3004,"LC","WP","LC_WP","ter"
"434","SVl24","Savanna","T4.2",182.28,"CR","NP","CR_NP","ter"
"435","SVl25","Savanna","T4.2",472.9328,"LC","MP","LC_MP","ter"
"436","SVl26","Savanna","T4.2",510.344,"CR","PP","CR_PP","ter"
"437","SVl27","Savanna","T4.2",426.688,"LC","MP","LC_MP","ter"
"438","SVl3","Savanna","T4.2",14882.14,"LC","WP","LC_WP","ter"
"439","SVl4","Savanna","T4.2",1968.0536,"LC","WP","LC_WP","ter"
"440","SVl5","Savanna","T4.1",2975.3692,"LC","WP","LC_WP","ter"
"441","SVl6","Savanna","T4.2",757.7016,"LC","WP","LC_WP","ter"
"442","SVl7","Savanna","T4.2",286.2132,"LC","MP","LC_MP","ter"
"443","SVl8","Savanna","T4.2",1748.3556,"EN","PP","EN_PP","ter"
"444","SVl9","Savanna","T4.2",1115.6136,"EN","PP","EN_PP","ter"
"445","SVmp1","Savanna","T4.1",8133.022,"LC","MP","LC_MP","ter"
"446","SVmp2","Savanna","T4.2",2718.2392,"LC","WP","LC_WP","ter"
"447","SVmp3","Savanna","T4.1",276.878,"LC","WP","LC_WP","ter"
"448","SVmp4","Savanna","T4.1",2800.2144,"LC","WP","LC_WP","ter"
"449","SVmp5","Savanna","T4.1",4722.0828,"LC","WP","LC_WP","ter"
"450","SVmp6","Savanna","T4.1",2431.4684,"LC","WP","LC_WP","ter"
"451","SVmp7","Savanna","T4.1",2027.626,"LC","WP","LC_WP","ter"
"452","SVmp8","Savanna","T4.1",310.2836,"LC","WP","LC_WP","ter"
"453","SVs1","Savanna","T4.2",1972.284,"LC","NP","LC_NP","ter"
"454","SVs2","Savanna","T4.2",1631.75,"LC","PP","LC_PP","ter"
"455","SVs3","Savanna","T4.2",1014.296,"LC","PP","LC_PP","ter"
"456","SVcb29","Savanna",NA,373.6608,"LC","WP","LC_WP","ter"
"457","SVcb4","Savanna","T4.2",3661.8716,"LC","PP","LC_PP","ter"
"458","Gh13","Grassland","T4.5",2123.7648,"LC","PP","LC_PP","ter"
"459","SVcb5","Savanna","T4.2",359.8116,"LC","WP","LC_WP","ter"
"460","Gh14","Grassland","T4.5",3675.5048,"EN","NP","EN_NP","ter"
"461","SVcb3","Savanna","T4.1",889.586,"LC","PP","LC_PP","ter"
"462","Gm2","Grassland","T4.5",2818.7752,"LC","NP","LC_NP","ter"
"463","SVk3","Savanna","T4.1",576.2632,"VU","PP","VU_PP","ter"
