T_MAPCODE,EOO,AOO
Gm13,7256.956417,74
Gm14,7449.258226,67
Gm15,11686.37436,101
Gm16,18471.99954,155
Gm17,2997.310435,30
Gm19,2594.081203,32
Gm2,13760.53633,105
Gm20,62.29200488,2
Gm21,3456.909643,39
Gm22,3102.104281,25
Gm23,12576.35682,48
Gm24,5185.150507,4
Gm25,885.1880331,12
Gm26,1116.678628,13
Gm27,1993.071714,20
Gm28,808.2269192,10
Gm29,20180.11738,40
Gm3,30463.63981,239
Gm30,5659.921898,61
Gm31,1690.665584,22
Gm4,35443.33609,258
Gm5,37148.60795,228
Gm6,13921.41552,138
Gm7,13754.86264,9
Gm8,26759.68416,214
Gm9,5385.283129,38
Gs1,3870.448132,23
Gs10,54121.64895,266
Gs11,5757.899612,49
Gs12,16700.91936,166
Gs13,1438.42379,16
Gs14,11307.13894,96
Gs15,13583.55945,124
Gs16,6853.747227,73
Gs17,27218.58012,200
Gs18,5358.444453,42
Gs19,21538.63015,107
Gs2,11671.36702,61
Gs20,24558.33591,160
Gs3,16228.08381,61
Gs4,24918.266,169
Gs6,41839.55101,133
Gs7,8098.094658,76
Gs8,9437.14873,62
Gs9,23010.69293,135
NKb1,54631.03793,219
NKb2,1573.404357,20
NKb3,114332.6315,685
NKb4,39630.01153,95
NKb5,34373.60113,203
NKb6,63134.7663,563
NKl1,28825.11208,275
NKl2,18190.70532,155
NKl4,5346.284014,31
NKu1,27601.06162,248
NKu2,97641.6767,603
NKu3,88583.21187,634
NKu4,101007.8427,737
SKk1,4512.490747,41
SKk2,782.1677445,9
SKk3,6998.020019,48
SKk4,8051.443332,40
SKk5,4019.425582,37
SKk6,1793.959565,11
SKk7,631.121688,8
SKk8,1125.737009,0
SKk9,2506.053724,20
SKn1,39308.88927,204
SKn2,1107.328793,18
SKn3,12601.05549,104
SKn4,17280.72918,136
SKn5,2023.842537,26
SKn6,4399.343333,28
SKn7,3919.086655,43
SKr1,2137.561117,30
SKr10,144.3346894,3
SKr11,214.4363357,4
SKr12,1227.465574,17
SKr13,1638.55566,24
SKr14,1259.758031,14
SKr15,369.1462773,7
SKr16,611.2946985,11
SKr17,509.0475642,11
SKr18,10628.05109,67
SKr19,6499.073941,35
SKr2,310.9232123,7
SKr3,188.9617241,5
SKr4,2980.053286,28
SKr5,20.44042552,2
SKr6,165.8484514,5
SKr7,2199.528039,19
SKr8,66.17438065,3
SKr9,4.207755122,1
SKs1,1304.176772,20
SKs10,243.9409375,4
SKs11,7954.436558,19
SKs12,2447.645116,19
SKs13,853.5021802,12
SKs14,6694.115852,47
SKs2,821.4148715,14
SKs3,685.0390796,11
SKs4,1236.36826,19
SKs5,993.2934924,15
SKs6,213.9441,5
SKs7,13857.28478,94
SKs8,2567.075683,32
SKs9,6931.679021,48
SKt1,877.0713217,7
SKt2,11398.74606,120
SKt3,12514.79069,99
SKv1,4077.196544,25
SKv10,4419.677244,28
SKv11,4790.322234,51
SKv13,5523.533369,59
SKv14,3468.004991,39
SKv2,1752.891124,23
SKv3,3069.11865,32
SKv4,5580.268908,45
SKv5,13660.2922,125
SKv6,9123.828544,85
SKv7,2838.393063,26
SKv8,10270.17349,93
SVcb1,18754.42525,173
SVcb10,15533.94288,59
SVcb11,43221.30243,143
SVcb12,41978.26708,319
SVcb13,6610.415079,64
SVcb14,1986.312374,25
SVcb15,13513.5201,121
SVcb16,34133.49073,267
SVcb17,20749.4781,183
SVcb18,10475.31971,98
SVcb19,26724.5722,182
SVcb2,6998.740086,41
SVcb20,15278.59242,146
SVcb21,8552.26669,79
SVcb22,1.114277259,0
SVcb23,6855.316109,70
SVcb24,6744.264469,40
SVcb25,5826.595785,37
SVcb26,8376.351591,57
SVcb27,4653.161972,50
SVcb28,6059.762359,51
SVcb29,3340.106969,22
SVcb3,5638.601945,48
SVcb4,21020.56572,142
SVcb5,564.4748924,9
SVcb6,6427.25622,50
SVcb7,3265.492873,31
