"","BIOME","T_Name","T_MAPCODE","nat_1750","nat_1990","nat_2014","nat_2018","nat_2020","nat_2022","pnat_1990","pnat_2014","pnat_2018","pnat_2020","pnat_2022","ARD","nat_2040","prplost9040","ROD","A2b","A3"
"1","Albany Thicket","Albany Arid Thicket","AT15",14.6008,14.5868,14.5868,14.5808,14.5756,14.5748,0.999041148430223,0.999041148430223,0.998630212043176,0.998274067174401,0.998219275656128,0.000375000000000014,14.56805,0.00128540872569725,0.00257081745139451,"LC","LC"
"2","Albany Thicket","Albany Bontveld","AT16",53.7692,51.6708,51.5376,51.228,51.1812,51.1648,0.960973940471497,0.958496685835013,0.95273874262589,0.95186835586172,0.951563348534105,0.0158125,50.880175,0.0153011952592179,0.030602390518436,"LC","LC"
"3","Albany Thicket","Albany Mesic Thicket","AT17",729.2028,596.6388,583.9288,577.5332,576.8664,576.74,0.81820695148181,0.800776958069827,0.792006284122881,0.791091860865043,0.790918520883354,0.621837499999998,565.546925,0.0521117215306813,0.104223443061363,"LC","LC"
"4","Albany Thicket","Albany Valley Thicket","AT18",1175.6312,1053.0648,1042.0532,1036.318,1035.1504,1034.7104,0.895744175554375,0.886377632713388,0.881499232072099,0.880506063466162,0.88013179643412,0.573575000000005,1024.38605,0.0272336042378401,0.0544672084756802,"LC","LC"
"5","Albany Thicket","Baviaans Valley Thicket","AT19",1077.8672,1066.2648,1064.7868,1062.4632,1061.9932,1061.8264,0.989235779695309,0.987864553258509,0.985708814592373,0.985272768296503,0.985118018249373,0.1387,1059.3298,0.00650401288685507,0.0130080257737102,"LC","LC"
"6","Albany Thicket","Bethelsdorp Bontveld","AT20",35.5164,22.214,21.0356,20.066,20.0452,20.0016,0.62545753511054,0.592278496694485,0.564978432498789,0.564392787557298,0.563165185660709,0.0691375,18.757125,0.155616953272711,0.311233906545422,"LC","LC"
"7","Albany Thicket","Buffels Mesic Thicket","AT21",386.3068,321.126,315.4696,311.724,311.3724,310.8976,0.831271932049863,0.816629683971393,0.806933763526813,0.806023606107892,0.804794531186094,0.319637499999999,305.144125,0.0497682373896849,0.0995364747793697,"LC","LC"
"8","Albany Thicket","Buffels Valley Thicket","AT22",215.488,109.5176,97.942,93.6752,93.084,92.3968,0.508230620730621,0.454512548262548,0.43471190971191,0.431968369468369,0.428779328779329,0.535025,82.76635,0.24426439220728,0.48852878441456,"LC","VU"
"9","Albany Thicket","Crossroads Grassland Thicket","AT23",311.1928,272.4976,270.6884,268.592,268.436,268.2796,0.875655220814877,0.869841461627647,0.863104801910584,0.86260350496541,0.862100922643455,0.131812499999999,265.906975,0.0241859928307623,0.0483719856615246,"LC","LC"
"10","Albany Thicket","Doubledrift Karroid Thicket","AT24",2976.1348,2631.7344,2617.014,2601.7712,2600.252,2598.0464,0.884279300789736,0.879333153861176,0.874211477248947,0.873701016499656,0.872959921035835,1.05274999999999,2579.0969,0.0200010684968815,0.0400021369937631,"LC","LC"
"11","Albany Thicket","Eastern Gwarrieveld","AT25",2128.9656,2116.8632,2115.7348,2111.2128,2110.1224,2109.2204,0.994315361413073,0.99378533875794,0.991661302559327,0.99114912894788,0.99072544901618,0.238837499999988,2104.921325,0.00564130691109351,0.0112826138221869,"LC","LC"
"12","Albany Thicket","Elands Forest Thicket","AT26",40.4824,32.3728,30.8656,30.3004,30.2088,30.174,0.799675908542972,0.762444914333142,0.748483291504456,0.746220579807521,0.745360946979428,0.0687125,28.937175,0.106126902832007,0.212253805664014,"LC","LC"
"13","Albany Thicket","Escarpment Arid Thicket","AT27",1239.9792,1234.4484,1233.2544,1231.6208,1231.184,1230.8536,0.995539602599786,0.994576683221783,0.993259241767926,0.992906977794466,0.992640521711977,0.112337500000002,1228.831525,0.00455010918236855,0.00910021836473703,"LC","LC"
"14","Albany Thicket","Escarpment Mesic Thicket","AT28",1030.5104,920.2624,913.5756,909.176,908.47,908.232,0.893016120943564,0.886527297541102,0.882257956833818,0.881572859429657,0.881341905913807,0.37595,901.4649,0.0204262392987044,0.0408524785974087,"LC","LC"
"15","Albany Thicket","Escarpment Valley Thicket","AT29",784.614,771.7464,770.276,768.554,768.3452,768.056,0.983600088706039,0.981726046183219,0.979531336427849,0.97926521831117,0.978896629425424,0.115324999999999,765.98015,0.00747169018216334,0.0149433803643268,"LC","LC"
"16","Albany Thicket","Fish Arid Thicket","AT30",674.0584,633.7716,629.7036,626.7168,626.088,625.3256,0.940232478372794,0.934197392985534,0.929766322918014,0.928833466061694,0.927702406794426,0.263937500000001,620.574725,0.0208227617015343,0.0416455234030684,"LC","LC"
"17","Albany Thicket","Fish Mesic Thicket","AT31",240.8016,212.2452,211.38,210.2988,210.2132,210.196,0.881411086969522,0.877818087587458,0.873328084198776,0.872972604833191,0.872901176736367,0.0640375000000004,209.043325,0.0150857357433762,0.0301714714867523,"LC","LC"
"18","Albany Thicket","Fish Valley Thicket","AT32",3596.184,3489.004,3466.9484,3455.1392,3452.8,3450.6652,0.970196185734657,0.96406312913911,0.960779314962749,0.960128847689662,0.95953521844266,1.1980875,3429.099625,0.0171694773064176,0.0343389546128351,"LC","LC"
"19","Albany Thicket","Gamka Arid Thicket","AT33",491.8056,486.4956,485.7588,484.4204,484.2196,484.0704,0.989203050961599,0.987704898032881,0.984983497544558,0.98457520613836,0.984271834236942,0.0757875000000006,482.706225,0.0077891249170599,0.0155782498341199,"LC","LC"
"20","Albany Thicket","Gamka Valley Thicket","AT34",167.5268,163.5256,162.9968,161.8124,161.734,161.674,0.976116060236332,0.972959550352541,0.965889636762596,0.965421651938675,0.965063500287715,0.0578624999999997,160.632475,0.0176921839760869,0.0353843679521737,"LC","LC"
"21","Albany Thicket","Geluk Grassland Thicket","AT35",30.1476,19.5128,18.71,18.4276,18.378,18.3744,0.647242234871101,0.620613249479229,0.61124600299858,0.60960076423994,0.609481351749393,0.0355749999999999,17.73405,0.0911581115985402,0.18231622319708,"LC","LC"
"22","Albany Thicket","Goukamma Dune Thicket","AT36",51.4116,33.5308,31.96,29.9712,29.8592,29.7644,0.652203004769352,0.621649588808751,0.582965712018299,0.580787215336617,0.578943273502478,0.1177,27.6458,0.175510277118351,0.351020554236702,"LC","LC"
"23","Albany Thicket","Gouritz Valley Thicket","AT37",176.6464,122.4728,112.8844,106.6108,106.2076,106.1272,0.693321799934785,0.639041610811202,0.603526593239375,0.60124406724394,0.600788920691279,0.5108,96.9328,0.208536099444122,0.417072198888243,"LC","LC"
"24","Albany Thicket","Grahamstown Grassland Thicket","AT38",1290.854,909.3172,870.3608,854.3688,851.5792,849.7652,0.704430710211999,0.6742519293429,0.661863231628054,0.659702181656485,0.658296910417445,1.861,816.2672,0.102329528133857,0.204659056267714,"LC","LC"
"25","Albany Thicket","Grassridge Bontveld","AT39",245.8596,225.77,222.4484,218.4864,217.718,216.984,0.918288323905188,0.904778174209996,0.888663285875353,0.885537924896974,0.882552481172181,0.2745625,212.041875,0.0608057979359525,0.121611595871905,"LC","LC"
"26","Albany Thicket","Hartenbos Dune Thicket","AT40",596.3172,502.0212,493.1304,465.11,463.9972,463.16,0.841869394342474,0.826959879741855,0.779970794067319,0.778104673150464,0.776700722367223,1.2144125,441.300575,0.120952312372466,0.241904624744931,"LC","LC"
"27","Albany Thicket","Kasouga Dune Thicket","AT41",307.5216,220.4128,212.6232,208.9188,208.1496,207.8656,0.716739246934199,0.69140899370971,0.67936301059828,0.676861722883856,0.675938210519196,0.3921,200.8078,0.0889467399352488,0.177893479870498,"LC","LC"
"28","Albany Thicket","Koedoeskloof Karroid Thicket","AT42",59.8564,54.6732,53.8604,52.9968,52.8664,51.7304,0.913406085230652,0.899826919093029,0.885399055071805,0.883220507748545,0.864241751926277,0.0919624999999999,50.075075,0.0841019914693121,0.168203982938624,"LC","LC"
"29","Albany Thicket","Mons Ruber Fynbos Thicket","AT43",286.2032,270.7712,268.8528,266.2556,265.994,265.86,0.946080267446346,0.93937733750007,0.930302666077808,0.929388630176043,0.92892043135786,0.153475,263.09745,0.028340347865652,0.0566806957313039,"LC","LC"
"30","Albany Thicket","Motherwell Karroid Thicket","AT44",163.4576,88.7144,73.2196,64.7528,64.3312,63.2552,0.542736464991533,0.447942463366647,0.396144321218469,0.393565059073423,0.386982312232652,0.7956,48.9344,0.448405219445772,0.896810438891544,"VU","VU"
"31","Albany Thicket","Nanaga Savanna Thicket","AT45",697.0252,451.4752,437.408,431.6956,430.7936,430.4944,0.64771718440022,0.627535417657783,0.619340018122731,0.618045947262739,0.617616694489668,0.65565,418.6927,0.0726119618530541,0.145223923706108,"LC","LC"
"32","Albany Thicket","Oudtshoorn Karroid Thicket","AT46",571.8576,557.298,555.9052,552.8852,552.4164,552.0688,0.974539815506518,0.972104244133505,0.966823209134582,0.966003424628789,0.965395580997787,0.1634125,549.127375,0.0146611417948745,0.0293222835897491,"LC","LC"
