VegCode,Threat,SubThreat,SubSubThreat,NATIONAL STATUS,Taxon
FOz5,Habitat degradation,Fires,Too frequent fires,EN,Empogona africana
FOz5,Harvesting [gathering],Fuel,,EN,Empogona africana
FOz1,Invasive Alien Species (direct effects),Competitors,,EN,Ocotea bullata
FOz1,Habitat degradation,Fires,Too frequent fires,EN,Ocotea bullata
FOz1,Harvesting [gathering],Medicine,,EN,Ocotea bullata
FOz1,Invasive Alien Species (direct effects),,,EN,Ocotea bullata
FOz1,Habitat loss,Agriculture,Wood plantations,EN,Ocotea bullata
FOz2,Invasive Alien Species (direct effects),Competitors,,EN,Ocotea bullata
FOz2,Habitat degradation,Fires,Too frequent fires,EN,Ocotea bullata
FOz2,Harvesting [gathering],Medicine,,EN,Ocotea bullata
FOz2,Invasive Alien Species (direct effects),,,EN,Ocotea bullata
FOz2,Habitat loss,Agriculture,Wood plantations,EN,Ocotea bullata
FOz3,Invasive Alien Species (direct effects),Competitors,,EN,Ocotea bullata
FOz3,Habitat degradation,Fires,Too frequent fires,EN,Ocotea bullata
FOz3,Harvesting [gathering],Medicine,,EN,Ocotea bullata
FOz3,Invasive Alien Species (direct effects),,,EN,Ocotea bullata
FOz3,Habitat loss,Agriculture,Wood plantations,EN,Ocotea bullata
FOz4,Invasive Alien Species (direct effects),Competitors,,EN,Ocotea bullata
FOz4,Habitat degradation,Fires,Too frequent fires,EN,Ocotea bullata
FOz4,Harvesting [gathering],Medicine,,EN,Ocotea bullata
FOz4,Invasive Alien Species (direct effects),,,EN,Ocotea bullata
FOz4,Habitat loss,Agriculture,Wood plantations,EN,Ocotea bullata
FOz5,Invasive Alien Species (direct effects),Competitors,,EN,Ocotea bullata
FOz5,Habitat degradation,Fires,Too frequent fires,EN,Ocotea bullata
FOz5,Harvesting [gathering],Medicine,,EN,Ocotea bullata
FOz5,Invasive Alien Species (direct effects),,,EN,Ocotea bullata
FOz5,Habitat loss,Agriculture,Wood plantations,EN,Ocotea bullata
FOz6,Invasive Alien Species (direct effects),Competitors,,EN,Ocotea bullata
FOz6,Habitat degradation,Fires,Too frequent fires,EN,Ocotea bullata
FOz6,Harvesting [gathering],Medicine,,EN,Ocotea bullata
FOz6,Invasive Alien Species (direct effects),,,EN,Ocotea bullata
FOz6,Habitat loss,Agriculture,Wood plantations,EN,Ocotea bullata
FOz7,Invasive Alien Species (direct effects),Competitors,,EN,Ocotea bullata
FOz7,Habitat degradation,Fires,Too frequent fires,EN,Ocotea bullata
FOz7,Harvesting [gathering],Medicine,,EN,Ocotea bullata
FOz7,Invasive Alien Species (direct effects),,,EN,Ocotea bullata
FOz7,Habitat loss,Agriculture,Wood plantations,EN,Ocotea bullata
AZa2,Invasive Alien Species (direct effects),Competitors,,NT,Cryptocarya angustifolia
FFa2,Invasive Alien Species (direct effects),Competitors,,NT,Cryptocarya angustifolia
FFs1,Invasive Alien Species (direct effects),Competitors,,NT,Cryptocarya angustifolia
FFs10,Invasive Alien Species (direct effects),Competitors,,NT,Cryptocarya angustifolia
FFs11,Invasive Alien Species (direct effects),Competitors,,NT,Cryptocarya angustifolia
FFs16,Invasive Alien Species (direct effects),Competitors,,NT,Cryptocarya angustifolia
FFs5,Invasive Alien Species (direct effects),Competitors,,NT,Cryptocarya angustifolia
FOz3,Harvesting [gathering],Medicine,,VU,Cryptocarya myrtifolia
FOz3,Invasive Alien Species (direct effects),Competitors,,VU,Cryptocarya myrtifolia
FOz3,Habitat degradation,Agriculture,Livestock,VU,Cryptocarya myrtifolia
FOz3,Habitat loss,Agriculture,Wood plantations,VU,Cryptocarya myrtifolia
FOz3,Habitat degradation,Extraction,Wood,VU,Cryptocarya myrtifolia
FOz5,Harvesting [gathering],Medicine,,VU,Cryptocarya myrtifolia
FOz5,Invasive Alien Species (direct effects),Competitors,,VU,Cryptocarya myrtifolia
FOz5,Habitat degradation,Agriculture,Livestock,VU,Cryptocarya myrtifolia
FOz5,Habitat loss,Agriculture,Wood plantations,VU,Cryptocarya myrtifolia
FOz5,Habitat degradation,Extraction,Wood,VU,Cryptocarya myrtifolia
FOz7,Harvesting [gathering],Medicine,,VU,Cryptocarya myrtifolia
FOz7,Invasive Alien Species (direct effects),Competitors,,VU,Cryptocarya myrtifolia
FOz7,Habitat degradation,Agriculture,Livestock,VU,Cryptocarya myrtifolia
FOz7,Habitat loss,Agriculture,Wood plantations,VU,Cryptocarya myrtifolia
FOz7,Habitat degradation,Extraction,Wood,VU,Cryptocarya myrtifolia
FOz5,Habitat degradation,Extraction,Wood,EN,Dahlgrenodendron natalense
FOz5,Intrinsic Factors,Low densities,,EN,Dahlgrenodendron natalense
FOz5,Invasive Alien Species (direct effects),Competitors,,EN,Dahlgrenodendron natalense
FOz5,Intrinsic Factors,Poor recruitment/reproduction/regeneration,,EN,Dahlgrenodendron natalense
FOz7,Habitat degradation,Extraction,Wood,EN,Dahlgrenodendron natalense
FOz7,Intrinsic Factors,Low densities,,EN,Dahlgrenodendron natalense
FOz7,Invasive Alien Species (direct effects),Competitors,,EN,Dahlgrenodendron natalense
FOz7,Intrinsic Factors,Poor recruitment/reproduction/regeneration,,EN,Dahlgrenodendron natalense
SKs7,Habitat loss,Infrastructure development,Human settlement,VU,Chaenostoma multiramosum
SKs7,Habitat loss,Extraction,Mining,VU,Chaenostoma multiramosum
SKs7,Habitat loss,Agriculture,Crops,VU,Chaenostoma multiramosum
FOz5,Habitat degradation,Agriculture,Livestock,Rare,Chaenostoma platysepalum
SVs6,Habitat degradation,Agriculture,Livestock,Rare,Chaenostoma platysepalum
FFs32,Habitat loss,Agriculture,Crops,EN,Polycarena nardouwensis
FFg3,Invasive Alien Species (direct effects),Competitors,,CR,Polycarena silenoides
FFg3,Habitat degradation,Fires,Too frequent fires,CR,Polycarena silenoides
FFd2,Habitat loss,Agriculture,Crops,EN,Polycarena subtilis
FFs3,Habitat loss,Agriculture,Crops,EN,Polycarena subtilis
Dn4,Habitat loss,Extraction,Mining,EN,Phyllopodium hispidulum
Dn4,Habitat degradation,Agriculture,Livestock,EN,Phyllopodium hispidulum
SKs2,Habitat loss,Extraction,Mining,EN,Phyllopodium hispidulum
SKs2,Habitat degradation,Agriculture,Livestock,EN,Phyllopodium hispidulum
FFd2,Invasive Alien Species (direct effects),Competitors,,VU,Phyllopodium mimetes
FFd2,Habitat loss,Agriculture,Crops,VU,Phyllopodium mimetes
FFd3,Invasive Alien Species (direct effects),Competitors,,VU,Phyllopodium mimetes
FFd3,Habitat loss,Agriculture,Crops,VU,Phyllopodium mimetes
FFd4,Invasive Alien Species (direct effects),Competitors,,VU,Phyllopodium mimetes
FFd4,Habitat loss,Agriculture,Crops,VU,Phyllopodium mimetes
Dn3,Habitat degradation,Agriculture,Livestock,VU*,Phyllopodium namaense
Dn3,Habitat loss,Extraction,Mining,VU*,Phyllopodium namaense
Dn4,Habitat degradation,Agriculture,Livestock,VU*,Phyllopodium namaense
Dn4,Habitat loss,Extraction,Mining,VU*,Phyllopodium namaense
AZi7,Habitat degradation,Agriculture,Livestock,VU,Octopoma nanum
FRs3,Habitat degradation,Agriculture,Livestock,VU,Octopoma nanum
FRs6,Habitat degradation,Agriculture,Livestock,VU,Octopoma nanum
FRs7,Habitat degradation,Agriculture,Livestock,VU,Octopoma nanum
SKv5,Habitat degradation,Agriculture,Livestock,VU,Octopoma nanum
SKv8,Habitat degradation,Agriculture,Livestock,VU,Octopoma nanum
SKv10,Changes in native species dynamics,Other,,VU,Octopoma octojuge
SKv8,Changes in native species dynamics,Other,,VU,Octopoma octojuge
FFd2,Habitat loss,Agriculture,Crops,EN,Dischisma squarrosum
FFs2,Habitat loss,Agriculture,Crops,EN,Dischisma squarrosum
SKs13,Habitat loss,Agriculture,Crops,EN,Dischisma squarrosum
FS3,Habitat degradation,Other causes,,VU,Dischisma crassum
FS5,Habitat degradation,Other causes,,VU,Dischisma crassum
SKv10,Habitat degradation,Agriculture,Livestock,VU,Octopoma quadrisepalum
SKv10,Habitat loss,Erosion,,VU,Octopoma quadrisepalum
SKv8,Habitat degradation,Agriculture,Livestock,VU,Octopoma quadrisepalum
SKv8,Habitat loss,Erosion,,VU,Octopoma quadrisepalum
FFd4,Invasive Alien Species (direct effects),Competitors,,EN,Microdon capitatus
FFd4,Invasive Alien Species (direct effects),,,EN,Microdon capitatus
FFd4,Habitat loss,Agriculture,Crops,EN,Microdon capitatus
FFd4,Habitat loss,Infrastructure development,Human settlement,EN,Microdon capitatus
FFd5,Invasive Alien Species (direct effects),Competitors,,EN,Microdon capitatus
FFd5,Invasive Alien Species (direct effects),,,EN,Microdon capitatus
FFd5,Habitat loss,Agriculture,Crops,EN,Microdon capitatus
FFd5,Habitat loss,Infrastructure development,Human settlement,EN,Microdon capitatus
FFd6,Invasive Alien Species (direct effects),Competitors,,EN,Microdon capitatus
FFd6,Invasive Alien Species (direct effects),,,EN,Microdon capitatus
FFd6,Habitat loss,Agriculture,Crops,EN,Microdon capitatus
FFd6,Habitat loss,Infrastructure development,Human settlement,EN,Microdon capitatus
FRg2,Invasive Alien Species (direct effects),Competitors,,EN,Microdon capitatus
FRg2,Invasive Alien Species (direct effects),,,EN,Microdon capitatus
FRg2,Habitat loss,Agriculture,Crops,EN,Microdon capitatus
FRg2,Habitat loss,Infrastructure development,Human settlement,EN,Microdon capitatus
FFs28,Invasive Alien Species (direct effects),Competitors,,VU,Freylinia crispa
FRs11,Habitat degradation,Agriculture,Livestock,EN,Freylinia helmei
FRs11,Habitat loss,Agriculture,Crops,EN,Freylinia helmei
FRs11,Invasive Alien Species (direct effects),Competitors,,EN,Freylinia helmei
FFf1,Invasive Alien Species (direct effects),Competitors,,EN,Freylinia longiflora
FFf1,Habitat loss,Infrastructure development,Transport - land/air,EN,Freylinia longiflora
FFf1,Habitat loss,Infrastructure development,Dams,EN,Freylinia longiflora
FFf1,Habitat degradation,Fires,Too irregular fires,EN,Freylinia longiflora
FFf1,Invasive Alien Species (direct effects),,,EN,Freylinia longiflora
FFf1,Habitat loss,Agriculture,Crops,EN,Freylinia longiflora
FFf1,Habitat loss,Infrastructure development,Tourism/recreation,EN,Freylinia longiflora
FFf1,Pollution (affecting habitat and/or species),Land pollution,Agricultural,EN,Freylinia longiflora
FFh6,Invasive Alien Species (direct effects),Competitors,,EN,Freylinia longiflora
FFh6,Habitat loss,Infrastructure development,Transport - land/air,EN,Freylinia longiflora
FFh6,Habitat loss,Infrastructure development,Dams,EN,Freylinia longiflora
FFh6,Habitat degradation,Fires,Too irregular fires,EN,Freylinia longiflora
FFh6,Invasive Alien Species (direct effects),,,EN,Freylinia longiflora
FFh6,Habitat loss,Agriculture,Crops,EN,Freylinia longiflora
FFh6,Habitat loss,Infrastructure development,Tourism/recreation,EN,Freylinia longiflora
FFh6,Pollution (affecting habitat and/or species),Land pollution,Agricultural,EN,Freylinia longiflora
FFs11,Invasive Alien Species (direct effects),Competitors,,EN,Freylinia longiflora
FFs11,Habitat loss,Infrastructure development,Transport - land/air,EN,Freylinia longiflora
FFs11,Habitat loss,Infrastructure development,Dams,EN,Freylinia longiflora
FFs11,Habitat degradation,Fires,Too irregular fires,EN,Freylinia longiflora
FFs11,Invasive Alien Species (direct effects),,,EN,Freylinia longiflora
FFs11,Habitat loss,Agriculture,Crops,EN,Freylinia longiflora
FFs11,Habitat loss,Infrastructure development,Tourism/recreation,EN,Freylinia longiflora
FFs11,Pollution (affecting habitat and/or species),Land pollution,Agricultural,EN,Freylinia longiflora
FFd3,Habitat loss,Agriculture,Crops,CR,Freylinia visseri
FFd3,Invasive Alien Species (direct effects),Competitors,,CR,Freylinia visseri
FFd3,Habitat degradation,Fires,Too irregular fires,CR,Freylinia visseri
FS3,Habitat loss,Agriculture,Crops,CR,Freylinia visseri
FS3,Invasive Alien Species (direct effects),Competitors,,CR,Freylinia visseri
FS3,Habitat degradation,Fires,Too irregular fires,CR,Freylinia visseri
Gm12,Invasive Alien Species (direct effects),Competitors,,Rare,Bowkeria citrina
Gm14,Invasive Alien Species (direct effects),Competitors,,Rare,Bowkeria citrina
Gm15,Invasive Alien Species (direct effects),Competitors,,Rare,Bowkeria citrina
Gm16,Habitat degradation,Agriculture,Livestock,VU,Melanospermum italae
Gs2,Habitat degradation,Agriculture,Livestock,VU,Melanospermum italae
FFs18,Invasive Alien Species (direct effects),Competitors,,Rare,Harveya roseoalba
FFs21,Invasive Alien Species (direct effects),Competitors,,Rare,Harveya roseoalba
AT40,Invasive Alien Species (direct effects),Competitors,,NT,Jamesbrittenia calciphila
FFl1,Invasive Alien Species (direct effects),Competitors,,NT,Jamesbrittenia calciphila
FFl2,Invasive Alien Species (direct effects),Competitors,,NT,Jamesbrittenia calciphila
FFl3,Invasive Alien Species (direct effects),Competitors,,NT,Jamesbrittenia calciphila
FRd2,Habitat degradation,Agriculture,Livestock,VU,Jamesbrittenia incisa
FRd2,Natural disasters,Drought,,VU,Jamesbrittenia incisa
FRd2,Habitat degradation,Agriculture,,VU,Jamesbrittenia incisa
FRs3,Habitat degradation,Agriculture,Livestock,VU,Jamesbrittenia incisa
FRs3,Natural disasters,Drought,,VU,Jamesbrittenia incisa
FRs3,Habitat degradation,Agriculture,,VU,Jamesbrittenia incisa
NKb6,Habitat degradation,Agriculture,Livestock,VU,Jamesbrittenia incisa
NKb6,Natural disasters,Drought,,VU,Jamesbrittenia incisa
NKb6,Habitat degradation,Agriculture,,VU,Jamesbrittenia incisa
NKu1,Habitat degradation,Agriculture,Livestock,VU,Jamesbrittenia incisa
NKu1,Natural disasters,Drought,,VU,Jamesbrittenia incisa
NKu1,Habitat degradation,Agriculture,,VU,Jamesbrittenia incisa
SKt2,Habitat degradation,Agriculture,Livestock,VU,Jamesbrittenia incisa
SKt2,Natural disasters,Drought,,VU,Jamesbrittenia incisa
SKt2,Habitat degradation,Agriculture,,VU,Jamesbrittenia incisa
SKt3,Habitat degradation,Agriculture,Livestock,VU,Jamesbrittenia incisa
SKt3,Natural disasters,Drought,,VU,Jamesbrittenia incisa
SKt3,Habitat degradation,Agriculture,,VU,Jamesbrittenia incisa
SKr1,Habitat degradation,Agriculture,Livestock,VU,Manulea robusta
SKr3,Habitat degradation,Agriculture,Livestock,VU,Manulea robusta
SKr9,Habitat degradation,Agriculture,Livestock,VU,Manulea robusta
SKr1,Habitat degradation,Agriculture,Livestock,VU,Manulea aridicola
SKr3,Habitat degradation,Agriculture,Livestock,VU,Manulea aridicola
FS2,Habitat degradation,Agriculture,Livestock,EN,Manulea augei
FS2,Habitat loss,Infrastructure development,Human settlement,EN,Manulea augei
FS4,Habitat degradation,Agriculture,Livestock,EN,Manulea augei
FS4,Habitat loss,Infrastructure development,Human settlement,EN,Manulea augei
SKs1,Habitat loss,Extraction,Mining,VU,Manulea cinerea
SKs7,Habitat loss,Extraction,Mining,VU,Manulea cinerea
SKs8,Habitat loss,Extraction,Mining,VU,Manulea cinerea
SKs9,Habitat loss,Extraction,Mining,VU,Manulea cinerea
FFd4,Habitat loss,Agriculture,Crops,VU,Manulea corymbosa
FFd4,Habitat loss,Infrastructure development,Human settlement,VU,Manulea corymbosa
FFd4,Invasive Alien Species (direct effects),Competitors,,VU,Manulea corymbosa
FFd5,Habitat loss,Agriculture,Crops,VU,Manulea corymbosa
FFd5,Habitat loss,Infrastructure development,Human settlement,VU,Manulea corymbosa
FFd5,Invasive Alien Species (direct effects),Competitors,,VU,Manulea corymbosa
FRg2,Habitat loss,Agriculture,Crops,VU,Manulea corymbosa
FRg2,Habitat loss,Infrastructure development,Human settlement,VU,Manulea corymbosa
FRg2,Invasive Alien Species (direct effects),Competitors,,VU,Manulea corymbosa
FS3,Habitat loss,Agriculture,Crops,VU,Manulea corymbosa
FS3,Habitat loss,Infrastructure development,Human settlement,VU,Manulea corymbosa
FS3,Invasive Alien Species (direct effects),Competitors,,VU,Manulea corymbosa
FS6,Habitat loss,Agriculture,Crops,VU,Manulea corymbosa
FS6,Habitat loss,Infrastructure development,Human settlement,VU,Manulea corymbosa
FS6,Invasive Alien Species (direct effects),Competitors,,VU,Manulea corymbosa
FFd1,Habitat loss,Infrastructure development,Human settlement,NT,Manulea altissima subsp. altissima
FFd1,Habitat loss,Agriculture,Crops,NT,Manulea altissima subsp. altissima
FFd2,Habitat loss,Infrastructure development,Human settlement,NT,Manulea altissima subsp. altissima
FFd2,Habitat loss,Agriculture,Crops,NT,Manulea altissima subsp. altissima
FFd3,Habitat loss,Infrastructure development,Human settlement,NT,Manulea altissima subsp. altissima
FFd3,Habitat loss,Agriculture,Crops,NT,Manulea altissima subsp. altissima
FFs1,Habitat loss,Infrastructure development,Human settlement,NT,Manulea altissima subsp. altissima
FFs1,Habitat loss,Agriculture,Crops,NT,Manulea altissima subsp. altissima
FFs2,Habitat loss,Infrastructure development,Human settlement,NT,Manulea altissima subsp. altissima
FFs2,Habitat loss,Agriculture,Crops,NT,Manulea altissima subsp. altissima
FFs6,Habitat loss,Infrastructure development,Human settlement,NT,Manulea altissima subsp. altissima
FFs6,Habitat loss,Agriculture,Crops,NT,Manulea altissima subsp. altissima
FS1,Habitat loss,Infrastructure development,Human settlement,NT,Manulea altissima subsp. altissima
FS1,Habitat loss,Agriculture,Crops,NT,Manulea altissima subsp. altissima
FS3,Habitat loss,Infrastructure development,Human settlement,NT,Manulea altissima subsp. altissima
FS3,Habitat loss,Agriculture,Crops,NT,Manulea altissima subsp. altissima
FS5,Habitat loss,Infrastructure development,Human settlement,NT,Manulea altissima subsp. altissima
FS5,Habitat loss,Agriculture,Crops,NT,Manulea altissima subsp. altissima
SKs13,Habitat loss,Infrastructure development,Human settlement,NT,Manulea altissima subsp. altissima
SKs13,Habitat loss,Agriculture,Crops,NT,Manulea altissima subsp. altissima
FFd6,Habitat loss,Infrastructure development,Human settlement,VU,Manulea exigua
FFd6,Invasive Alien Species (direct effects),Competitors,,VU,Manulea exigua
FFs12,Habitat loss,Infrastructure development,Human settlement,VU,Manulea exigua
FFs12,Invasive Alien Species (direct effects),Competitors,,VU,Manulea exigua
FFd2,Habitat loss,Agriculture,Crops,EN,Manulea pillansii
FS1,Habitat loss,Agriculture,Crops,EN,Manulea pillansii
FFs1,Habitat degradation,Agriculture,Livestock,CR PE,Manulea ramulosa
FFs1,Habitat loss,Agriculture,Crops,CR PE,Manulea ramulosa
AZd4,Pollution (affecting habitat and/or species),Land pollution,Domestic,CR,Hyobanche fulleri
AZd4,Habitat loss,Infrastructure development,Human settlement,CR,Hyobanche fulleri
AZd4,Habitat loss,Infrastructure development,Transport - land/air,CR,Hyobanche fulleri
AZd4,Habitat loss,Erosion,,CR,Hyobanche fulleri
CB3,Pollution (affecting habitat and/or species),Land pollution,Domestic,CR,Hyobanche fulleri
CB3,Habitat loss,Infrastructure development,Human settlement,CR,Hyobanche fulleri
CB3,Habitat loss,Infrastructure development,Transport - land/air,CR,Hyobanche fulleri
CB3,Habitat loss,Erosion,,CR,Hyobanche fulleri
CB4,Pollution (affecting habitat and/or species),Land pollution,Domestic,CR,Hyobanche fulleri
CB4,Habitat loss,Infrastructure development,Human settlement,CR,Hyobanche fulleri
CB4,Habitat loss,Infrastructure development,Transport - land/air,CR,Hyobanche fulleri
CB4,Habitat loss,Erosion,,CR,Hyobanche fulleri
AT36,Habitat loss,Infrastructure development,Human settlement,EN,Hyobanche robusta
AT36,Invasive Alien Species (direct effects),Competitors,,EN,Hyobanche robusta
AT57,Habitat loss,Infrastructure development,Human settlement,EN,Hyobanche robusta
AT57,Invasive Alien Species (direct effects),Competitors,,EN,Hyobanche robusta
Gs9,Habitat loss,Agriculture,Crops,EN,Selago longiflora
Gs9,Habitat loss,Agriculture,Wood plantations,EN,Selago longiflora
AT44,Habitat loss,Infrastructure development,Human settlement,CR PE,Selago polycephala
AT44,Habitat loss,Infrastructure development,Industry,CR PE,Selago polycephala
AT44,Invasive Alien Species (direct effects),Competitors,,CR PE,Selago polycephala
FFd9,Habitat degradation,Fires,Too irregular fires,EN,Selago ramosissima
FFd9,Habitat degradation,Agriculture,Livestock,EN,Selago ramosissima
FFd9,Invasive Alien Species (direct effects),Competitors,,EN,Selago ramosissima
FFh9,Habitat degradation,Fires,Too irregular fires,EN,Selago ramosissima
FFh9,Habitat degradation,Agriculture,Livestock,EN,Selago ramosissima
FFh9,Invasive Alien Species (direct effects),Competitors,,EN,Selago ramosissima
FFs13,Habitat degradation,Fires,Too irregular fires,EN,Selago ramosissima
FFs13,Habitat degradation,Agriculture,Livestock,EN,Selago ramosissima
FFs13,Invasive Alien Species (direct effects),Competitors,,EN,Selago ramosissima
FRs13,Habitat degradation,Fires,Too irregular fires,EN,Selago ramosissima
FRs13,Habitat degradation,Agriculture,Livestock,EN,Selago ramosissima
FRs13,Invasive Alien Species (direct effects),Competitors,,EN,Selago ramosissima
FRs14,Habitat degradation,Fires,Too irregular fires,EN,Selago ramosissima
FRs14,Habitat degradation,Agriculture,Livestock,EN,Selago ramosissima
FRs14,Invasive Alien Species (direct effects),Competitors,,EN,Selago ramosissima
FRs8,Habitat degradation,Fires,Too irregular fires,EN,Selago ramosissima
FRs8,Habitat degradation,Agriculture,Livestock,EN,Selago ramosissima
FRs8,Invasive Alien Species (direct effects),Competitors,,EN,Selago ramosissima
AT48,Invasive Alien Species (direct effects),Competitors,,VU,Selago rotundifolia
AT48,Habitat loss,Infrastructure development,Human settlement,VU,Selago rotundifolia
AT48,Habitat loss,Infrastructure development,Transport - land/air,VU,Selago rotundifolia
AT48,Habitat degradation,Fires,Too irregular fires,VU,Selago rotundifolia
AT48,Habitat loss,Infrastructure development,Telecommunications,VU,Selago rotundifolia
AT48,Habitat loss,Agriculture,Crops,VU,Selago rotundifolia
AT48,Habitat loss,Infrastructure development,Tourism/recreation,VU,Selago rotundifolia
AT57,Invasive Alien Species (direct effects),Competitors,,VU,Selago rotundifolia
AT57,Habitat loss,Infrastructure development,Human settlement,VU,Selago rotundifolia
AT57,Habitat loss,Infrastructure development,Transport - land/air,VU,Selago rotundifolia
AT57,Habitat degradation,Fires,Too irregular fires,VU,Selago rotundifolia
AT57,Habitat loss,Infrastructure development,Telecommunications,VU,Selago rotundifolia
AT57,Habitat loss,Agriculture,Crops,VU,Selago rotundifolia
AT57,Habitat loss,Infrastructure development,Tourism/recreation,VU,Selago rotundifolia
FFd11,Invasive Alien Species (direct effects),Competitors,,VU,Selago rotundifolia
FFd11,Habitat loss,Infrastructure development,Human settlement,VU,Selago rotundifolia
FFd11,Habitat loss,Infrastructure development,Transport - land/air,VU,Selago rotundifolia
FFd11,Habitat degradation,Fires,Too irregular fires,VU,Selago rotundifolia
FFd11,Habitat loss,Infrastructure development,Telecommunications,VU,Selago rotundifolia
FFd11,Habitat loss,Agriculture,Crops,VU,Selago rotundifolia
FFd11,Habitat loss,Infrastructure development,Tourism/recreation,VU,Selago rotundifolia
FFs20,Invasive Alien Species (direct effects),Competitors,,VU,Selago rotundifolia
FFs20,Habitat loss,Infrastructure development,Human settlement,VU,Selago rotundifolia
FFs20,Habitat loss,Infrastructure development,Transport - land/air,VU,Selago rotundifolia
FFs20,Habitat degradation,Fires,Too irregular fires,VU,Selago rotundifolia
FFs20,Habitat loss,Infrastructure development,Telecommunications,VU,Selago rotundifolia
FFs20,Habitat loss,Agriculture,Crops,VU,Selago rotundifolia
FFs20,Habitat loss,Infrastructure development,Tourism/recreation,VU,Selago rotundifolia
FFs29,Invasive Alien Species (direct effects),Competitors,,VU,Selago rotundifolia
FFs29,Habitat loss,Infrastructure development,Human settlement,VU,Selago rotundifolia
FFs29,Habitat loss,Infrastructure development,Transport - land/air,VU,Selago rotundifolia
FFs29,Habitat degradation,Fires,Too irregular fires,VU,Selago rotundifolia
FFs29,Habitat loss,Infrastructure development,Telecommunications,VU,Selago rotundifolia
FFs29,Habitat loss,Agriculture,Crops,VU,Selago rotundifolia
FFs29,Habitat loss,Infrastructure development,Tourism/recreation,VU,Selago rotundifolia
FOz1,Invasive Alien Species (direct effects),Competitors,,VU,Selago rotundifolia
FOz1,Habitat loss,Infrastructure development,Human settlement,VU,Selago rotundifolia
FOz1,Habitat loss,Infrastructure development,Transport - land/air,VU,Selago rotundifolia
FOz1,Habitat degradation,Fires,Too irregular fires,VU,Selago rotundifolia
FOz1,Habitat loss,Infrastructure development,Telecommunications,VU,Selago rotundifolia
FOz1,Habitat loss,Agriculture,Crops,VU,Selago rotundifolia
FOz1,Habitat loss,Infrastructure development,Tourism/recreation,VU,Selago rotundifolia
SVs8,Invasive Alien Species (direct effects),Competitors,,VU,Selago rotundifolia
SVs8,Habitat loss,Infrastructure development,Human settlement,VU,Selago rotundifolia
SVs8,Habitat loss,Infrastructure development,Transport - land/air,VU,Selago rotundifolia
SVs8,Habitat degradation,Fires,Too irregular fires,VU,Selago rotundifolia
SVs8,Habitat loss,Infrastructure development,Telecommunications,VU,Selago rotundifolia
SVs8,Habitat loss,Agriculture,Crops,VU,Selago rotundifolia
SVs8,Habitat loss,Infrastructure development,Tourism/recreation,VU,Selago rotundifolia
AT36,Habitat loss,Infrastructure development,Human settlement,VU,Selago villicaulis
AT36,Invasive Alien Species (direct effects),Competitors,,VU,Selago villicaulis
AT40,Habitat loss,Infrastructure development,Human settlement,VU,Selago villicaulis
AT40,Invasive Alien Species (direct effects),Competitors,,VU,Selago villicaulis
AT39,Habitat loss,Infrastructure development,Industry,VU,Selago zeyheri
AT39,Habitat degradation,Agriculture,Livestock,VU,Selago zeyheri
AT39,Habitat loss,Agriculture,Crops,VU,Selago zeyheri
AT42,Habitat loss,Infrastructure development,Industry,VU,Selago zeyheri
AT42,Habitat degradation,Agriculture,Livestock,VU,Selago zeyheri
AT42,Habitat loss,Agriculture,Crops,VU,Selago zeyheri
AZa6,Habitat loss,Infrastructure development,Industry,VU,Selago zeyheri
AZa6,Habitat degradation,Agriculture,Livestock,VU,Selago zeyheri
AZa6,Habitat loss,Agriculture,Crops,VU,Selago zeyheri
CB3,Habitat degradation,Agriculture,Livestock,EN,Selago zuluensis
CB3,Habitat loss,Agriculture,Crops,EN,Selago zuluensis
CB3,Invasive Alien Species (direct effects),Competitors,,EN,Selago zuluensis
CB3,Human disturbance,Recreation/tourism,,EN,Selago zuluensis
CB3,Habitat loss,Infrastructure development,Human settlement,EN,Selago zuluensis
Gs20,Habitat degradation,Agriculture,Livestock,EN,Selago zuluensis
Gs20,Habitat loss,Agriculture,Crops,EN,Selago zuluensis
Gs20,Invasive Alien Species (direct effects),Competitors,,EN,Selago zuluensis
Gs20,Human disturbance,Recreation/tourism,,EN,Selago zuluensis
Gs20,Habitat loss,Infrastructure development,Human settlement,EN,Selago zuluensis
FFd10,Habitat loss,Infrastructure development,Human settlement,VU,Selago burchellii
FFd10,Habitat loss,Agriculture,Crops,VU,Selago burchellii
FFd10,Invasive Alien Species (direct effects),Competitors,,VU,Selago burchellii
FFd11,Habitat loss,Infrastructure development,Human settlement,VU,Selago burchellii
FFd11,Habitat loss,Agriculture,Crops,VU,Selago burchellii
FFd11,Invasive Alien Species (direct effects),Competitors,,VU,Selago burchellii
FFh9,Habitat loss,Infrastructure development,Human settlement,VU,Selago burchellii
FFh9,Habitat loss,Agriculture,Crops,VU,Selago burchellii
FFh9,Invasive Alien Species (direct effects),Competitors,,VU,Selago burchellii
FFl1,Habitat degradation,Agriculture,Livestock,EN,Selago prostrata
FFl1,Invasive Alien Species (direct effects),Competitors,,EN,Selago prostrata
SKr1,Habitat degradation,Agriculture,Livestock,VU,Selago beaniana
SKr3,Habitat degradation,Agriculture,Livestock,VU,Selago beaniana
SKr1,Habitat degradation,Agriculture,Livestock,CR,Selago diabolica
SKs13,Habitat loss,Agriculture,Crops,EN,Selago inaequifolia
FFd2,Invasive Alien Species (direct effects),Competitors,,EN,Selago psammophila
