"","...1","LC","T_MAPCODE","IAT","IAT_cert","n","km2"
"1",9,1,"AT16",1,0,8,8e-04
"2",17,1,"AT17",1,0,2068,0.2068
"3",18,2,"AT17",1,0,49,0.0049
"4",20,4,"AT17",1,0,76,0.0076
"5",21,5,"AT17",1,0,20,0.002
"6",23,7,"AT17",1,0,16,0.0016
"7",25,1,"AT18",1,0,505,0.0505
"8",26,2,"AT18",1,0,12,0.0012
"9",33,1,"AT19",1,0,169,0.0169
"10",73,1,"AT25",1,0,2,2e-04
"11",81,1,"AT26",1,0,179,0.0179
"12",82,2,"AT26",1,0,3,3e-04
"13",84,4,"AT26",1,0,1,1e-04
"14",85,5,"AT26",1,0,1,1e-04
"15",113,1,"AT30",1,0,3,3e-04
"16",121,1,"AT31",1,0,73,0.0073
"17",122,2,"AT31",1,0,26,0.0026
"18",125,5,"AT31",1,0,7,7e-04
"19",129,1,"AT32",1,0,200,0.02
"20",130,2,"AT32",1,0,5,5e-04
"21",137,1,"AT33",1,0,2,2e-04
"22",138,2,"AT33",1,0,2,2e-04
"23",153,1,"AT35",1,0,106,0.0106
"24",154,2,"AT35",1,0,26,0.0026
"25",157,5,"AT35",1,0,25,0.0025
"26",161,1,"AT36",1,0,212,0.0212
"27",162,2,"AT36",1,0,24,0.0024
"28",164,4,"AT36",1,0,217,0.0217
"29",167,7,"AT36",1,0,238,0.0238
"30",169,1,"AT37",1,0,158,0.0158
"31",170,2,"AT37",1,0,10,0.001
"32",172,4,"AT37",1,0,5,5e-04
"33",173,5,"AT37",1,0,7,7e-04
"34",177,1,"AT38",1,0,639,0.0639
"35",178,2,"AT38",1,0,122,0.0122
"36",180,4,"AT38",1,0,77,0.0077
"37",181,5,"AT38",1,0,97,0.0097
"38",183,7,"AT38",1,0,173,0.0173
"39",185,1,"AT39",1,0,14,0.0014
"40",186,2,"AT39",1,0,1,1e-04
"41",188,4,"AT39",1,0,1,1e-04
"42",193,1,"AT40",1,0,251,0.0251
"43",194,2,"AT40",1,0,75,0.0075
"44",196,4,"AT40",1,0,109,0.0109
"45",201,1,"AT41",1,0,2346,0.2346
"46",202,2,"AT41",1,0,34,0.0034
"47",204,4,"AT41",1,0,238,0.0238
"48",205,5,"AT41",1,0,35,0.0035
"49",207,7,"AT41",1,0,2,2e-04
"50",225,1,"AT44",1,0,23,0.0023
"51",226,2,"AT44",1,0,1,1e-04
"52",228,4,"AT44",1,0,1,1e-04
"53",233,1,"AT45",1,0,160,0.016
"54",234,2,"AT45",1,0,285,0.0285
"55",236,4,"AT45",1,0,4,4e-04
"56",237,5,"AT45",1,0,73,0.0073
"57",239,7,"AT45",1,0,57,0.0057
"58",249,1,"AT47",1,0,36,0.0036
"59",265,1,"AT49",1,0,24,0.0024
"60",266,2,"AT49",1,0,2,2e-04
"61",273,1,"AT50",1,0,1061,0.1061
"62",274,2,"AT50",1,0,188,0.0188
"63",276,4,"AT50",1,0,98,0.0098
"64",277,5,"AT50",1,0,44,0.0044
"65",281,1,"AT51",1,0,412,0.0412
"66",282,2,"AT51",1,0,185,0.0185
"67",284,4,"AT51",1,0,10,0.001
"68",285,5,"AT51",1,0,24,0.0024
"69",289,1,"AT52",1,0,550,0.055
"70",290,2,"AT52",1,0,5,5e-04
"71",292,4,"AT52",1,0,1,1e-04
"72",293,5,"AT52",1,0,2,2e-04
"73",297,1,"AT54",1,0,86,0.0086
"74",313,1,"AT56",1,0,1,1e-04
"75",321,1,"AT57",1,0,5303,0.5303
"76",322,2,"AT57",1,0,231,0.0231
"77",324,4,"AT57",1,0,127,0.0127
"78",325,5,"AT57",1,0,226,0.0226
"79",327,7,"AT57",1,0,432,0.0432
"80",345,1,"AZa2",1,0,34,0.0034
"81",346,2,"AZa2",1,0,4,4e-04
"82",348,4,"AZa2",1,0,10,0.001
"83",349,5,"AZa2",1,0,4,4e-04
"84",353,1,"AZa6",1,0,90,0.009
"85",354,2,"AZa6",1,0,6,6e-04
"86",356,4,"AZa6",1,0,35,0.0035
"87",357,5,"AZa6",1,0,40,0.004
"88",369,1,"AZd3",1,0,306,0.0306
"89",370,2,"AZd3",1,0,4,4e-04
"90",372,4,"AZd3",1,0,5,5e-04
"91",377,1,"AZi1",1,0,10,0.001
"92",378,2,"AZi1",1,0,2,2e-04
"93",381,5,"AZi1",1,0,1,1e-04
"94",393,1,"AZi6",1,0,11,0.0011
"95",394,2,"AZi6",1,0,2,2e-04
"96",397,5,"AZi6",1,0,6,6e-04
"97",401,1,"AZi7",1,0,1,1e-04
"98",489,1,"FFb6",1,0,3,3e-04
"99",490,2,"FFb6",1,0,1,1e-04
"100",497,1,"FFc1",1,0,6,6e-04
"101",513,1,"FFd10",1,0,183,0.0183
"102",514,2,"FFd10",1,0,12,0.0012
"103",516,4,"FFd10",1,0,92,0.0092
"104",517,5,"FFd10",1,0,2,2e-04
"105",519,7,"FFd10",1,0,271,0.0271
"106",521,1,"FFd11",1,0,28,0.0028
"107",522,2,"FFd11",1,0,3,3e-04
"108",524,4,"FFd11",1,0,27,0.0027
"109",529,1,"FFd2",1,0,13,0.0013
"110",530,2,"FFd2",1,0,12,0.0012
"111",532,4,"FFd2",1,0,3,3e-04
"112",535,7,"FFd2",1,0,14,0.0014
"113",537,1,"FFd3",1,0,33,0.0033
"114",538,2,"FFd3",1,0,1,1e-04
"115",540,4,"FFd3",1,0,1,1e-04
"116",553,1,"FFd5",1,0,4,4e-04
"117",554,2,"FFd5",1,0,1,1e-04
"118",556,4,"FFd5",1,0,23,0.0023
"119",561,1,"FFd6",1,0,365,0.0365
"120",562,2,"FFd6",1,0,10,0.001
"121",564,4,"FFd6",1,0,126,0.0126
"122",569,1,"FFd7",1,0,416,0.0416
"123",570,2,"FFd7",1,0,25,0.0025
"124",572,4,"FFd7",1,0,3,3e-04
"125",573,5,"FFd7",1,0,14,0.0014
"126",575,7,"FFd7",1,0,5,5e-04
"127",588,4,"FFd9",1,0,3,3e-04
"128",593,1,"FFf1",1,0,316,0.0316
"129",594,2,"FFf1",1,0,122,0.0122
"130",596,4,"FFf1",1,0,7,7e-04
"131",597,5,"FFf1",1,0,37,0.0037
"132",599,7,"FFf1",1,0,86,0.0086
"133",601,1,"FFf2",1,0,308,0.0308
"134",602,2,"FFf2",1,0,18,0.0018
"135",604,4,"FFf2",1,0,6,6e-04
"136",617,1,"FFg3",1,0,99,0.0099
"137",618,2,"FFg3",1,0,24,0.0024
"138",620,4,"FFg3",1,0,53,0.0053
"139",623,7,"FFg3",1,0,21,0.0021
"140",633,1,"FFg5",1,0,167,0.0167
"141",634,2,"FFg5",1,0,7,7e-04
"142",636,4,"FFg5",1,0,42,0.0042
"143",637,5,"FFg5",1,0,1,1e-04
"144",649,1,"FFh10",1,0,121,0.0121
"145",650,2,"FFh10",1,0,1,1e-04
"146",652,4,"FFh10",1,0,2,2e-04
"147",721,1,"FFh9",1,0,339,0.0339
"148",722,2,"FFh9",1,0,45,0.0045
"149",724,4,"FFh9",1,0,98,0.0098
"150",725,5,"FFh9",1,0,13,0.0013
"151",727,7,"FFh9",1,0,32,0.0032
"152",729,1,"FFl1",1,0,653,0.0653
"153",730,2,"FFl1",1,0,69,0.0069
"154",732,4,"FFl1",1,0,287,0.0287
"155",737,1,"FFl2",1,0,351,0.0351
"156",738,2,"FFl2",1,0,25,0.0025
"157",740,4,"FFl2",1,0,2,2e-04
"158",745,1,"FFl3",1,0,35,0.0035
"159",748,4,"FFl3",1,0,17,0.0017
"160",785,1,"FFq6",1,0,332,0.0332
"161",788,4,"FFq6",1,0,2,2e-04
"162",789,5,"FFq6",1,0,2,2e-04
"163",794,2,"FFs1",1,0,1,1e-04
"164",817,1,"FFs12",1,0,38,0.0038
"165",818,2,"FFs12",1,0,14,0.0014
"166",820,4,"FFs12",1,0,143,0.0143
"167",860,4,"FFs17",1,0,2,2e-04
"168",873,1,"FFs19",1,0,37,0.0037
"169",874,2,"FFs19",1,0,2,2e-04
"170",876,4,"FFs19",1,0,15,0.0015
"171",881,1,"FFs2",1,0,11,0.0011
"172",887,7,"FFs2",1,0,6,6e-04
"173",889,1,"FFs20",1,0,115,0.0115
"174",890,2,"FFs20",1,0,25,0.0025
"175",895,7,"FFs20",1,0,64,0.0064
"176",945,1,"FFs27",1,0,230,0.023
"177",948,4,"FFs27",1,0,16,0.0016
"178",953,1,"FFs28",1,0,146,0.0146
"179",954,2,"FFs28",1,0,34,0.0034
"180",956,4,"FFs28",1,0,1,1e-04
"181",957,5,"FFs28",1,0,36,0.0036
"182",959,7,"FFs28",1,0,16,0.0016
"183",961,1,"FFs29",1,0,296,0.0296
"184",962,2,"FFs29",1,0,77,0.0077
"185",964,4,"FFs29",1,0,12,0.0012
"186",965,5,"FFs29",1,0,1,1e-04
"187",967,7,"FFs29",1,0,3,3e-04
"188",993,1,"FFs32",1,0,5,5e-04
"189",994,2,"FFs32",1,0,1,1e-04
"190",1041,1,"FFs9",1,0,317,0.0317
"191",1042,2,"FFs9",1,0,35,0.0035
"192",1044,4,"FFs9",1,0,173,0.0173
"193",1057,1,"FFt2",1,0,273,0.0273
"194",1058,2,"FFt2",1,0,10,0.001
"195",1061,5,"FFt2",1,0,7,7e-04
"196",1062,6,"FFt2",1,0,2,2e-04
"197",1065,1,"FOz1",1,0,227,0.0227
"198",1066,2,"FOz1",1,0,26,0.0026
"199",1071,7,"FOz1",1,0,1,1e-04
"200",1073,1,"FOz3",1,0,5,5e-04
"201",1081,1,"FOz6",1,0,209,0.0209
"202",1082,2,"FOz6",1,0,33,0.0033
"203",1084,4,"FOz6",1,0,7,7e-04
"204",1113,1,"FRc2",1,0,103,0.0103
"205",1114,2,"FRc2",1,0,63,0.0063
"206",1116,4,"FRc2",1,0,38,0.0038
"207",1117,5,"FRc2",1,0,11,0.0011
"208",1119,7,"FRc2",1,0,5,5e-04
"209",1121,1,"FRd1",1,0,5510,0.551
"210",1122,2,"FRd1",1,0,195,0.0195
"211",1124,4,"FRd1",1,0,4,4e-04
"212",1125,5,"FRd1",1,0,5,5e-04
"213",1178,2,"FRs10",1,0,4,4e-04
"214",1180,4,"FRs10",1,0,13,0.0013
"215",1193,1,"FRs12",1,0,33,0.0033
"216",1201,1,"FRs13",1,0,123,0.0123
"217",1202,2,"FRs13",1,0,61,0.0061
"218",1204,4,"FRs13",1,0,23,0.0023
"219",1205,5,"FRs13",1,0,4,4e-04
"220",1207,7,"FRs13",1,0,10,0.001
"221",1209,1,"FRs14",1,0,4,4e-04
"222",1212,4,"FRs14",1,0,3,3e-04
"223",1249,1,"FRs19",1,0,10,0.001
"224",1250,2,"FRs19",1,0,5,5e-04
"225",1253,5,"FRs19",1,0,2,2e-04
"226",1257,1,"FRs2",1,0,162,0.0162
"227",1258,2,"FRs2",1,0,26,0.0026
"228",1261,5,"FRs2",1,0,16,0.0016
"229",1297,1,"FRs6",1,0,4,4e-04
"230",1301,5,"FRs6",1,0,1,1e-04
"231",1329,1,"FS1",1,0,17,0.0017
"232",1330,2,"FS1",1,0,3,3e-04
"233",1332,4,"FS1",1,0,14,0.0014
"234",1337,1,"FS10",1,0,808,0.0808
"235",1338,2,"FS10",1,0,28,0.0028
"236",1340,4,"FS10",1,0,102,0.0102
"237",1343,7,"FS10",1,0,1,1e-04
"238",1353,1,"FS12",1,0,977,0.0977
"239",1354,2,"FS12",1,0,105,0.0105
"240",1356,4,"FS12",1,0,427,0.0427
"241",1359,7,"FS12",1,0,241,0.0241
"242",1361,1,"FS13",1,0,221,0.0221
"243",1362,2,"FS13",1,0,19,0.0019
"244",1364,4,"FS13",1,0,122,0.0122
"245",1369,1,"FS14",1,0,153,0.0153
"246",1370,2,"FS14",1,0,2,2e-04
"247",1372,4,"FS14",1,0,91,0.0091
"248",1377,1,"FS2",1,0,3,3e-04
"249",1378,2,"FS2",1,0,3,3e-04
"250",1380,4,"FS2",1,0,31,0.0031
"251",1385,1,"FS3",1,0,62,0.0062
"252",1386,2,"FS3",1,0,53,0.0053
"253",1388,4,"FS3",1,0,7,7e-04
"254",1389,5,"FS3",1,0,1,1e-04
"255",1391,7,"FS3",1,0,137,0.0137
"256",1393,1,"FS4",1,0,1,1e-04
"257",1401,1,"FS5",1,0,126,0.0126
"258",1402,2,"FS5",1,0,1,1e-04
"259",1404,4,"FS5",1,0,14,0.0014
"260",1407,7,"FS5",1,0,1,1e-04
"261",1409,1,"FS6",1,0,289,0.0289
"262",1410,2,"FS6",1,0,49,0.0049
"263",1412,4,"FS6",1,0,171,0.0171
"264",1417,1,"FS7",1,0,518,0.0518
"265",1418,2,"FS7",1,0,23,0.0023
"266",1420,4,"FS7",1,0,70,0.007
"267",1425,1,"FS9",1,0,254,0.0254
"268",1426,2,"FS9",1,0,8,8e-04
"269",1428,4,"FS9",1,0,15,0.0015
"270",1429,5,"FS9",1,0,2,2e-04
"271",1431,7,"FS9",1,0,2,2e-04
"272",1521,1,"Gs18",1,0,1,1e-04
"273",1545,1,"NKl2",1,0,57,0.0057
"274",1546,2,"NKl2",1,0,2,2e-04
"275",1549,5,"NKl2",1,0,1,1e-04
"276",1551,7,"NKl2",1,0,2,2e-04
"277",1553,1,"NKl4",1,0,6079,0.6079
"278",1554,2,"NKl4",1,0,346,0.0346
"279",1555,3,"NKl4",1,0,5,5e-04
"280",1556,4,"NKl4",1,0,14,0.0014
"281",1557,5,"NKl4",1,0,371,0.0371
"282",1625,1,"SKk4",1,0,5,5e-04
"283",1626,2,"SKk4",1,0,1,1e-04
"284",1729,1,"SKs14",1,0,8,8e-04
"285",1732,4,"SKs14",1,0,1,1e-04
"286",1733,5,"SKs14",1,0,2,2e-04
"287",1753,1,"SKt2",1,0,3,3e-04
"288",1754,2,"SKt2",1,0,17,0.0017
"289",1757,5,"SKt2",1,0,6,6e-04
"290",1809,1,"SKv2",1,0,3,3e-04
"291",1833,1,"SKv5",1,0,12,0.0012
"292",1834,2,"SKv5",1,0,1,1e-04
"293",1873,1,"SVs7",1,0,7691,0.7691
"294",1874,2,"SVs7",1,0,1799,0.1799
"295",1875,3,"SVs7",1,0,2,2e-04
"296",1876,4,"SVs7",1,0,48,0.0048
"297",1877,5,"SVs7",1,0,122,0.0122
"298",1879,7,"SVs7",1,0,2738,0.2738
"299",1881,1,"SVs8",1,0,62524,6.2524
"300",1882,2,"SVs8",1,0,5681,0.5681
"301",1884,4,"SVs8",1,0,1153,0.1153
"302",1885,5,"SVs8",1,0,3516,0.3516
"303",1886,6,"SVs8",1,0,1,1e-04
"304",1887,7,"SVs8",1,0,4772,0.4772
"305",1905,1,"AT16",2,0,3,3e-04
"306",1913,1,"AT17",2,0,841,0.0841
"307",1914,2,"AT17",2,0,11,0.0011
"308",1917,5,"AT17",2,0,4,4e-04
"309",1921,1,"AT18",2,0,7382,0.7382
"310",1922,2,"AT18",2,0,45,0.0045
"311",1929,1,"AT19",2,0,297,0.0297
"312",1977,1,"AT26",2,0,62,0.0062
"313",1978,2,"AT26",2,0,1,1e-04
"314",1981,5,"AT26",2,0,1,1e-04
"315",2009,1,"AT30",2,0,10,0.001
"316",2017,1,"AT31",2,0,118,0.0118
"317",2018,2,"AT31",2,0,26,0.0026
"318",2021,5,"AT31",2,0,20,0.002
"319",2025,1,"AT32",2,0,165,0.0165
"320",2049,1,"AT35",2,0,8,8e-04
"321",2053,5,"AT35",2,0,7,7e-04
"322",2057,1,"AT36",2,0,18,0.0018
"323",2058,2,"AT36",2,0,2,2e-04
"324",2060,4,"AT36",2,0,1,1e-04
"325",2065,1,"AT37",2,0,2,2e-04
"326",2073,1,"AT38",2,0,1651,0.1651
"327",2074,2,"AT38",2,0,48,0.0048
"328",2076,4,"AT38",2,0,1,1e-04
"329",2077,5,"AT38",2,0,12,0.0012
"330",2079,7,"AT38",2,0,18,0.0018
"331",2081,1,"AT39",2,0,1,1e-04
"332",2090,2,"AT40",2,0,1,1e-04
"333",2092,4,"AT40",2,0,1,1e-04
"334",2097,1,"AT41",2,0,63,0.0063
"335",2098,2,"AT41",2,0,6,6e-04
"336",2100,4,"AT41",2,0,1,1e-04
"337",2121,1,"AT44",2,0,1,1e-04
"338",2129,1,"AT45",2,0,72,0.0072
"339",2130,2,"AT45",2,0,16,0.0016
"340",2133,5,"AT45",2,0,9,9e-04
"341",2135,7,"AT45",2,0,6,6e-04
"342",2145,1,"AT47",2,0,60,0.006
"343",2161,1,"AT49",2,0,9,9e-04
"344",2169,1,"AT50",2,0,1060,0.106
"345",2170,2,"AT50",2,0,55,0.0055
"346",2172,4,"AT50",2,0,8,8e-04
"347",2173,5,"AT50",2,0,36,0.0036
"348",2177,1,"AT51",2,0,1038,0.1038
"349",2178,2,"AT51",2,0,13,0.0013
"350",2181,5,"AT51",2,0,5,5e-04
"351",2185,1,"AT52",2,0,146,0.0146
"352",2186,2,"AT52",2,0,4,4e-04
"353",2189,5,"AT52",2,0,3,3e-04
"354",2193,1,"AT54",2,0,78,0.0078
"355",2217,1,"AT57",2,0,1113,0.1113
"356",2218,2,"AT57",2,0,26,0.0026
"357",2220,4,"AT57",2,0,1,1e-04
"358",2221,5,"AT57",2,0,2,2e-04
"359",2241,1,"AZa2",2,0,5,5e-04
"360",2247,7,"AZa2",2,0,1,1e-04
"361",2249,1,"AZa6",2,0,45,0.0045
"362",2250,2,"AZa6",2,0,1,1e-04
"363",2252,4,"AZa6",2,0,1,1e-04
"364",2265,1,"AZd3",2,0,2,2e-04
"365",2289,1,"AZi6",2,0,19,0.0019
"366",2290,2,"AZi6",2,0,2,2e-04
"367",2293,5,"AZi6",2,0,2,2e-04
"368",2385,1,"FFb6",2,0,11,0.0011
"369",2386,2,"FFb6",2,0,1,1e-04
"370",2409,1,"FFd10",2,0,2,2e-04
"371",2412,4,"FFd10",2,0,3,3e-04
"372",2417,1,"FFd11",2,0,15,0.0015
"373",2425,1,"FFd2",2,0,1,1e-04
"374",2457,1,"FFd6",2,0,16,0.0016
"375",2465,1,"FFd7",2,0,18,0.0018
"376",2466,2,"FFd7",2,0,4,4e-04
"377",2489,1,"FFf1",2,0,6,6e-04
"378",2490,2,"FFf1",2,0,3,3e-04
"379",2497,1,"FFf2",2,0,18,0.0018
"380",2513,1,"FFg3",2,0,15,0.0015
"381",2529,1,"FFg5",2,0,50,0.005
"382",2532,4,"FFg5",2,0,7,7e-04
"383",2545,1,"FFh10",2,0,512,0.0512
"384",2546,2,"FFh10",2,0,2,2e-04
"385",2617,1,"FFh9",2,0,32,0.0032
"386",2618,2,"FFh9",2,0,1,1e-04
"387",2620,4,"FFh9",2,0,2,2e-04
"388",2623,7,"FFh9",2,0,1,1e-04
"389",2625,1,"FFl1",2,0,44,0.0044
"390",2626,2,"FFl1",2,0,1,1e-04
"391",2628,4,"FFl1",2,0,10,0.001
"392",2633,1,"FFl2",2,0,218,0.0218
"393",2681,1,"FFq6",2,0,532,0.0532
"394",2713,1,"FFs12",2,0,6,6e-04
"395",2714,2,"FFs12",2,0,1,1e-04
"396",2716,4,"FFs12",2,0,3,3e-04
"397",2769,1,"FFs19",2,0,23,0.0023
"398",2770,2,"FFs19",2,0,3,3e-04
"399",2772,4,"FFs19",2,0,4,4e-04
"400",2785,1,"FFs20",2,0,135,0.0135
"401",2786,2,"FFs20",2,0,10,0.001
"402",2841,1,"FFs27",2,0,54,0.0054
"403",2849,1,"FFs28",2,0,154,0.0154
"404",2850,2,"FFs28",2,0,3,3e-04
"405",2857,1,"FFs29",2,0,13,0.0013
"406",2937,1,"FFs9",2,0,19,0.0019
"407",2940,4,"FFs9",2,0,4,4e-04
"408",2953,1,"FFt2",2,0,137,0.0137
"409",2954,2,"FFt2",2,0,11,0.0011
"410",2957,5,"FFt2",2,0,5,5e-04
"411",2961,1,"FOz1",2,0,206,0.0206
"412",2962,2,"FOz1",2,0,4,4e-04
"413",2967,7,"FOz1",2,0,2,2e-04
"414",2969,1,"FOz3",2,0,52,0.0052
"415",2977,1,"FOz6",2,0,17,0.0017
"416",2978,2,"FOz6",2,0,2,2e-04
"417",2981,5,"FOz6",2,0,1,1e-04
"418",3009,1,"FRc2",2,0,4,4e-04
"419",3010,2,"FRc2",2,0,3,3e-04
"420",3012,4,"FRc2",2,0,5,5e-04
"421",3076,4,"FRs10",2,0,3,3e-04
"422",3097,1,"FRs13",2,0,24,0.0024
"423",3098,2,"FRs13",2,0,1,1e-04
"424",3145,1,"FRs19",2,0,19,0.0019
"425",3233,1,"FS10",2,0,87,0.0087
"426",3249,1,"FS12",2,0,136,0.0136
"427",3250,2,"FS12",2,0,2,2e-04
"428",3252,4,"FS12",2,0,10,0.001
"429",3255,7,"FS12",2,0,1,1e-04
"430",3257,1,"FS13",2,0,1,1e-04
"431",3265,1,"FS14",2,0,35,0.0035
"432",3268,4,"FS14",2,0,1,1e-04
"433",3305,1,"FS6",2,0,9,9e-04
"434",3313,1,"FS7",2,0,37,0.0037
"435",3316,4,"FS7",2,0,1,1e-04
"436",3321,1,"FS9",2,0,95,0.0095
"437",3324,4,"FS9",2,0,1,1e-04
"438",3441,1,"NKl2",2,0,2,2e-04
"439",3447,7,"NKl2",2,0,1,1e-04
"440",3449,1,"NKl4",2,0,11152,1.1152
"441",3450,2,"NKl4",2,0,458,0.0458
"442",3451,3,"NKl4",2,0,9,9e-04
"443",3453,5,"NKl4",2,0,174,0.0174
"444",3649,1,"SKt2",2,0,4,4e-04
"445",3729,1,"SKv5",2,0,1,1e-04
"446",3769,1,"SVs7",2,0,13669,1.3669
"447",3770,2,"SVs7",2,0,225,0.0225
"448",3772,4,"SVs7",2,0,2,2e-04
"449",3773,5,"SVs7",2,0,48,0.0048
"450",3775,7,"SVs7",2,0,156,0.0156
"451",3777,1,"SVs8",2,0,30650,3.065
"452",3778,2,"SVs8",2,0,1145,0.1145
"453",3779,3,"SVs8",2,0,1,1e-04
"454",3780,4,"SVs8",2,0,86,0.0086
"455",3781,5,"SVs8",2,0,180,0.018
"456",3783,7,"SVs8",2,0,514,0.0514
"457",3809,1,"AT17",3,0,2701,0.2701
"458",3810,2,"AT17",3,0,105,0.0105
"459",3811,3,"AT17",3,0,4,4e-04
"460",3813,5,"AT17",3,0,15,0.0015
"461",3815,7,"AT17",3,0,6,6e-04
"462",3817,1,"AT18",3,0,3779,0.3779
"463",3818,2,"AT18",3,0,27,0.0027
"464",3825,1,"AT19",3,0,29,0.0029
"465",3873,1,"AT26",3,0,156,0.0156
"466",3874,2,"AT26",3,0,2,2e-04
"467",3875,3,"AT26",3,0,1,1e-04
"468",3876,4,"AT26",3,0,2,2e-04
"469",3913,1,"AT31",3,0,449,0.0449
"470",3914,2,"AT31",3,0,153,0.0153
"471",3917,5,"AT31",3,0,14,0.0014
"472",3921,1,"AT32",3,0,541,0.0541
"473",3922,2,"AT32",3,0,16,0.0016
"474",3923,3,"AT32",3,0,1,1e-04
"475",3945,1,"AT35",3,0,7,7e-04
"476",3949,5,"AT35",3,0,2,2e-04
"477",3953,1,"AT36",3,0,211,0.0211
"478",3954,2,"AT36",3,0,15,0.0015
"479",3956,4,"AT36",3,0,32,0.0032
"480",3959,7,"AT36",3,0,176,0.0176
"481",3961,1,"AT37",3,0,7,7e-04
"482",3969,1,"AT38",3,0,2481,0.2481
"483",3970,2,"AT38",3,0,58,0.0058
"484",3972,4,"AT38",3,0,4,4e-04
"485",3973,5,"AT38",3,0,23,0.0023
"486",3975,7,"AT38",3,0,115,0.0115
"487",3985,1,"AT40",3,0,32,0.0032
"488",3986,2,"AT40",3,0,19,0.0019
"489",3988,4,"AT40",3,0,9,9e-04
"490",3993,1,"AT41",3,0,657,0.0657
"491",3994,2,"AT41",3,0,24,0.0024
"492",3996,4,"AT41",3,0,5,5e-04
"493",4025,1,"AT45",3,0,215,0.0215
"494",4026,2,"AT45",3,0,1,1e-04
"495",4031,7,"AT45",3,0,2,2e-04
"496",4041,1,"AT47",3,0,15,0.0015
"497",4065,1,"AT50",3,0,262,0.0262
"498",4066,2,"AT50",3,0,4,4e-04
"499",4068,4,"AT50",3,0,26,0.0026
"500",4069,5,"AT50",3,0,4,4e-04
"501",4073,1,"AT51",3,0,325,0.0325
"502",4074,2,"AT51",3,0,39,0.0039
"503",4076,4,"AT51",3,0,1,1e-04
"504",4077,5,"AT51",3,0,2,2e-04
"505",4081,1,"AT52",3,0,525,0.0525
"506",4089,1,"AT54",3,0,731,0.0731
"507",4105,1,"AT56",3,0,3,3e-04
"508",4113,1,"AT57",3,0,15382,1.5382
"509",4114,2,"AT57",3,0,257,0.0257
"510",4116,4,"AT57",3,0,18,0.0018
"511",4117,5,"AT57",3,0,106,0.0106
"512",4137,1,"AZa2",3,0,3,3e-04
"513",4145,1,"AZa6",3,0,105,0.0105
"514",4146,2,"AZa6",3,0,3,3e-04
"515",4161,1,"AZd3",3,0,110,0.011
"516",4164,4,"AZd3",3,0,1,1e-04
"517",4185,1,"AZi6",3,0,9,9e-04
"518",4281,1,"FFb6",3,0,116,0.0116
"519",4282,2,"FFb6",3,0,26,0.0026
"520",4289,1,"FFc1",3,0,10,0.001
"521",4305,1,"FFd10",3,0,60,0.006
"522",4306,2,"FFd10",3,0,5,5e-04
"523",4308,4,"FFd10",3,0,13,0.0013
"524",4311,7,"FFd10",3,0,113,0.0113
"525",4313,1,"FFd11",3,0,21,0.0021
"526",4319,7,"FFd11",3,0,7,7e-04
"527",4321,1,"FFd2",3,0,13,0.0013
"528",4345,1,"FFd5",3,0,4,4e-04
"529",4346,2,"FFd5",3,0,1,1e-04
"530",4348,4,"FFd5",3,0,1,1e-04
"531",4353,1,"FFd6",3,0,41,0.0041
"532",4354,2,"FFd6",3,0,1,1e-04
"533",4356,4,"FFd6",3,0,7,7e-04
"534",4361,1,"FFd7",3,0,155,0.0155
"535",4362,2,"FFd7",3,0,34,0.0034
"536",4365,5,"FFd7",3,0,13,0.0013
"537",4385,1,"FFf1",3,0,7,7e-04
"538",4386,2,"FFf1",3,0,112,0.0112
"539",4391,7,"FFf1",3,0,12,0.0012
"540",4393,1,"FFf2",3,0,21,0.0021
"541",4409,1,"FFg3",3,0,46,0.0046
"542",4425,1,"FFg5",3,0,226,0.0226
"543",4426,2,"FFg5",3,0,4,4e-04
"544",4428,4,"FFg5",3,0,9,9e-04
"545",4441,1,"FFh10",3,0,813,0.0813
"546",4445,5,"FFh10",3,0,1,1e-04
"547",4513,1,"FFh9",3,0,216,0.0216
"548",4514,2,"FFh9",3,0,5,5e-04
"549",4516,4,"FFh9",3,0,14,0.0014
"550",4519,7,"FFh9",3,0,1,1e-04
"551",4521,1,"FFl1",3,0,220,0.022
"552",4524,4,"FFl1",3,0,12,0.0012
"553",4525,5,"FFl1",3,0,2,2e-04
"554",4529,1,"FFl2",3,0,205,0.0205
"555",4537,1,"FFl3",3,0,18,0.0018
"556",4577,1,"FFq6",3,0,2224,0.2224
"557",4601,1,"FFs11",3,0,2,2e-04
"558",4609,1,"FFs12",3,0,1,1e-04
"559",4612,4,"FFs12",3,0,2,2e-04
"560",4665,1,"FFs19",3,0,55,0.0055
"561",4666,2,"FFs19",3,0,2,2e-04
"562",4668,4,"FFs19",3,0,7,7e-04
"563",4681,1,"FFs20",3,0,380,0.038
"564",4682,2,"FFs20",3,0,10,0.001
"565",4737,1,"FFs27",3,0,96,0.0096
"566",4745,1,"FFs28",3,0,41,0.0041
"567",4746,2,"FFs28",3,0,2,2e-04
"568",4751,7,"FFs28",3,0,2,2e-04
"569",4753,1,"FFs29",3,0,589,0.0589
"570",4754,2,"FFs29",3,0,5,5e-04
"571",4756,4,"FFs29",3,0,1,1e-04
"572",4833,1,"FFs9",3,0,87,0.0087
"573",4834,2,"FFs9",3,0,1,1e-04
"574",4836,4,"FFs9",3,0,20,0.002
"575",4849,1,"FFt2",3,0,120,0.012
"576",4850,2,"FFt2",3,0,1,1e-04
