"","T_MAPCODE","T_BIOME","T_Name","get","extent","RLE_EPL","RLE","Criteria_triggered","EPL"
"67","FRs13","Fynbos","Eastern Ruens Shale Renosterveld","T3.2",397.7656,"EN_NP","EN","A3_nat, A3_wc, A2b, B1i_rod, B1iii_sp","NP"
"68","FFs27","Fynbos","Kouga Sandstone Fynbos","T3.2",2155.9756,"LC_WP","LC","","WP"
"69","FFs28","Fynbos","Kouga Grassy Sandstone Fynbos","T3.2",3696.5036,"LC_WP","LC","","WP"
"70","FFs2","Fynbos","Graafwater Sandstone Fynbos","T3.2",937.778,"LC_PP","LC","","PP"
"71","FFh6","Fynbos","Elgin Shale Fynbos","T3.2",67.108,"CR_PP","CR","B1i_rod, B1iii_sp","PP"
"72","FRc1","Fynbos","Swartland Silcrete Renosterveld","T3.2",12.802,"CR_NP","CR","B2i_rod, B2iii_sp","NP"
"73","FRs9","Fynbos","Swartland Shale Renosterveld","T3.2",486.2376,"CR_NP","CR","A3_nat","NP"
"74","FRa1","Fynbos","Breede Alluvium Renosterveld","T3.2",174.4068,"EN_NP","EN","B1i_rod","NP"
"75","FRg3","Fynbos","Robertson Granite Renosterveld","T3.2",18.8332,"LC_MP","LC","","MP"
"76","FRs11","Fynbos","Western Ruens Shale Renosterveld","T3.2",153.0492,"CR_NP","CR","B1i_rod, B1iii_sp","NP"
"77","FRs8","Fynbos","Breede Shale Renosterveld","T3.2",616.4812,"EN_PP","EN","B1iii_sp","PP"
"78","FFb5","Fynbos","Eastern Inland Shale Band Vegetation","T3.2",95.8256,"LC_WP","LC","","WP"
"79","FFh10","Fynbos","Suurberg Shale Fynbos","T3.2",277.9484,"LC_WP","LC","","WP"
"80","FFq5","Fynbos","Grootrivier Quartzite Fynbos","T3.2",388.316,"LC_NP","LC","","NP"
"81","FFq6","Fynbos","Suurberg Quartzite Fynbos","T3.2",668.574,"LC_MP","LC","","MP"
"82","FFs18","Fynbos","North Outeniqua Sandstone Fynbos","T3.2",732.3164,"LC_PP","LC","","PP"
"83","FRs16","Fynbos","Uniondale Shale Renosterveld","T3.2",1104.1168,"LC_PP","LC","","PP"
"84","FRs17","Fynbos","Langkloof Shale Renosterveld","T3.2",64.1688,"EN_NP","EN","B1i_rod","NP"
"85","FRs18","Fynbos","Baviaanskloof Shale Renosterveld","T3.2",118.6764,"LC_WP","LC","","WP"
"86","FRs20","Fynbos","Citrusdal Shale Renosterveld","T3.2",11.4372,"CR_NP","CR","B1i_rod","NP"
"87","FRd1","Fynbos","Nieuwoudtville-Roggeveld Dolerite Renosterveld","T3.2",197.2376,"LC_PP","LC","","PP"
"88","FRd2","Fynbos","Hantam Plateau Dolerite Renosterveld","T3.2",565.3256,"LC_NP","LC","","NP"
"89","FRs1","Fynbos","Vanrhynsdorp Shale Renosterveld","T3.2",196.0464,"LC_PP","LC","","PP"
"90","FRs2","Fynbos","Nieuwoudtville Shale Renosterveld","T3.2",104.3384,"CR_NP","CR","B1i_rod","NP"
"91","FRs3","Fynbos","Roggeveld Shale Renosterveld","T3.2",3148.2664,"LC_PP","LC","","PP"
"92","FRs5","Fynbos","Central Mountain Shale Renosterveld","T3.2",1199.1376,"LC_NP","LC","","NP"
"93","FFg1","Fynbos","Kamiesberg Granite Fynbos","T3.2",64.0224,"LC_NP","LC","","NP"
"94","FRg1","Fynbos","Namaqualand Granite Renosterveld","T3.2",252.788,"LC_NP","LC","","NP"
"95","FFa1","Fynbos","Kouebokkeveld Alluvium Fynbos","T3.2",52.9628,"CR_PP","CR","B1i_rod","PP"
"96","FFb1","Fynbos","Northern Inland Shale Band Vegetation","T3.2",258.2252,"LC_WP","LC","","WP"
"97","FFh1","Fynbos","Kouebokkeveld Shale Fynbos","T3.2",198.7996,"CR_MP","CR","B1i_rod","MP"
"98","FFq2","Fynbos","Swartruggens Quartzite Fynbos","T3.2",1617.4104,"LC_MP","LC","","MP"
"99","FFs1","Fynbos","Bokkeveld Sandstone Fynbos","T3.2",800.52,"LC_PP","LC","","PP"
"100","FFs3","Fynbos","Olifants Sandstone Fynbos","T3.2",469.3428,"LC_WP","LC","","WP"
"101","FFs30","Fynbos","Western Altimontane Sandstone Fynbos","T3.2",37.4804,"LC_WP","LC","","WP"
"102","FFs4","Fynbos","Cederberg Sandstone Fynbos","T3.2",2232.7588,"LC_WP","LC","","WP"
"103","FFs5","Fynbos","Winterhoek Sandstone Fynbos","T3.2",1051.0576,"LC_WP","LC","","WP"
"104","FFs6","Fynbos","Piketberg Sandstone Fynbos","T3.2",370.706,"CR_PP","CR","B1iii_sp","PP"
"105","FFs7","Fynbos","North Hex Sandstone Fynbos","T3.2",371.0828,"LC_WP","LC","","WP"
"106","FFs8","Fynbos","South Hex Sandstone Fynbos","T3.2",315.7336,"LC_WP","LC","","WP"
"107","FFc1","Fynbos","Swellendam Silcrete Fynbos","T3.2",388.6148,"EN_PP","EN","B1i_rod, B1iii_sp","PP"
"108","FFh8","Fynbos","Montagu Shale Fynbos","T3.2",144.4432,"LC_PP","LC","","PP"
"109","FFs16","Fynbos","South Langeberg Sandstone Fynbos","T3.2",1173.312,"LC_WP","LC","","WP"
"110","FFa2","Fynbos","Breede Alluvium Fynbos","T3.2",168.948,"EN_PP","EN","B1i_rod, B1iii_sp, B2i_rod, B2iii_sp","PP"
"111","FFa3","Fynbos","Swartland Alluvium Fynbos","T3.2",136.9996,"EN_PP","EN","A3_nat, B1i_rod, B1iii_sp","PP"
"112","FFd8","Fynbos","Breede Sand Fynbos","T3.2",43.4192,"CR_PP","CR","B1iii_sp","PP"
"113","FFg4","Fynbos","Robertson Granite Fynbos","T3.2",14.1344,"LC_WP","LC","","WP"
"114","FFh4","Fynbos","Breede Shale Fynbos","T3.2",203.6124,"EN_MP","EN","B1i_rod, B1iii_sp","MP"
"115","FFh7","Fynbos","Greyton Shale Fynbos","T3.2",148.176,"CR_PP","CR","B1iii_sp","PP"
"116","FFq4","Fynbos","Breede Quartzite Fynbos","T3.2",91.3208,"LC_PP","LC","","PP"
"117","FFs10","Fynbos","Hawequas Sandstone Fynbos","T3.2",1008.654,"LC_WP","LC","","WP"
"118","FFs13","Fynbos","North Sonderend Sandstone Fynbos","T3.2",520.876,"LC_WP","LC","","WP"
"119","FFs14","Fynbos","South Sonderend Sandstone Fynbos","T3.2",333.1052,"CR_WP","CR","B1iii_sp","WP"
"120","FRa2","Fynbos","Swartland Alluvium Renosterveld","T3.2",36.5332,"CR_NP","CR","B1iii_sp","NP"
"121","FFb3","Fynbos","Central Inland Shale Band Vegetation","T3.2",97.7068,"LC_WP","LC","","WP"
"122","FFh2","Fynbos","Matjiesfontein Shale Fynbos","T3.2",101.2808,"LC_WP","LC","","WP"
"123","FFh3","Fynbos","Swartberg Shale Fynbos","T3.2",63.6852,"LC_PP","LC","","PP"
"124","FFq3","Fynbos","Matjiesfontein Quartzite Fynbos","T3.2",1249.804,"LC_PP","LC","","PP"
"125","FFs21","Fynbos","North Rooiberg Sandstone Fynbos","T3.2",318.0388,"LC_WP","LC","","WP"
"126","FFs22","Fynbos","South Rooiberg Sandstone Fynbos","T3.2",385.3768,"LC_WP","LC","","WP"
"127","FFs23","Fynbos","North Swartberg Sandstone Fynbos","T3.2",846.108,"LC_WP","LC","","WP"
"128","FFs24","Fynbos","South Swartberg Sandstone Fynbos","T3.2",1082.2572,"LC_WP","LC","","WP"
"129","FFs25","Fynbos","North Kammanassie Sandstone Fynbos","T3.2",330.9052,"LC_WP","LC","","WP"
"130","FFs26","Fynbos","South Kammanassie Sandstone Fynbos","T3.2",287.084,"LC_WP","LC","","WP"
"131","FFs31","Fynbos","Swartberg Altimontane Sandstone Fynbos","T3.2",50.79,"LC_WP","LC","","WP"
"132","FFs32","Fynbos","Nardouw Sandstone Fynbos","T3.2",354.3128,"CR_NP","CR","B1i_rod","NP"
"133","FFt1","Fynbos","Kango Conglomerate Fynbos","T3.2",395.7416,"LC_PP","LC","","PP"
"134","FRl1","Fynbos","Kango Limestone Renosterveld","T3.2",432.6812,"LC_PP","LC","","PP"
"135","FRs15","Fynbos","Swartberg Shale Renosterveld","T3.2",264.244,"LC_PP","LC","","PP"
"136","FRs4","Fynbos","Ceres Shale Renosterveld","T3.2",211.3784,"CR_PP","CR","B1i_rod","PP"
"137","FRs6","Fynbos","Matjiesfontein Shale Renosterveld","T3.2",1809.988,"LC_PP","LC","","PP"
"138","FRs7","Fynbos","Montagu Shale Renosterveld","T3.2",1293.4608,"LC_PP","LC","","PP"
"139","FRs14","Fynbos","Mossel Bay Shale Renosterveld","T3.2",326.5452,"CR_NP","CR","B1i_rod","NP"
"140","FFb6","Fynbos","Eastern Coastal Shale Band Vegetation","T3.2",29.268,"EN_PP","EN","B1i_rod, B2i_rod","PP"
"141","FFd10","Fynbos","Knysna Sand Fynbos","T3.2",29.776,"CR_PP","CR","B1i_rod","PP"
"142","FFh9","Fynbos","Garden Route Shale Fynbos","T3.2",243.7668,"EN_PP","EN","B1i_rod, B1i_inv","PP"
"143","FFa4","Fynbos","Lourensford Alluvium Fynbos","T3.2",5.122,"CR_PP","CR","A3_coct, A2b, B1i_rod, B1iii_sp","PP"
"144","FFd3","Fynbos","Hopefield Sand Fynbos","T3.2",638.2968,"EN_PP","EN","B1iii_sp","PP"
"145","FFd4","Fynbos","Atlantis Sand Fynbos","T3.2",330.844,"EN_PP","EN","B1i_rod, B1i_inv, B1iii_sp","PP"
"146","FFd5","Fynbos","Cape Flats Sand Fynbos","T3.2",88.866,"CR_NP","CR","A3_nat, A3_wc, B1i_rod, B1i_inv, B1iii_sp","NP"
"147","FFf2","Fynbos","Potberg Ferricrete Fynbos","T3.2",19.376,"CR_PP","CR","B1iii_sp","PP"
"148","FFh11","Fynbos","Peninsula Shale Fynbos","T3.2",5.3668,"CR_WP","CR","B1i_rod, B2i_rod","WP"
"149","FFh5","Fynbos","Cape Winelands Shale Fynbos","T3.2",35.8028,"CR_MP","CR","B1i_rod, B2i_rod, B1iii_sp, B2iii_sp","MP"
"150","FFs11","Fynbos","Kogelberg Sandstone Fynbos","T3.2",763.5196,"CR_WP","CR","B1iii_sp","WP"
"151","FFs12","Fynbos","Overberg Sandstone Fynbos","T3.2",1049.864,"EN_PP","EN","B1iii_sp","PP"
"152","FFs9","Fynbos","Peninsula Sandstone Fynbos","T3.2",203.276,"CR_WP","CR","B1iii_sp","WP"
"153","FS10","Fynbos","Southwestern Strandveld",NA,305.542,"EN_MP","EN","B1i_inv","MP"
"154","Gh1","Grassland","Karoo Escarpment Grassland","T4.5",8138.5332,"LC_WP","LC","","WP"
"155","Gh4","Grassland","Besemkaree Koppies Shrubland","T4.5",9249.242,"LC_PP","LC","","PP"
"156","Gs17","Grassland","Tarkastad Montane Shrubland","T4.5",4170.7988,"LC_PP","LC","","PP"
"157","NKb3","Nama-Karoo","Bushmanland Arid Grassland","T5.1",40919.9956,"LC_PP","LC","","PP"
"158","NKb4","Nama-Karoo","Bushmanland Sandy Grassland","T5.1",2670.3192,"LC_NP","LC","","NP"
"159","NKb6","Nama-Karoo","Bushmanland Basin Shrubland","T5.1",40909.9712,"LC_PP","LC","","PP"
"160","NKl1","Nama-Karoo","Gamka Karoo","T5.1",20074.7364,"LC_PP","LC","","PP"
"161","NKl2","Nama-Karoo","Eastern Lower Karoo","T5.1",8164.2908,"LC_MP","LC","","MP"
"162","NKu1","Nama-Karoo","Western Upper Karoo","T5.1",16965.0208,"LC_NP","LC","","NP"
"163","NKu2","Nama-Karoo","Upper Karoo Hardeveld","T5.1",11706.3608,"LC_MP","LC","","MP"
"164","NKu3","Nama-Karoo","Northern Upper Karoo","T5.1",40004.2396,"LC_NP","LC","","NP"
"165","NKu4","Nama-Karoo","Eastern Upper Karoo","T5.1",48084.2452,"LC_PP","LC","","PP"
"166","SKs14","Succulent Karoo","Namaqualand Heuweltjie Strandveld","T5.2",644.0144,"LC_PP","LC","","PP"
"167","SKs7","Succulent Karoo","Namaqualand Strandveld","MT2.1",2540.0112,"LC_PP","LC","","PP"
"168","SKs8","Succulent Karoo","Namaqualand Coastal Duneveld","T5.2",727.288,"LC_MP","LC","","MP"
"169","SKs9","Succulent Karoo","Namaqualand Inland Duneveld","T5.2",884.7432,"LC_PP","LC","","PP"
"170","SKk3","Succulent Karoo","Knersvlakte Quartz Vygieveld","T5.2",1298.8296,"LC_WP","LC","","WP"
"171","SKs12","Succulent Karoo","Namaqualand Spinescent Grassland","T5.2",423.524,"LC_PP","LC","","PP"
"172","SKk1","Succulent Karoo","Northern Knersvlakte Vygieveld","T5.2",1666.85,"LC_MP","LC","","MP"
"173","SKk2","Succulent Karoo","Central Knersvlakte Vygieveld","T5.2",129.1548,"LC_WP","LC","","WP"
"174","SKk4","Succulent Karoo","Knersvlakte Shale Vygieveld","T5.2",979.3724,"LC_PP","LC","","PP"
"175","SKk5","Succulent Karoo","Vanrhynsdorp Gannabosveld","T3.2",829.1768,"LC_NP","LC","","NP"
"176","SKk6","Succulent Karoo","Knersvlakte Dolomite Vygieveld","T5.2",57.032,"LC_MP","LC","","MP"
"177","SKk7","Succulent Karoo","Citrusdal Vygieveld","T5.2",130.8612,"LC_PP","LC","","PP"
"178","SKk8","Succulent Karoo","Piketberg Quartz Succulent Shrubland","T5.2",0.6144,"CR_NP","CR","B1i_rod, B2i_rod","NP"
"179","SKk9","Succulent Karoo","Kobee Succulent Shrubland","T5.2",140.2268,"LC_NP","LC","","NP"
"180","SKn1","Succulent Karoo","Namaqualand Klipkoppe Shrubland","T5.2",7342.0048,"LC_PP","LC","","PP"
"181","SKn3","Succulent Karoo","Namaqualand Blomveld","T5.2",2891.024,"LC_PP","LC","","PP"
"182","SKn4","Succulent Karoo","Namaqualand Heuweltjieveld","T5.2",4581.266,"LC_PP","LC","","PP"
"183","SKn5","Succulent Karoo","Platbakkies Succulent Shrubland","T5.2",650.5384,"LC_NP","LC","","NP"
"184","SKn6","Succulent Karoo","Kamiesberg Mountains Shrubland","T3.2",391.506,"LC_NP","LC","","NP"
"185","SKn7","Succulent Karoo","Southern Namaqualand Quartzite Klipkoppe Shrubland","T5.2",907.9312,"LC_PP","LC","","PP"
"186","SKs10","Succulent Karoo","Riethuis-Wallekraal Quartz Vygieveld","T5.2",133.9984,"LC_WP","LC","","WP"
"187","SKs11","Succulent Karoo","Namaqualand Arid Grassland","T4.5",286.6852,"LC_WP","LC","","WP"
"188","SKs13","Succulent Karoo","Klawer Sandy Shrubland","T5.2",108.1508,"CR_NP","CR","B1i_rod","NP"
"189","SKv1","Succulent Karoo","Doringrivier Quartzite Karoo","T5.2",447.9824,"LC_NP","LC","","NP"
"190","SKv10","Succulent Karoo","Little Karoo Quartz Vygieveld","T5.2",226.2656,"LC_PP","LC","","PP"
"191","SKv11","Succulent Karoo","Eastern Little Karoo","T5.2",1369.166,"EN_PP","EN","D1_elk","PP"
"192","SKv13","Succulent Karoo","Prince Albert Succulent Karoo","T5.2",2513.968,"LC_PP","LC","","PP"
"193","SKv14","Succulent Karoo","Steytlerville Karoo","T5.2",769.2448,"LC_NP","LC","","NP"
"194","SKv2","Succulent Karoo","Swartruggens Quartzite Karoo","T5.2",557.15,"LC_MP","LC","","MP"
"195","SKv3","Succulent Karoo","Agter-Sederberg Shrubland","T5.2",902.9904,"LC_PP","LC","","PP"
"196","SKv4","Succulent Karoo","Tanqua Escarpment Shrubland","T5.2",1313.5804,"LC_MP","LC","","MP"
"197","SKv5","Succulent Karoo","Tanqua Karoo","T5.2",6923.8212,"LC_MP","LC","","MP"
"198","SKv6","Succulent Karoo","Koedoesberge-Moordenaars Karoo","T5.2",4674.8652,"LC_NP","LC","","NP"
"199","SKv7","Succulent Karoo","Robertson Karoo","T5.2",496.252,"LC_PP","LC","","PP"
"200","SKv8","Succulent Karoo","Western Little Karoo","T5.2",3931.7928,"LC_MP","LC","","MP"
"201","SKt1","Succulent Karoo","Western Bushmanland Klipveld","T5.2",101.3284,"LC_NP","LC","","NP"
"202","SKt2","Succulent Karoo","Hantam Karoo","T5.2",7313.0976,"LC_NP","LC","","NP"
"203","SKt3","Succulent Karoo","Roggeveld Karoo","T5.2",5222.7172,"LC_NP","LC","","NP"
"204","FS11","Fynbos","Grootbos Strandveld",NA,39.448,"CR_PP","CR","B1i_inv","PP"
"205","FS12","Fynbos","Southeastern Strandveld",NA,91.0064,"EN_PP","EN","B1i_inv, B2i_inv","PP"
"206","AT21","Albany Thicket","Buffels Mesic Thicket","T1.2",310.8976,"LC_PP","LC","","PP"
"207","AT31","Albany Thicket","Fish Mesic Thicket","T1.2",210.196,"LC_PP","LC","","PP"
"208","AT38","Albany Thicket","Grahamstown Grassland Thicket","T1.2",849.7652,"LC_MP","LC","","MP"
"209","AT45","Albany Thicket","Nanaga Savanna Thicket","T1.2",430.4944,"LC_MP","LC","","MP"
"210","AT41","Albany Thicket","Kasouga Dune Thicket","T1.2",207.8656,"LC_MP","LC","","MP"
"211","AT56","Albany Thicket","Hamburg Dune Thicket","T1.2",465.9492,"LC_PP","LC","","PP"
"212","AT18","Albany Thicket","Albany Valley Thicket","T1.2",1034.7104,"LC_MP","LC","","MP"
"213","AT24","Albany Thicket","Doubledrift Karroid Thicket","T1.2",2598.0464,"LC_PP","LC","","PP"
"214","AT15","Albany Thicket","Albany Arid Thicket","T1.2",14.5748,"LC_PP","LC","","PP"
"215","AT16","Albany Thicket","Albany Bontveld","T1.2",51.1648,"LC_PP","LC","","PP"
"216","AT22","Albany Thicket","Buffels Valley Thicket","T1.2",92.3968,"CR_NP","CR","B1i_rod","NP"
"217","AT23","Albany Thicket","Crossroads Grassland Thicket","T1.2",268.2796,"LC_MP","LC","","MP"
"218","AT28","Albany Thicket","Escarpment Mesic Thicket","T1.2",908.232,"LC_PP","LC","","PP"
"219","AT30","Albany Thicket","Fish Arid Thicket","T1.2",625.3256,"LC_WP","LC","","WP"
"220","AT32","Albany Thicket","Fish Valley Thicket","T1.2",3450.6652,"LC_MP","LC","","MP"
"221","AT35","Albany Thicket","Geluk Grassland Thicket","T1.2",18.3744,"LC_MP","LC","","MP"
"222","AT42","Albany Thicket","Koedoeskloof Karroid Thicket","T1.2",51.7304,"LC_NP","LC","","NP"
"223","AT47","Albany Thicket","Saltaire Karroid Thicket","T1.2",886.1536,"LC_PP","LC","","PP"
"224","AT52","Albany Thicket","Thorndale Forest Thicket","T1.2",30.2416,"LC_PP","LC","","PP"
"225","AT17","Albany Thicket","Albany Mesic Thicket","T1.2",576.74,"LC_MP","LC","","MP"
"226","AT20","Albany Thicket","Bethelsdorp Bontveld","T1.2",20.0016,"LC_NP","LC","","NP"
"227","AT39","Albany Thicket","Grassridge Bontveld","T1.2",216.984,"LC_PP","LC","","PP"
"228","AT44","Albany Thicket","Motherwell Karroid Thicket","T1.2",63.2552,"CR_NP","CR","B1i_rod","NP"
"229","AT48","Albany Thicket","Sardinia Forest Thicket","T1.2",11.6912,"CR_NP","CR","B1i_inv","NP"
"230","AT53","Albany Thicket","Umtiza Forest Thicket","T1.2",16.5496,"CR_WP","CR","B1i_rod","WP"
"231","AZa7","Azonal Vegetation","Subtropical Alluvial Vegetation","T3.1",859.3644,"LC_WP","LC","","WP"
"232","AZd4","Azonal Vegetation","Subtropical Seashore Vegetation","MT2.1",26.27,"LC_WP","LC","","WP"
"233","AZs3","Azonal Vegetation","Subtropical Dune Thicket","MT2.1",11.972,"LC_WP","LC","","WP"
"234","AZa4","Azonal Vegetation","Upper Gariep Alluvial Vegetation","T5.1",1248.4128,"LC_PP","LC","","PP"
"235","FOz5","Forests","Scarp Forest","T1.2",946.1864,"LC_WP","LC","","WP"
"236","SVs6","Savanna","Eastern Valley Bushveld","T4.2",7037.5756,"LC_NP","LC","","NP"
"237","FOz7","Forests","Northern Coastal Forest","T1.2",514.9484,"LC_WP","LC","","WP"
"238","FOz2","Forests","Northern Afrotemperate Forest","T2.4",182.4208,"LC_WP","LC","","WP"
"239","FOz3","Forests","Southern Mistbelt Forest","T2.4",884.3512,"LC_MP","LC","","MP"
"240","FFs29","Fynbos","Algoa Sandstone Fynbos","T3.2",131.6812,"CR_PP","CR","B1i_rod, B1iii_sp","PP"
"241","Gd1","Grassland","Amathole Montane Grassland","T4.5",4202.9276,"LC_PP","LC","","PP"
"242","Gd2","Grassland","Amathole Mistbelt Grassland","T4.5",153.586,"LC_NP","LC","","NP"
"243","Gd3","Grassland","Stormberg Plateau Grassland","T4.5",2409.262,"LC_NP","LC","","NP"
"244","Gd4","Grassland","Southern Drakensberg Highland Grassland","T4.5",5993.8588,"LC_PP","LC","","PP"
"245","Gd8","Grassland","Lesotho Highland Basalt Grassland","T4.5",17291.3664,"LC_PP","LC","","PP"
"246","Gh2","Grassland","Aliwal North Dry Grassland","T4.5",5660.4316,"LC_NP","LC","","NP"
"247","Gh3","Grassland","Xhariep Karroid Grassland","T4.5",12357.1816,"LC_PP","LC","","PP"
"248","Gm1","Grassland","Zastron Moist Grassland","T4.5",2813.2064,"LC_NP","LC","","NP"
"249","Gm5","Grassland","Basotho Montane Shrubland","T4.5",2462.3852,"LC_PP","LC","","PP"
"250","Gs10","Grassland","Drakensberg Foothill Moist Grassland","T4.5",7576.2196,"LC_PP","LC","","PP"
"251","Gs11","Grassland","Southern KwaZulu-Natal Moist Grassland","T4.5",1020.7256,"EN_PP","EN","B1i_rod","PP"
"252","Gs12","Grassland","East Griqualand Grassland","T4.5",4698.084,"EN_PP","EN","B1i_rod","PP"
"253","Gs13","Grassland","Mabela Sandy Grassland","T4.5",148.2664,"CR_PP","CR","B1i_rod","PP"
"254","Gs14","Grassland","Mthatha Moist Grassland","T4.5",2135.8588,"EN_NP","EN","B1i_rod","NP"
"255","Gs15","Grassland","Tsomo Grassland","T4.5",3708.014,"LC_NP","LC","","NP"
"256","Gs16","Grassland","Queenstown Thornveld","T4.2",2980.22,"LC_NP","LC","","NP"
"257","Gs18","Grassland","Bedford Dry Grassland","T4.5",1407.3916,"LC_NP","LC","","NP"
"258","Gs19","Grassland","Dry Coast Hinterland Grassland","T4.5",1334.6488,"VU_NP","VU","A3_nat, B1i_rod","NP"
"259","Gs20","Grassland","Moist Coast Hinterland Grassland","T4.5",2257.522,"VU_NP","VU","A3_nat, B1i_rod","NP"
"260","Gs6","Grassland","KwaZulu-Natal Highland Thornveld","T4.5",3303.6124,"LC_PP","LC","","PP"
"261","Gs9","Grassland","Midlands Mistbelt Grassland","T4.5",2020.0288,"EN_PP","EN","A3_nat","PP"
"262","CB6","Indian Ocean Coastal Belt","KwaZulu-Natal Coastal Belt Thornveld","T4.2",411.5112,"EN_NP","EN","B1i_rod, B1i_inv","NP"
"263","CB3","Indian Ocean Coastal Belt","KwaZulu-Natal Coastal Belt Grassland","T4.2",672.314,"EN_NP","EN","A3_nat, A3_kzn, A2b, B1i_rod","NP"
"264","CB4","Indian Ocean Coastal Belt","Pondoland-Ugu Sandstone Coastal Sourveld","T4.2",641.0904,"VU_PP","VU","A3_nat","PP"
"265","CB5","Indian Ocean Coastal Belt","Transkei Coastal Belt","T4.2",899.2332,"EN_PP","EN","B1i_rod","PP"
"266","NKl4","Nama-Karoo","Albany Broken Veld","T5.1",683.2128,"LC_MP","LC","","MP"
"267","SVs7","Savanna","Bhisho Thornveld","T4.2",4782.816,"LC_NP","LC","","NP"
"268","SVs4","Savanna","Ngongoni Veld","T4.2",325.9052,"EN_NP","EN","B1i_rod","NP"
"269","SVs5","Savanna","KwaZulu-Natal Sandstone Sourveld","T4.2",250.3336,"EN_NP","EN","A3_nat, A3_kzn, A2b, B1i_rod","NP"
"270","SVs8","Savanna","South Eastern Coastal Thornveld","T4.2",848.6824,"EN_PP","EN","B1i_rod","PP"
"271","AZd1","Azonal Vegetation","Namib Seashore Vegetation","MT2.1",0.3172,"CR_NP","CR","A3_nat, B1i_rod, B2i_rod","NP"
"272","AZa3","Azonal Vegetation","Lower Gariep Alluvial Vegetation","T5.2",530.9836,"LC_PP","LC","","PP"
"273","AZi3","Azonal Vegetation","Southern Kalahari Mekgacha","T5.2",1914.6164,"LC_MP","LC","","MP"
"274","Dn1","Desert","Alexander Bay Coastal Duneveld","MT2.1",1.3532,"CR_NP","CR","A3_nat, B1i_rod, B2i_rod","NP"
"275","Dn3","Desert","Western Gariep Plains Desert","T5.5",122.5984,"LC_PP","LC","","PP"
"276","Dg1","Desert","Noms Mountain Desert","T5.5",332.8976,"LC_WP","LC","","WP"
"277","Dg10","Desert","Eastern Gariep Rocky Desert","T5.5",2084.2796,"LC_NP","LC","","NP"
"278","Dg2","Desert","Richtersberg Mountain Desert","T5.5",361.3932,"LC_WP","LC","","WP"
"279","Dg3","Desert","Richtersveld Sheet Wash Desert","T5.5",156.4688,"LC_WP","LC","","WP"
"280","Dg4","Desert","Kwaggarug Mountain Desert","T5.5",107.1928,"LC_WP","LC","","WP"
"281","Dg5","Desert","Kahams Mountain Desert","T5.5",591.9344,"LC_WP","LC","","WP"
"282","Dg6","Desert","Helskloof Canyon Desert","T5.5",8.1068,"LC_WP","LC","","WP"
"283","Dg7","Desert","Northern Nababiepsberge Mountain Desert","T5.5",244.0452,"LC_NP","LC","","NP"
"284","Dg8","Desert","Southern Nababiepsberge Mountain Desert","T5.5",342.9244,"LC_NP","LC","","NP"
"285","Dg9","Desert","Eastern Gariep Plains Desert","T5.5",1198.2608,"LC_PP","LC","","PP"
"286","Dn4","Desert","Western Gariep Lowland Desert","T5.5",194.7612,"CR_NP","CR","B1iii_sp","NP"
"287","Dn5","Desert","Western Gariep Hills Desert","T5.5",384.4044,"LC_PP","LC","","PP"
"288","Dn2","Desert","Namib Lichen Fields","T5.5",1.01,"CR_WP","CR","B1i_rod, B2i_rod","WP"
"289","FFq1","Fynbos","Stinkfonteinberge Quartzite Fynbos","T3.2",49.024,"LC_WP","LC","","WP"
"290","NKb1","Nama-Karoo","Lower Gariep Broken Veld","T5.1",4637.4332,"LC_PP","LC","","PP"
"291","NKb2","Nama-Karoo","Blouputs Karroid Thornveld","T5.1",601.392,"LC_WP","LC","","WP"
"292","NKb5","Nama-Karoo","Kalahari Karroid Shrubland","T5.1",8543.5324,"LC_NP","LC","","NP"
"293","SVk10","Savanna","Kuruman Mountain Bushveld","T4.1",5539.6844,"LC_NP","LC","","NP"
"294","SVk11","Savanna","Molopo Bushveld","T4.2",13624.6808,"LC_PP","LC","","PP"
"295","SVk12","Savanna","Kathu Bushveld","T4.2",7252.688,"LC_PP","LC","","PP"
"296","SVk13","Savanna","Olifantshoek Plains Thornveld","T4.1",8409.2552,"LC_PP","LC","","PP"
"297","SVk14","Savanna","Postmasburg Thornveld","T4.1",880.8224,"LC_NP","LC","","NP"
