"","T_MAPCODE","T_BIOME","T_Name","get","extent","RLE_EPL","RLE","Criteria_triggered","EPL"
"353","Gh12","Grassland","Vaal Reefs Dolomite Sinkhole Woodland","T4.5",221.1288,"LC_NP","LC","","NP"
"354","Gh15","Grassland","Carletonville Dolomite Grassland","T4.5",5468.9772,"LC_PP","LC","","PP"
"355","Gh5","Grassland","Bloemfontein Dry Grassland","T4.5",2576.7764,"LC_PP","LC","","PP"
"356","Gh6","Grassland","Central Free State Grassland","T4.5",10488.0812,"LC_PP","LC","","PP"
"357","Gh7","Grassland","Winburg Grassy Shrubland","T4.5",1286.1452,"LC_PP","LC","","PP"
"358","Gh8","Grassland","Bloemfontein Karroid Shrubland","T4.5",66.1308,"LC_MP","LC","","MP"
"359","Gh9","Grassland","Western Free State Clay Grassland","T4.5",5306.9972,"LC_PP","LC","","PP"
"360","Gm10","Grassland","Egoli Granite Grassland","T4.5",183.1432,"CR_PP","CR","B1i_rod","PP"
"361","Gm11","Grassland","Rand Highveld Grassland","T4.5",4209.3672,"VU_PP","VU","A3_nat","PP"
"362","Gm12","Grassland","Eastern Highveld Grassland","T4.5",3707.4124,"EN_PP","EN","A3_nat","PP"
"363","Gm13","Grassland","Amersfoort Highveld Clay Grassland","T4.5",2126.2596,"LC_PP","LC","","PP"
"364","Gm14","Grassland","Wakkerstroom Montane Grassland","T4.5",2950.1124,"LC_PP","LC","","PP"
"365","Gm15","Grassland","Paulpietersburg Moist Grassland","T4.5",1967.0736,"EN_PP","EN","B1i_rod","PP"
"366","Gm16","Grassland","KaNgwane Montane Grassland","T4.5",5328.8756,"EN_PP","EN","B1i_rod","PP"
"367","Gm17","Grassland","Barberton Montane Grassland","T4.5",805.2008,"LC_WP","LC","","WP"
"368","Gm19","Grassland","Sekhukhune Montane Grassland","T4.5",847.0616,"LC_NP","LC","","NP"
"369","Gm20","Grassland","Leolo Summit Sourveld","T4.5",18.3784,"LC_NP","LC","","NP"
"370","Gm21","Grassland","Lydenburg Thornveld","T4.5",1192.6756,"LC_PP","LC","","PP"
"371","Gm22","Grassland","Northern Escarpment Dolomite Grassland","T4.5",352.086,"EN_PP","EN","B1i_rod","PP"
"372","Gm23","Grassland","Northern Escarpment Quartzite Sourveld","T4.5",759.7868,"LC_MP","LC","","MP"
"373","Gm24","Grassland","Northern Escarpment Afromontane Fynbos","T4.5",9.3328,"LC_WP","LC","","WP"
"374","Gm25","Grassland","Woodbush Granite Grassland","T4.5",103.7852,"CR_PP","CR","B1i_rod","PP"
"375","Gm26","Grassland","Wolkberg Dolomite Grassland","T4.5",242.2212,"LC_WP","LC","","WP"
"376","Gm27","Grassland","Strydpoort Summit Sourveld","T4.5",261.144,"LC_WP","LC","","WP"
"377","Gm28","Grassland","Soutpansberg Summit Sourveld","T4.5",91.556,"LC_WP","LC","","WP"
