"","T_MAPCODE","LC","1750","1990","2014","2018","2020","2022","prop_nat1990","prop_nat2014","prop_nat2018","prop_nat2020","prop_nat2022","A3_1990","A3_2014","A3_2018","A3_2020","A3_2022"
"32","AT46","nat",571.8576,557.298,555.9052,552.8852,552.4164,552.0688,0.974539815506518,0.972104244133505,0.966823209134582,0.966003424628789,0.965395580997787,"LC","LC","LC","LC","LC"
"33","AT47","nat",910.5756,894.258,891.6608,887.6752,887.002,886.1536,0.982079906380096,0.979227644579978,0.974850632940307,0.974111320356047,0.973179602001196,"LC","LC","LC","LC","LC"
"34","AT48","nat",20.3768,12.304,12.0464,11.8832,11.72,11.6912,0.60382395665659,0.591182128695379,0.583173020297593,0.575163911899808,0.57375053982961,"LC","LC","LC","LC","LC"
"35","AT49","nat",5647.1168,5561.6916,5550.6368,5535.572,5530.824,5524.0148,0.984872776139498,0.982915175404199,0.980247477792561,0.979406694757934,0.978200911303977,"LC","LC","LC","LC","LC"
"36","AT50","nat",577.5424,526.6208,519.1616,516.202,515.7564,515.4424,0.911830542657994,0.898915127270309,0.89379065502377,0.893019109938941,0.892475426912379,"LC","LC","LC","LC","LC"
"37","AT51","nat",1963.4028,1789.8828,1728.866,1703.0044,1698.5728,1693.7084,0.911622821358918,0.880545754544101,0.867373928569318,0.865116826766265,0.862639291336449,"LC","LC","LC","LC","LC"
"38","AT52","nat",43.5968,31.8148,30.648,30.2872,30.246,30.2416,0.729750807398708,0.7029873752202,0.694711538461538,0.693766514973576,0.693665590135056,"LC","LC","LC","LC","LC"
"39","AT53","nat",27.1028,19.4924,17.572,16.8096,16.684,16.5496,0.719202444027923,0.648346296323627,0.620216361409153,0.615582153873401,0.610623256637691,"LC","LC","LC","LC","LC"
"40","AT54","nat",187.7204,185.6204,185.0972,184.9368,184.9032,184.8992,0.988813149769551,0.986026025940707,0.985171563665963,0.984992574062275,0.984971265776122,"LC","LC","LC","LC","LC"
"41","AT55","nat",760.3872,749.5344,746.7232,742.8236,742.1788,741.5976,0.985727271579532,0.982030207767832,0.976901767941386,0.976053778916847,0.975289431489641,"LC","LC","LC","LC","LC"
"42","AT56","nat",701.6176,499.2812,480.4896,470.056,468.1268,465.9492,0.711614417882334,0.684831167291128,0.669960388678961,0.667210742717971,0.664107057747696,"LC","LC","LC","LC","LC"
"43","AT57","nat",137.0648,112.0368,108.8788,106.1196,105.7808,105.5096,0.817400236968208,0.794360039922723,0.774229415575699,0.771757592029463,0.769778965861403,"LC","LC","LC","LC","LC"
"44","AT58","nat",2252.3448,2231.5716,2228.192,2223.332,2222.5008,2221.2952,0.990777078180925,0.989276597437479,0.987118846102071,0.98674980846627,0.986214544060927,"LC","LC","LC","LC","LC"
"45","AZa1","nat",18.7044,18.3164,18.306,18.2216,18.1956,18.1868,0.979256217788328,0.978700198883685,0.974187891619084,0.972797844357477,0.97232736682278,"LC","LC","LC","LC","LC"
"46","AZa2","nat",350.796,156.8812,130.0756,117.42,116.5116,116.1724,0.447214905529139,0.370801263412354,0.334724455238942,0.332134916019567,0.331167972268783,"VU","VU","VU","VU","VU"
"47","AZa3","nat",867.5872,593.3988,564.7208,546.6908,543.8828,530.9836,0.683964447608263,0.650909556987471,0.630127784273442,0.626891222000509,0.612023321690315,"LC","LC","LC","LC","LC"
"48","AZa4","nat",1787.3464,1364.7744,1289.2596,1260.6492,1253.78,1248.4128,0.763575767965292,0.72132609548994,0.705318901808849,0.701475662468115,0.69847277505916,"LC","LC","LC","LC","LC"
"49","AZa5","nat",3235.1676,2284.7876,2203.942,2150.5292,2132.8992,2106.648,0.706234693992361,0.68124507676202,0.664735020219663,0.65928553438777,0.651171209800692,"LC","LC","LC","LC","LC"
"50","AZa6","nat",653.4064,339.1896,301.0136,289.3776,287.1932,286.0296,0.519109699568293,0.460683580693425,0.442875368224125,0.439532272717255,0.437751451470325,"LC","VU","VU","VU","VU"
"51","AZa7","nat",1274.7652,955.916,889.9532,884.0252,875.1724,859.3644,0.749876134051981,0.698131075432558,0.69348080728906,0.686536155834816,0.674135440785487,"LC","LC","LC","LC","LC"
"52","AZd1","nat",6.4404,0.6076,0.568,0.3532,0.3532,0.3172,0.0943419663374946,0.0881932799205018,0.0548413142040867,0.0548413142040867,0.0492515992795479,"CR","CR","CR","CR","CR"
"53","AZd2","nat",13.216,10.9352,10.844,9.6756,9.6724,9.5168,0.827421307506053,0.820520581113801,0.732112590799031,0.731870460048426,0.720096852300242,"LC","LC","LC","LC","LC"
"54","AZd3","nat",220.1216,216.7732,216.07,215.3868,215.3684,215.2172,0.984788407861836,0.981593809966855,0.978490070942606,0.978406480781532,0.977719587718788,"LC","LC","LC","LC","LC"
"55","AZd4","nat",28.0788,26.8056,26.68,26.32,26.306,26.27,0.954656181888115,0.950183056255965,0.937361995526874,0.936863398720743,0.935581292647834,"LC","LC","LC","LC","LC"
"56","AZi1","nat",1363.9048,1228.31,1215.0272,1202.8604,1201.3252,1200.1276,0.900583383825616,0.890844580941426,0.881924016984177,0.880798425227333,0.879920358077778,"LC","LC","LC","LC","LC"
"57","AZi3","nat",1919.2856,1916.4824,1916.2628,1918.3268,1915.0608,1914.6164,0.998539456556127,0.998425038983255,0.999500439121723,0.997798764290213,0.997567219803035,"LC","LC","LC","LC","LC"
"58","AZi5","nat",5176.9952,4872.7072,4846.1312,4829.3608,4825.7488,4815.0392,0.94122304768604,0.936089567940878,0.932850159876525,0.93215245785818,0.930083767510544,"LC","LC","LC","LC","LC"
"59","AZi6","nat",5302.936,4679.0044,4604.9892,4554.0108,4543.3332,4534.9768,0.882342234565908,0.868384834363455,0.858771593698283,0.856758067606322,0.85518226129827,"LC","LC","LC","LC","LC"
"60","AZi7","nat",2130.1056,2001.3092,1995.2164,1985.2444,1984.6736,1983.6596,0.939535204264052,0.936674876588278,0.931993418542254,0.931725450606768,0.931249417869236,"LC","LC","LC","LC","LC"
"61","AZi8","nat",407.1792,181.9356,164.8276,146.2984,144.5692,143.7668,0.446819483902911,0.404803585251899,0.35929733149434,0.355050552680491,0.353079921567703,"VU","VU","VU","VU","VU"
"62","AZs3","nat",12.9664,12.0748,12.0156,11.976,11.9752,11.972,0.93123766041461,0.926672013820336,0.923617966436328,0.923556268509378,0.923309476801579,"LC","LC","LC","LC","LC"
"63","CB1","nat",2355.4844,1049.2892,917.1276,862.2444,848.6136,832.548,0.445466418712007,0.389358384203266,0.366058208664001,0.360271373480546,0.353450865562939,"VU","VU","VU","VU","VU"
"64","CB2","nat",1122.1012,501.3016,434.8344,411.364,407.9236,401.0516,0.44675257454497,0.38751798857358,0.366601515086162,0.363535481469942,0.357411256667402,"VU","VU","VU","VU","VU"
"65","CB3","nat",4141.8068,1125.1684,807.47,684.6244,677.9888,672.314,0.271661246970766,0.194955979115202,0.165296073201676,0.163693970467188,0.162323843787209,"EN","EN","EN","EN","EN"
"66","CB4","nat",1299.9024,708.1036,667.2452,646.3276,643.7312,641.0904,0.544735974023896,0.513304075752149,0.497212406100643,0.495215025374213,0.493183488237271,"LC","LC","VU","VU","VU"
"67","CB5","nat",1650.386,1016.9328,929.7136,903.3732,901.496,899.2332,0.616178760605095,0.56333100256546,0.547370857484249,0.546233426604443,0.54486235341308,"LC","LC","LC","LC","LC"
"68","CB6","nat",1121.1792,483.28,440.6516,414.2556,412.7432,411.5112,0.431046169961055,0.393025129256768,0.369482059602961,0.368133122697959,0.36703427962274,"VU","VU","VU","VU","VU"
"69","Dg1","nat",335.9332,335.6452,335.6452,333.036,333.016,332.8976,0.999142686700808,0.999142686700808,0.991375666352715,0.991316130706938,0.990963679683937,"LC","LC","LC","LC","LC"
"70","Dg10","nat",2094.648,2091.7496,2090.4224,2084.7316,2084.4008,2084.2796,0.998616283022255,0.997982668209647,0.995265839415501,0.995107913119531,0.995050051369013,"LC","LC","LC","LC","LC"
"71","Dg2","nat",361.43,361.4276,361.4276,361.418,361.398,361.3932,0.999993359710041,0.999993359710041,0.999966798550203,0.999911462800542,0.999898182220624,"LC","LC","LC","LC","LC"
"72","Dg3","nat",160.0684,159.6936,159.6936,156.5212,156.5132,156.4688,0.997658500990826,0.997658500990826,0.977839473625025,0.977789494990892,0.977512113571448,"LC","LC","LC","LC","LC"
"73","Dg4","nat",107.7996,107.52,107.5172,107.2488,107.242,107.1928,0.997406298353612,0.997380324231259,0.994890519074282,0.994827439062854,0.994371036627223,"LC","LC","LC","LC","LC"
"74","Dg5","nat",592.286,592.286,592.286,592.016,591.9524,591.9344,1,1,0.999544139148992,0.999436758592977,0.999406367869577,"LC","LC","LC","LC","LC"
"75","Dg6","nat",8.2236,8.2236,8.2236,8.1068,8.1068,8.1068,1,1,0.98579697456102,0.98579697456102,0.98579697456102,"LC","LC","LC","LC","LC"
"76","Dg7","nat",247.0048,246.0048,245.4416,244.1796,244.1176,244.0452,0.995951495679436,0.993671378046095,0.988562165593543,0.988311158325668,0.988018046612859,"LC","LC","LC","LC","LC"
"77","Dg8","nat",343.1992,343.1836,343.1836,342.9408,342.932,342.9244,0.999954545348591,0.999954545348591,0.999247084492038,0.999221443406628,0.999199298832864,"LC","LC","LC","LC","LC"
"78","Dg9","nat",1217.99,1211.024,1203.2272,1198.7404,1198.4944,1198.2608,0.994280741221192,0.98787937503592,0.984195600949105,0.983993628847528,0.983801837453509,"LC","LC","LC","LC","LC"
"79","Dn1","nat",17.0928,2.2132,2.1032,1.3744,1.3716,1.3532,0.129481419077038,0.123045960872414,0.0804081250585042,0.0802443133951137,0.0791678367499766,"EN","EN","CR","CR","CR"
"80","Dn2","nat",1.5428,1.2484,1.2336,1.0276,1.0224,1.01,0.809178117708063,0.799585169821105,0.666061705989111,0.662691210785585,0.654653876069484,"LC","LC","LC","LC","LC"
"81","Dn3","nat",139.9224,127.49,126.932,122.9108,122.8844,122.5984,0.911147893403772,0.907159968668348,0.878421182026609,0.878232506017621,0.876188515920253,"LC","LC","LC","LC","LC"
"82","Dn4","nat",217.0148,201.1044,200.7652,195.1304,195.1072,194.7612,0.926685184604921,0.925122157567134,0.899157108178797,0.899050203027628,0.897455841721394,"LC","LC","LC","LC","LC"
"83","Dn5","nat",418.2756,392.2988,389.8536,384.9772,384.9532,384.4044,0.937895492828174,0.932049586444918,0.920391244433096,0.920333865996486,0.919021812412677,"LC","LC","LC","LC","LC"
"84","FFa1","nat",180.0652,72.1232,61.3016,54.1184,53.1612,52.9628,0.40053936018731,0.340441129102125,0.300548912282884,0.295233060024924,0.29413123690752,"VU","VU","VU","EN","EN"
