"","T_MAPCODE","LC","1750","1990","2014","2018","2020","2022","prop_nat1990","prop_nat2014","prop_nat2018","prop_nat2020","prop_nat2022","A3_1990","A3_2014","A3_2018","A3_2020","A3_2022"
"138","FFs14","nat",358.8828,338.6644,335.4396,333.4736,333.2388,333.1052,0.943662945117459,0.934677281831283,0.929199170314097,0.928544917728016,0.928172651350246,"LC","LC","LC","LC","LC"
"139","FFs15","nat",993.5776,926.69,915.4812,907.226,906.6148,906.3568,0.932680044316619,0.921398791599166,0.913090230697633,0.912475079953493,0.912215412263723,"LC","LC","LC","LC","LC"
"140","FFs16","nat",1215.3228,1181.2892,1177.8348,1173.9212,1173.596,1173.312,0.971996246593909,0.969153874180588,0.965933659765126,0.965666076535386,0.965432393764027,"LC","LC","LC","LC","LC"
"141","FFs17","nat",107.4468,101.5704,101.0436,100.3672,100.3344,100.296,0.945308748143267,0.94040585666581,0.934110648246388,0.933805380895476,0.933447994728554,"LC","LC","LC","LC","LC"
"142","FFs18","nat",878.8052,753.5552,744.0512,733.4592,732.74,732.3164,0.857476947109553,0.846662263718967,0.83460953576515,0.833791151895778,0.833309133810314,"LC","LC","LC","LC","LC"
"143","FFs19","nat",1571.0644,1101.832,1077.3556,1052.866,1050.336,1047.7296,0.701328347838574,0.685748846450852,0.670160943116017,0.668550569919349,0.666891567271208,"LC","LC","LC","LC","LC"
"144","FFs2","nat",1343.1468,1030.8712,975.6896,947.7932,939.6116,937.778,0.767504490201667,0.72642067121777,0.705651236335447,0.699559869405191,0.698194717062945,"LC","LC","LC","LC","LC"
"145","FFs20","nat",2298.4988,1658.1356,1598.6864,1575.6908,1569.6316,1567.7116,0.721399375975311,0.695535016159243,0.685530399232751,0.682894243842981,0.682058916019447,"LC","LC","LC","LC","LC"
"146","FFs21","nat",318.3396,318.2476,318.214,318.086,318.0468,318.0388,0.999711000453604,0.999605452793181,0.99920336646776,0.999080227530599,0.99905509713526,"LC","LC","LC","LC","LC"
"147","FFs22","nat",388.3256,385.8332,385.8232,385.4152,385.3908,385.3768,0.993581674759532,0.993555923173749,0.992505258473817,0.992442424604507,0.992406372384411,"LC","LC","LC","LC","LC"
"148","FFs23","nat",852.1924,847.862,847.2812,846.3536,846.1904,846.108,0.994918518400305,0.99423698216506,0.993148495574474,0.992956989524901,0.992860297744969,"LC","LC","LC","LC","LC"
"149","FFs24","nat",1084.7884,1083.5444,1083.3672,1082.5308,1082.396,1082.2572,0.998853232575127,0.998689882745796,0.997918856801935,0.997794592936281,0.997666641715564,"LC","LC","LC","LC","LC"
"150","FFs25","nat",332.5684,331.2896,331.1432,330.9492,330.9168,330.9052,0.996154775979919,0.995714565785565,0.995131227140041,0.995033803572438,0.994998923529716,"LC","LC","LC","LC","LC"
"151","FFs26","nat",304.1844,290.0796,288.5168,287.234,287.0992,287.084,0.953630758184838,0.948493085115476,0.944275906325242,0.943832754079433,0.943782784389995,"LC","LC","LC","LC","LC"
"152","FFs27","nat",2402.9412,2197.2576,2182.932,2164.1368,2161.7728,2155.9756,0.914403398634973,0.908441704690901,0.900619956909474,0.899636162549462,0.897223619121433,"LC","LC","LC","LC","LC"
"153","FFs28","nat",4052.18,3752.0192,3721.6912,3703.386,3698.8704,3696.5036,0.925926094102434,0.918441727662641,0.913924356765988,0.912809993633057,0.912225912965367,"LC","LC","LC","LC","LC"
"154","FFs29","nat",334.1964,164.0824,144.5876,133.2308,132.838,131.6812,0.490975965031341,0.432642601775483,0.398660189038541,0.397484832272281,0.394023394626633,"VU","VU","VU","VU","VU"
"155","FFs3","nat",498.2384,474.1984,472.0324,470.1596,469.4724,469.3428,0.9517500056198,0.947402689154429,0.943643845998221,0.942264586591479,0.94200447014923,"LC","LC","LC","LC","LC"
"156","FFs30","nat",37.5252,37.5252,37.5252,37.4912,37.4848,37.4804,1,1,0.999093942204172,0.998923390148487,0.998806135610203,"LC","LC","LC","LC","LC"
"157","FFs31","nat",50.8348,50.8348,50.8348,50.828,50.7904,50.79,1,1,0.999866233367693,0.999126582577289,0.99911871395186,"LC","LC","LC","LC","LC"
"158","FFs32","nat",547.9488,412.8172,366.306,360.442,357.5984,354.3128,0.753386447784903,0.668504064613336,0.657802334816684,0.65261279886004,0.646616618194985,"LC","LC","LC","LC","LC"
"159","FFs4","nat",2523.64,2284.3552,2259.062,2238.5196,2233.7616,2232.7588,0.905182672647446,0.895160165475266,0.887020177204356,0.88513480528126,0.884737442741437,"LC","LC","LC","LC","LC"
"160","FFs5","nat",1135.986,1065.9308,1059.318,1051.976,1051.2628,1051.0576,0.938330930134702,0.932509731634017,0.926046623814026,0.925418799175342,0.925238163146377,"LC","LC","LC","LC","LC"
"161","FFs6","nat",422.8764,383.2364,377.4512,371.6348,370.938,370.706,0.906261025680317,0.89258043248571,0.878826058867319,0.87717829606949,0.876629672405459,"LC","LC","LC","LC","LC"
"162","FFs7","nat",394.0712,375.8132,373.3496,371.3628,371.17,371.0828,0.953668271114459,0.947416608978276,0.942374880478452,0.941885628789924,0.94166434898059,"LC","LC","LC","LC","LC"
"163","FFs8","nat",319.7464,316.99,316.5036,315.9276,315.8412,315.7336,0.991379418188915,0.989858212633512,0.988056785002114,0.987786570857405,0.987450054167928,"LC","LC","LC","LC","LC"
"164","FFs9","nat",219.4464,206.5656,204.9768,203.54,203.404,203.276,0.941303206614462,0.934063169867448,0.927515785175788,0.926896043863103,0.926312757921752,"LC","LC","LC","LC","LC"
"165","FFt1","nat",404.9544,397.7252,396.6444,395.8584,395.7816,395.7416,0.982148113466603,0.979479170988141,0.977538211709763,0.977348560726837,0.97724978417323,"LC","LC","LC","LC","LC"
"166","FFt2","nat",211.1624,184.3552,183.2752,182.4516,181.6072,181.5708,0.873049368637598,0.867934821729626,0.864034506143139,0.860035688171758,0.859863308998193,"LC","LC","LC","LC","LC"
"167","FOa1","nat",176.5124,150.1868,134.9612,133.9124,133.7084,133.4168,0.850856936963069,0.764598974349677,0.758657182158307,0.757501455988361,0.755849447404262,"LC","LC","LC","LC","LC"
"168","FOa2","nat",100.4988,78.1504,73.7624,73.0152,72.8896,72.8692,0.77762520547509,0.733962992592946,0.726528077947199,0.725278311780837,0.725075324282479,"LC","LC","LC","LC","LC"
"169","FOa3","nat",23.8196,21.5984,20.992,20.7156,20.6628,20.558,0.906749063796201,0.881291037632874,0.869687148398798,0.867470486490117,0.863070748459252,"LC","LC","LC","LC","LC"
"170","FOz1","nat",788.0828,639.3076,635.1924,632.7956,632.4848,632.212,0.811218821169552,0.805997034829335,0.802955730032428,0.802561355228156,0.802215198707547,"LC","LC","LC","LC","LC"
"171","FOz2","nat",214.0732,185.4848,182.878,182.4964,182.454,182.4208,0.866455025664119,0.85427788251869,0.852495314686752,0.852297251594314,0.852142164455896,"LC","LC","LC","LC","LC"
"172","FOz3","nat",1062.2748,893.0796,885.7284,884.67,884.4928,884.3512,0.84072369974323,0.833803456506734,0.832807104150451,0.832640292323606,0.832506993482289,"LC","LC","LC","LC","LC"
"173","FOz4","nat",389.3584,291.5964,289.4344,289.0336,288.9716,288.9104,0.748915138340408,0.74336241365282,0.742333027873548,0.742173791550407,0.7420166098895,"LC","LC","LC","LC","LC"
"174","FOz5","nat",1029.478,954.1424,947.846,946.6192,946.326,946.1864,0.926821554224568,0.920705444895374,0.91951377299952,0.919228968467515,0.919093365764009,"LC","LC","LC","LC","LC"
"175","FOz6","nat",185.2344,153.5564,151.6972,151.0108,150.932,150.9288,0.828984249145947,0.818947236582406,0.815241661376073,0.814816254432222,0.814798979023335,"LC","LC","LC","LC","LC"
"176","FOz7","nat",680.3208,560.2936,523.4512,517.5788,516.17,514.9484,0.823572643964436,0.769418192123481,0.760786381953925,0.758715594172631,0.756919970696177,"LC","LC","LC","LC","LC"
"177","FOz8","nat",265.4308,251.3768,245.148,244.6808,244.4464,244.2452,0.947052113017781,0.92358535633393,0.921825198884229,0.920942106191143,0.920184093179842,"LC","LC","LC","LC","LC"
"178","FOz9","nat",81.6428,81.272,81.2672,81.2672,81.2604,81.2604,0.995458264537718,0.99539947184565,0.99539947184565,0.995316182198553,0.995316182198553,"LC","LC","LC","LC","LC"
"179","FRa1","nat",497.676,236.7732,197.936,178.5072,175.2748,174.4068,0.475757721891351,0.397720605373777,0.358681551853013,0.3521865631455,0.350442456537989,"VU","VU","VU","VU","VU"
"180","FRa2","nat",63.072,40.868,39.2772,36.7452,36.5952,36.5332,0.647957889396246,0.622735920852359,0.582591324200913,0.580213089802131,0.579230086250634,"LC","LC","LC","LC","LC"
"181","FRc1","nat",101.0616,20.6876,16.0828,13.0508,12.8756,12.802,0.204702874286574,0.159138584783934,0.12913708075075,0.127403484607408,0.126675215907921,"EN","EN","EN","EN","EN"
"182","FRc2","nat",209.756,42.454,32.1036,28.7568,28.5356,28.494,0.202397070882359,0.153052117698659,0.137096435858807,0.13604187722878,0.13584355155514,"EN","EN","EN","EN","EN"
"183","FRd1","nat",219.4944,202.4236,198.6048,197.4632,197.3924,197.2376,0.922226717401446,0.90482855143457,0.899627507581059,0.899304948098904,0.898599690926055,"LC","LC","LC","LC","LC"
"184","FRd2","nat",578.926,566.6,565.9832,565.3716,565.3448,565.3256,0.978708850526665,0.977643429384757,0.976586990392554,0.976540697774845,0.976507532914397,"LC","LC","LC","LC","LC"
"185","FRg1","nat",305.5396,262.0808,255.3204,253.2452,252.86,252.788,0.857763772682821,0.835637671843519,0.828845753545531,0.82758503316755,0.827349384498769,"LC","LC","LC","LC","LC"
"186","FRg2","nat",951.3408,232.6704,194.9908,157.524,154.9304,153.8836,0.244571030696886,0.204964193693785,0.165581040989727,0.162854783480326,0.161754441731081,"EN","EN","EN","EN","EN"
"187","FRg3","nat",19.1756,18.9984,18.8536,18.8348,18.8336,18.8332,0.990759089676464,0.983207826612987,0.982227414005298,0.982164834477148,0.982143974634431,"LC","LC","LC","LC","LC"
"188","FRl1","nat",501.6888,446.2368,439.4828,433.6192,433.0896,432.6812,0.889469328396408,0.876006799434231,0.864319075889276,0.863263441400326,0.862449390937171,"LC","LC","LC","LC","LC"
"189","FRs1","nat",207.306,200.3152,196.9488,196.2448,196.1052,196.0464,0.966277869429732,0.950039072675176,0.94664312658582,0.945969725912419,0.945686087233365,"LC","LC","LC","LC","LC"
"190","FRs10","nat",25.2736,4.1324,3.7092,2.6216,2.5512,2.5132,0.163506583945303,0.146761838440111,0.103728792099266,0.100943276778931,0.0994397315776146,"EN","EN","EN","EN","CR"
"191","FRs11","nat",1193.6704,234.0652,185.01,155.7532,153.548,153.0492,0.196088635522838,0.154992533952421,0.130482585477532,0.128635174332881,0.128217303537057,"EN","EN","EN","EN","EN"
"192","FRs12","nat",2027.506,311.8648,240.3904,199.5524,196.234,195.7052,0.153816955412216,0.1185645813132,0.09842259406384,0.0967859034695828,0.0965250904312983,"EN","EN","CR","CR","CR"
"193","FRs13","nat",2762.57,605.7076,455.82,401.7824,398.3344,397.7656,0.219255113897566,0.1649985339738,0.145437907455739,0.144189794285756,0.143983899050522,"EN","EN","EN","EN","EN"
"194","FRs14","nat",866.5308,402.4664,349.238,328.2744,326.7788,326.5452,0.464457120277779,0.403030105796586,0.3788375439165,0.377111581030934,0.376842000307433,"VU","VU","VU","VU","VU"
"195","FRs15","nat",276.4104,266.4712,265.6312,264.466,264.3352,264.244,0.964041873967116,0.961002914506835,0.95678744359836,0.956314234196687,0.955984290026714,"LC","LC","LC","LC","LC"
"196","FRs16","nat",1347.8644,1138.6972,1121.8012,1106.1484,1104.8436,1104.1168,0.844815843492862,0.832280457885823,0.820667420253848,0.819699370352092,0.819160146970274,"LC","LC","LC","LC","LC"
"197","FRs17","nat",207.1384,81.99,73.4424,64.9092,64.3528,64.1688,0.395822310107638,0.35455714633308,0.313361501295752,0.310675374532197,0.309787079556471,"VU","VU","VU","VU","VU"
"198","FRs18","nat",118.7224,118.688,118.6804,118.6776,118.6768,118.6764,0.999710248445112,0.999646233566707,0.999622649137821,0.999615910729568,0.999612541525441,"LC","LC","LC","LC","LC"
"199","FRs19","nat",373.15,177.624,162.5376,158.1052,156.052,155.8908,0.476012327482246,0.435582473536112,0.423704140426102,0.418201795524588,0.417769797668498,"VU","VU","VU","VU","VU"
"200","FRs2","nat",218.8368,118.3448,106.4268,104.63,104.4872,104.3384,0.540790214442909,0.486329538724748,0.478118853867357,0.477466312795654,0.476786354031863,"LC","VU","VU","VU","VU"
"201","FRs20","nat",46.9912,16.0672,13.2532,11.6716,11.5236,11.4372,0.341919338088834,0.282035785423654,0.248378419789237,0.245228893920564,0.243390251791825,"VU","EN","EN","EN","EN"
"202","FRs3","nat",3217.472,3162.512,3154.8108,3149.6392,3148.9484,3148.2664,0.982918266266187,0.980524710082947,0.978917361207805,0.978702658484674,0.978490690828079,"LC","LC","LC","LC","LC"
"203","FRs4","nat",491.7496,254.0312,232.4208,213.4232,211.8412,211.3784,0.516586490360135,0.472640547140252,0.434007877179768,0.430790792712389,0.429849663324586,"LC","VU","VU","VU","VU"
"204","FRs5","nat",1236.5136,1202.46,1201.8516,1199.5956,1199.3404,1199.1376,0.97245998750034,0.971967958945215,0.97014347436211,0.9699370876309,0.969773078112525,"LC","LC","LC","LC","LC"
"205","FRs6","nat",2095.8456,1840.392,1825.8288,1811.7352,1810.7776,1809.988,0.878114303839939,0.871165700374111,0.864441159215164,0.863984255328732,0.863607510018868,"LC","LC","LC","LC","LC"
"206","FRs7","nat",1607.8492,1342.7576,1320.1652,1295.5628,1294.2568,1293.4608,0.835126577791002,0.821075260043044,0.805773825057723,0.804961559827874,0.804466488523924,"LC","LC","LC","LC","LC"
"207","FRs8","nat",1049.7592,677.6008,636.6988,618.6968,617.2852,616.4812,0.645482125805613,0.606518904525914,0.589370209853841,0.588025520519373,0.587259630589568,"LC","LC","LC","LC","LC"
"208","FRs9","nat",4963.7544,805.8872,616.038,498.2292,489.5764,486.2376,0.162354366283715,0.124107268482099,0.100373459250925,0.0986302626092862,0.0979576265900666,"EN","EN","EN","CR","CR"
"209","FS1","nat",354.2776,269.7356,248.5536,236.9268,236.1392,235.792,0.761367921652399,0.701578649059382,0.668760316768545,0.666537201335902,0.665557178890226,"LC","LC","LC","LC","LC"
"210","FS10","nat",322.876,311.78,309.2904,306.1472,306.0088,305.542,0.965633865632627,0.957923165549623,0.948188158921691,0.94775951139137,0.946313755125807,"LC","LC","LC","LC","LC"
"211","FS11","nat",39.6004,39.5996,39.5996,39.51,39.4644,39.448,0.999979798183857,0.999979798183857,0.99771719477581,0.996565691255644,0.996151554024707,"LC","LC","LC","LC","LC"
"212","FS12","nat",119.0592,98.6836,94.8068,91.7228,91.3728,91.0064,0.82886160834274,0.796299655969467,0.770396575821104,0.767456861796484,0.764379401171854,"LC","LC","LC","LC","LC"
"213","FS13","nat",41.644,36.5936,35.8892,35.256,35.23,35.1444,0.878724426087792,0.861809624435693,0.846604552876765,0.845980213236,0.843924695034099,"LC","LC","LC","LC","LC"
"214","FS14","nat",96.9252,90.4544,85.8384,85.1672,85.0996,84.9324,0.933239240156327,0.885614886531057,0.878689958854869,0.877992513814777,0.876267472236322,"LC","LC","LC","LC","LC"
"215","FS2","nat",298.8244,96.7788,85.3932,78.9872,78.6932,78.3044,0.323865119448077,0.285763813129048,0.264326474009485,0.263342618608119,0.262041520036516,"VU","EN","EN","EN","EN"
"216","FS3","nat",1643.4048,681.9708,615.7756,587.502,583.5696,580.8488,0.414974326471482,0.374695023405067,0.357490741173447,0.355097904058696,0.353442316829061,"VU","VU","VU","VU","VU"
"217","FS4","nat",61.564,51.0856,50.4092,49.6488,49.5944,49.5296,0.829796634396725,0.818809693977,0.806458319797284,0.8055746865051,0.804522123318823,"LC","LC","LC","LC","LC"
"218","FS5","nat",342.2724,305.9408,297.7072,294.3276,293.57,293.0008,0.893851797574096,0.869796103921905,0.859922097136667,0.857708655445195,0.856045652527052,"LC","LC","LC","LC","LC"
"219","FS6","nat",394.2892,265.5116,222.0696,192.13,189.02,183.1524,0.673393032322468,0.563215020852714,0.487281924029367,0.479394312601005,0.464512849958863,"LC","LC","VU","VU","VU"
"220","FS7","nat",46.8288,39.3972,38.3944,37.5808,37.5596,37.4948,0.84130278802788,0.819888615552822,0.802514691813585,0.802061978953123,0.800678215115484,"LC","LC","LC","LC","LC"
"221","FS9","nat",27.99,14.8516,13.5296,12.4376,12.3868,12.3604,0.53060378706681,0.483372633083244,0.444358699535548,0.442543765630582,0.441600571632726,"LC","VU","VU","VU","VU"
"222","Gd1","nat",5026.9468,4397.3812,4294.7836,4241.9476,4226.5148,4202.9276,0.87476183356466,0.854352307846186,0.843841753009998,0.840771738423808,0.836079586121739,"LC","LC","LC","LC","LC"
"223","Gd10","nat",2830.788,2755.7328,2755.7328,2755.526,2755.4296,2753.284,0.973486110581223,0.973486110581223,0.973413056717776,0.973379002595744,0.972621051099553,"LC","LC","LC","LC","LC"
"224","Gd2","nat",158.3236,156.1032,154.554,153.9484,153.858,153.586,0.985975558918569,0.97619053634455,0.972365459097696,0.971794476628879,0.970076476280226,"LC","LC","LC","LC","LC"
"225","Gd3","nat",2966.1812,2479.3892,2437.634,2414.0252,2411.2724,2409.262,0.835885953292402,0.821808863194197,0.813849538254777,0.812921476273938,0.812243702441375,"LC","LC","LC","LC","LC"
"226","Gd4","nat",6647.026,6156.9512,6058.0144,6007.3948,5999.4244,5993.8588,0.926271568668454,0.911387197823508,0.903771822165281,0.902572729518434,0.901735422728902,"LC","LC","LC","LC","LC"
"227","Gd5","nat",1237.522,1128.8028,1123.1604,1117.4256,1116.5988,1116.0928,0.912147662829428,0.907588228734519,0.902954129300328,0.902286019965706,0.901877138345823,"LC","LC","LC","LC","LC"
"228","Gd6","nat",21.6172,21.5512,21.5488,21.548,21.548,21.5476,0.996946875636068,0.996835852931925,0.996798845363877,0.996798845363877,0.996780341579853,"LC","LC","LC","LC","LC"
"229","Gd7","nat",1346.9464,1346.3916,1346.2224,1346.0288,1345.9808,1345.922,0.999588105361876,0.999462487891129,0.999318755371409,0.999283119209495,0.99923946491115,"LC","LC","LC","LC","LC"
"230","Gd8","nat",20169.2884,17303.9932,17297.3804,17292.468,17291.8632,17291.3664,0.857937714847689,0.857609850033182,0.857366291613937,0.857336305429596,0.857311673921029,"LC","LC","LC","LC","LC"
"231","Gd9","nat",2208.2908,1855.9928,1855.9928,1855.9928,1855.9928,1855.9928,0.840465757498967,0.840465757498967,0.840465757498967,0.840465757498967,0.840465757498967,"LC","LC","LC","LC","LC"
"232","Gh1","nat",8370.6212,8182.4556,8162.5608,8145.6308,8141.3984,8138.5332,0.977520712560736,0.975143971393664,0.973121421382681,0.97261579582648,0.972273503428873,"LC","LC","LC","LC","LC"
"233","Gh10","nat",25965.724,7280.0324,6322.368,5956.364,5872.66,5813.4168,0.280370861216887,0.243488993413009,0.229393334073797,0.226169699716442,0.223888107260171,"EN","EN","EN","EN","EN"
"234","Gh11","nat",923.5568,478.7988,439.9816,423.7476,420.0992,416.9716,0.518429185947199,0.476399069337154,0.458821374061671,0.454870994399045,0.451484521580048,"LC","VU","VU","VU","VU"
"235","Gh12","nat",329.4952,245.7636,232.8736,224.0544,221.954,221.1288,0.745879150895066,0.706758702402948,0.679992910367131,0.673618310676453,0.671113873586019,"LC","LC","LC","LC","LC"
"236","Gh13","nat",3766.2224,2306.3724,2208.18,2145.5384,2131.164,2123.7648,0.612383485372505,0.586311631517034,0.569679156493785,0.565862493940878,0.563897872839373,"LC","LC","LC","LC","LC"
"237","Gh14","nat",9187.4096,4187.3196,3888.9904,3732.7136,3700.264,3675.5048,0.455767162051858,0.423295637107548,0.406285750011625,0.40275378600732,0.400058880579353,"VU","VU","VU","VU","VU"
"238","Gh15","nat",8598.4796,5950.2648,5659.708,5517.9052,5492.8644,5468.9772,0.692013597380635,0.658221948912922,0.641730335674693,0.638818099888264,0.636040027355534,"LC","LC","LC","LC","LC"
"239","Gh2","nat",7163.2324,5891.2572,5755.924,5685.028,5669.4836,5660.4316,0.822429996826572,0.803537241092443,0.793640033234158,0.791470007311224,0.790206331990569,"LC","LC","LC","LC","LC"
"240","Gh3","nat",13392.4368,12579.0656,12474.4728,12395.2932,12378.9708,12357.1816,0.939266377572153,0.931456536722279,0.925544274362378,0.924325496910316,0.922698518913302,"LC","LC","LC","LC","LC"
"241","Gh4","nat",9677.7704,9336.4172,9302.0416,9263.8896,9258.3208,9249.242,0.964728115475854,0.961176098990735,0.957233868660492,0.956658446867059,0.955720338229971,"LC","LC","LC","LC","LC"
"242","Gh5","nat",4949.5984,2822.7828,2657.3024,2601.1916,2587.7776,2576.7764,0.570305421142855,0.536872324833465,0.525535889942101,0.5228257710767,0.52060312610413,"LC","LC","LC","LC","LC"
"243","Gh6","nat",16012.9004,11245.462,10771.5056,10567.0592,10518.8544,10488.0812,0.702275148104962,0.672676737563421,0.659909131764786,0.656898758953125,0.654976983432683,"LC","LC","LC","LC","LC"
"244","Gh7","nat",1571.9508,1336.1324,1312.8352,1292.1448,1287.8068,1286.1452,0.849983599995623,0.835163034364689,0.822000790355525,0.819241162000745,0.818184131462639,"LC","LC","LC","LC","LC"
"245","Gh8","nat",80.4668,70.7332,69.058,66.4928,66.2432,66.1308,0.879035825955549,0.858217302042582,0.826338315926568,0.823236415515467,0.821839566131622,"LC","LC","LC","LC","LC"
"246","Gh9","nat",7074.3048,5532.5328,5409.5324,5344.7948,5322.0924,5306.9972,0.782060281032844,0.764673357020184,0.755522267007777,0.752313131885412,0.750179325041239,"LC","LC","LC","LC","LC"
"247","Gm1","nat",4268.0984,2955.0616,2869.5492,2828.2592,2819.8516,2813.2064,0.692360232369525,0.672324986696652,0.662650889210989,0.66068101897557,0.659124072678362,"LC","LC","LC","LC","LC"
"248","Gm10","nat",1093.2008,320.5488,244.8032,191.496,187.4896,183.1432,0.293220422085311,0.223932510843388,0.175170014511515,0.171505180018163,0.167529332214173,"EN","EN","EN","EN","EN"
"249","Gm11","nat",10508.8704,5015.5244,4524.9156,4291.7392,4240.3376,4209.3672,0.47726579633145,0.430580588376083,0.408392057056865,0.403500798715721,0.400553726497569,"VU","VU","VU","VU","VU"
"250","Gm12","nat",12772.3408,4776.8264,4201.6852,3851.0776,3774.9456,3707.4124,0.37399772483365,0.328967513926656,0.301516977999835,0.295556285187755,0.290268828404579,"VU","VU","VU","EN","EN"
"251","Gm13","nat",3927.052,2316.5632,2222.6736,2149.9184,2135.0956,2126.2596,0.589898784126108,0.565990366310403,0.547463695413251,0.543689159196262,0.541439125328618,"LC","LC","LC","LC","LC"
"252","Gm14","nat",3750.41,3144.5436,3055.6776,2986.1004,2961.5316,2950.1124,0.838453289107058,0.814758279761413,0.796206388101568,0.789655424340272,0.786610637236995,"LC","LC","LC","LC","LC"
"253","Gm15","nat",4216.8496,2624.2452,2151.1392,2005.8116,1983.8856,1967.0736,0.622323641801216,0.510129457782891,0.475665909450505,0.470466293130303,0.466479430520832,"LC","LC","VU","VU","VU"
"254","Gm16","nat",9654.236,5975.7136,5576.0644,5378.8324,5353.44,5328.8756,0.618973225846147,0.577576972429512,0.557147391051969,0.55451720881901,0.551972792046932,"LC","LC","LC","LC","LC"
"255","Gm17","nat",1291.3936,866.7416,818.916,807.2168,806.4492,805.2008,0.671167644008767,0.63413354379331,0.62507418342479,0.624479786797766,0.623513079203738,"LC","LC","LC","LC","LC"
"256","Gm19","nat",1380.852,893.0368,873.7352,856.5124,848.8632,847.0616,0.646728831185384,0.632750794437058,0.620278205050215,0.614738726525363,0.613434024790492,"LC","LC","LC","LC","LC"
"257","Gm2","nat",3737.0288,2828.014,2825.676,2819.304,2818.9224,2818.7752,0.756754670983536,0.756129040268568,0.754423942357629,0.754321829149403,0.754282439568033,"LC","LC","LC","LC","LC"
"258","Gm20","nat",20.3384,19.43,19.1876,18.9768,18.3856,18.3784,0.955335719623963,0.943417377964835,0.933052747512095,0.903984580891319,0.903630570743028,"LC","LC","LC","LC","LC"
"259","Gm21","nat",1551.0772,1249.0212,1223.2004,1203.0184,1195.0992,1192.6756,0.805260498961625,0.788613487452462,0.775601884935192,0.770496271881245,0.768933744883878,"LC","LC","LC","LC","LC"
"260","Gm22","nat",939.1744,395.5192,367.038,354.1212,352.8536,352.086,0.421134988347212,0.390809204339471,0.377055848200292,0.375706152126804,0.374888838537337,"VU","VU","VU","VU","VU"
"261","Gm23","nat",1373.9432,794.8396,774.3048,762.3952,760.7508,759.7868,0.578509795747015,0.563563908609905,0.554895719124342,0.553698871976658,0.552997241807376,"LC","LC","LC","LC","LC"
"262","Gm24","nat",10.0012,9.4036,9.3932,9.338,9.336,9.3328,0.940247170339559,0.939207295124585,0.933687957445106,0.933487981442227,0.933168019837619,"LC","LC","LC","LC","LC"
"263","Gm25","nat",430.6344,130.226,117.5052,107.2648,104.8692,103.7852,0.302405009910959,0.272865335421415,0.249085535201089,0.243522579710306,0.241005363250126,"VU","EN","EN","EN","EN"
"264","Gm26","nat",260.5796,245.3736,244.3972,242.6696,242.4308,242.2212,0.941645470328452,0.937898438711242,0.931268602760922,0.930352184131068,0.929547823390626,"LC","LC","LC","LC","LC"
"265","Gm27","nat",268.0664,262.4448,262.156,261.5852,261.2656,261.144,0.979029076378091,0.97795173136208,0.975822408179466,0.974630166257315,0.974176547303206,"LC","LC","LC","LC","LC"
"266","Gm28","nat",93.8756,91.9744,91.866,91.6264,91.572,91.556,0.97974766606019,0.97859294640993,0.976040632496623,0.975461142192433,0.975290703867672,"LC","LC","LC","LC","LC"
"267","Gm29","nat",523.222,506.6884,505.58,504.4908,502.8124,502.7088,0.96840041129769,0.966281998845614,0.96420028209823,0.960992465913131,0.960794462006567,"LC","LC","LC","LC","LC"
"268","Gm3","nat",15063.9784,6938.542,6282.8076,6078.1844,6031.672,6008.3952,0.46060488243929,0.417074920925272,0.403491311432045,0.400403654322818,0.398858458267572,"VU","VU","VU","VU","VU"
"269","Gm30","nat",3858.6324,2921.2116,2753.9672,2639.05,2628.6144,2611.3308,0.757058796271964,0.713715875085691,0.683934028025059,0.681229546509795,0.67675034294534,"LC","LC","LC","LC","LC"
"270","Gm31","nat",1048.1812,581.3352,554.292,539.4976,538.338,536.1616,0.554613267248067,0.528813147955716,0.514698794445083,0.513592497175107,0.511516138621834,"LC","LC","LC","LC","LC"
"271","Gm4","nat",14254.748,8134.3808,7712.2628,7518.9212,7481.0312,7447.7704,0.570643605905906,0.541031156776675,0.527467844398231,0.524809782677323,0.522476468893031,"LC","LC","LC","LC","LC"
"272","Gm5","nat",3469.5508,2522.0496,2491.4276,2469.1272,2465.3384,2462.3852,0.72690954690734,0.718083620507877,0.711656160215322,0.710564145652515,0.709712969183215,"LC","LC","LC","LC","LC"
"273","Gm6","nat",9891.6532,6028.4972,5633.9672,5509.6956,5480.8668,5464.9784,0.609452947662985,0.569567804904442,0.557004525795546,0.554090068584289,0.55248382545397,"LC","LC","LC","LC","LC"
"274","Gm7","nat",30.0484,28.2304,27.9176,27.7012,27.6636,27.6196,0.939497610521692,0.929087738448636,0.921886023881471,0.920634709335605,0.919170405079805,"LC","LC","LC","LC","LC"
"275","Gm8","nat",14492.9396,6431.328,5912.7288,5621.0652,5561.5276,5504.348,0.443755937546307,0.407973051926608,0.387848521772629,0.383740480088663,0.379795138316867,"VU","VU","VU","VU","VU"
"276","Gm9","nat",1313.2256,552.0528,482.5004,445.0712,440.6508,435.8432,0.420379255475982,0.367416230691817,0.338914501819032,0.335548438897323,0.331887529454193,"VU","VU","VU","VU","VU"
"277","Gs1","nat",539.2132,341.3452,298.9824,283.1792,282.2376,281.4492,0.633043107995131,0.554479007561388,0.525171119698108,0.523424871646317,0.521962741268203,"LC","LC","LC","LC","LC"
