"","T_MAPCODE","A3_fin","A3_prclost","A2b_fin","A2b_prclost50","B1_fin","B2_fin","RoD","D3_fin","D3_prcdeg","prpinv_max","RLE","Criteria_triggered","Criteria_used","X1750","X2022","pnat_2022","ROD9022","prclost50_9022","expert_change"
"21","AT35","LC",39,"LC",9,"LC","LC",0.2,"LC",0,0.0352446882619296,"LC","","A3_nat, A2b, B1i_rod, B1i_inv, B1iii_sp, B2i_rod, B2i_inv, B2iii_sp, D3_step; D3_inv",30.1476,18.3744,0.609481351749393,0.18231622319708,9,"RLE not adjusted"
"22","AT36","LC",37,"LC",18,"CR","EN",0.4,"LC",1,0.295359557054737,"CR","B1i_rod","A3_nat, A3_wc, A2b, B1i_rod, B2i_rod, D3_step; D3_inv",51.4116,29.7644,0.578943273502478,0.351020554236702,18,"RLE not adjusted"
"23","AT37","LC",37,"LC",21,"CR","EN",0.4,"LC",1,0.09982737695897,"CR","B1i_rod","A3_nat, A3_wc, A2b, B1i_rod, B2i_rod, D3_step; D3_inv",176.6464,106.1272,0.600788920691279,0.417072198888243,21,"RLE not adjusted"
"24","AT38","LC",34,"LC",10,"LC","LC",0.2,"LC",0,0.0776350926114649,"LC","","A3_nat, A2b, B1i_rod, B1i_inv, B1iii_sp, B2i_rod, B2i_inv, B2iii_sp, D3_step; D3_inv",1290.854,849.7652,0.658296910417445,0.204659056267714,10,"RLE not adjusted"
"25","AT39","LC",12,"LC",6,"LC","LC",0.1,"LC",0,0.0244478855583822,"LC","","A3_nat, A2b, B1i_rod, B1i_inv, B1iii_sp, B2i_rod, B2i_inv, B2iii_sp, D3_step; D3_inv",245.8596,216.984,0.882552481172181,0.121611595871905,6,"RLE not adjusted"
"26","AT40","LC",18,"LC",12,"EN","VU",0.2,"LC",0,0.155642110717679,"EN","B1iii_sp","A3_nat, A3_wc, A2b, B1iii_sp, B2iii_sp, D3_step; D3_inv",596.3172,463.16,0.776700722367223,0.241904624744931,12,"RLE not adjusted"
"27","AT41","LC",32,"LC",9,"LC","LC",0.2,"LC",1,0.080276871209089,"LC","","A3_nat, A2b, B1i_rod, B1i_inv, B1iii_sp, B2i_rod, B2i_inv, B2iii_sp, D3_step; D3_inv",307.5216,207.8656,0.675938210519196,0.177893479870498,9,"RLE not adjusted"
"28","AT42","LC",14,"LC",8,"LC","LC",0.2,"LC",0,0.0270015310146452,"LC","","A3_nat, A2b, B1i_rod, B1i_inv, B1iii_sp, B2i_rod, B2i_inv, B2iii_sp, D3_step; D3_inv",59.8564,51.7304,0.864241751926277,0.168203982938624,8,"RLE not adjusted"
"29","AT43","LC",6,"LC",3,"LC","LC",0.1,"LC",9,0.00396599714135259,"LC","","A3_nat, A3_wc, A2b, B1i_rod, B1i_inv, B1iii_sp, B2i_rod, B2i_inv, B2iii_sp, D3_lk; D3_inv",286.2032,265.86,0.928920431357861,0.0566806957313039,3,"RLE not adjusted"
"30","AT44","EN",79,"VU",45,"CR","EN",0.9,"LC",3,0.0395603839684326,"CR","B1i_rod","A3_nmb, A2b, B1i_rod, B2i_rod, D3_nmb; D3_inv",163.4576,63.2552,0.386982312232652,0.896810438891544,45,"RLE not adjusted"
"31","AT45","LC",38,"LC",7,"LC","LC",0.1,"LC",0,0.0231120311901851,"LC","","A3_nat, A2b, B1i_rod, B1i_inv, B1iii_sp, B2i_rod, B2i_inv, B2iii_sp, D3_step; D3_inv",697.0252,430.4944,0.617616694489668,0.145223923706108,7,"RLE not adjusted"
"32","AT46","LC",3,"LC",1,"LC","LC",0,"LC",0,0.000300687160730692,"LC","","A3_nat, A3_wc, A2b, B1i_rod, B1i_inv, B1iii_sp, B2i_rod, B2i_inv, B2iii_sp, D3_step; D3_inv",571.8576,552.0688,0.965395580997787,0.0293222835897491,1,"RLE not adjusted"
"33","AT47","LC",3,"LC",1,"LC","LC",0,"LC",2,0.00232329925647202,"LC","","A3_nat, A2b, B1i_rod, B1i_inv, B1iii_sp, B2i_rod, B2i_inv, B2iii_sp, D3_step; D3_inv",910.5756,886.1536,0.973179602001196,0.0283209655379098,1,"RLE not adjusted"
"34","AT48","VU",63,"LC",8,"CR","EN",0.2,"LC",4,0.450561105788969,"CR","B1i_inv","A3_nmb, A2b, B1i_inv, B2i_inv, D3_nmb; D3_inv",20.3768,11.6912,0.57375053982961,0.15564044213264,8,"RLE not adjusted"
"35","AT49","LC",2,"LC",1,"LC","LC",0,"VU",71,0.00224488898907367,"VU","D3_step; D3_inv","A3_nat, A2b, B1i_rod, B1i_inv, B1iii_sp, B2i_rod, B2i_inv, B2iii_sp, D3_step; D3_inv",5647.1168,5524.0148,0.978200911303977,0.0211698181898472,1,"RLE not adjusted"
"36","AT50","LC",11,"LC",3,"LC","LC",0.1,"LC",5,0.0511327744865382,"LC","","A3_nat, A2b, B1i_rod, B1i_inv, B1iii_sp, B2i_rod, B2i_inv, B2iii_sp, D3_step; D3_inv",577.5424,515.4424,0.892475426912379,0.0663333085210459,3,"RLE not adjusted"
"37","AT51","LC",14,"LC",8,"LC","LC",0.2,"LC",20,0.069590727660086,"LC","","A3_nat, A2b, B1i_rod, B1i_inv, B1iii_sp, B2i_rod, B2i_inv, B2iii_sp, D3_step; D3_inv",1963.4028,1693.7084,0.862639291336449,0.167913228732071,8,"RLE not adjusted"
"38","AT52","LC",31,"LC",8,"LC","LC",0.2,"LC",0,0.0606449394211946,"LC","","A3_nat, A2b, B1i_rod, B1i_inv, B1iii_sp, B2i_rod, B2i_inv, B2iii_sp, D3_step; D3_inv",43.5968,30.2416,0.693665590135056,0.154527138312987,8,"RLE not adjusted"
"39","AT53","LC",39,"LC",24,"CR","EN",0.5,"LC",0,0.166215497655532,"CR","B1i_rod","A3_nat, A2b, B1i_rod, B2i_rod, D3_step; D3_inv",27.1028,16.5496,0.610623256637691,0.471786439843221,24,"RLE not adjusted"
"40","AT54","LC",2,"LC",1,"LC","LC",0,"LC",0,0.0866288226233537,"LC","","A3_nat, A2b, B1i_rod, B1i_inv, B1iii_sp, B2i_rod, B2i_inv, B2iii_sp, D3_step; D3_inv",187.7204,184.8992,0.984971265776122,0.0121417150270118,1,"RLE not adjusted"
"41","AT55","LC",3,"LC",2,"LC","LC",0,"LC",13,0.000826863517357661,"LC","","A3_nat, A3_wc, A2b, B1i_rod, B1i_inv, B1iii_sp, B2i_rod, B2i_inv, B2iii_sp, D3_lk; D3_inv",760.3872,741.5976,0.975289431489641,0.0330905426088514,2,"RLE not adjusted"
