"","T_MAPCODE","A3_fin","A3_prclost","A2b_fin","A2b_prclost50","B1_fin","B2_fin","RoD","D3_fin","D3_prcdeg","prpinv_max","RLE","Criteria_triggered","Criteria_used","X1750","X2022","pnat_2022","ROD9022","prclost50_9022","expert_change"
"91","FFb4","LC",12,"LC",4,"LC","LC",0.1,"LC",0,0.111882316378328,"LC","","A3_nat, A3_wc, A2b, B1i_rod, B1i_inv, B1iii_sp, B2i_rod, B2i_inv, B2iii_sp, D3_inv",61.9624,54.0568,0.872412947206693,0.0784727281908483,4,"RLE not adjusted"
"92","FFb5","LC",12,"LC",3,"LC","LC",0.1,"LC",0,0.0216810539146115,"LC","","A3_nat, A2b, B1i_rod, B1i_inv, B1iii_sp, B2i_rod, B2i_inv, B2iii_sp, D3_step; D3_inv",108.3896,95.8256,0.884084819945825,0.0502734299596273,3,"RLE not adjusted"
"93","FFb6","VU",62,"LC",24,"EN","EN",0.5,"LC",0,0.21983053163865,"EN","B1i_rod, B2i_rod","A3_nat, A2b, B1i_rod, B2i_rod, D3_step; D3_inv",78.0444,29.268,0.375017297845842,0.476676511466296,24,"RLE not adjusted"
"94","FFc1","VU",50,"LC",28,"EN","VU",0.6,"LC",0,0.224280701609923,"EN","B1i_rod, B1iii_sp","A3_nat, A3_wc, A2b, B1i_rod, B1iii_sp, B2i_rod, B2iii_sp, D3_inv",869.1648,388.6148,0.447112906551209,0.554280520197491,28,"RLE not adjusted"
"95","FFd1","LC",15,"LC",3,"LC","LC",0.1,"LC",0,0.00193625013011948,"LC","","A3_nat, A2b, B1i_rod, B1i_inv, B1iii_sp, B2i_rod, B2i_inv, B2iii_sp, D3_inv",1300.9768,1106.6752,0.850649450474444,0.0566995373009011,3,"RLE not adjusted"
"96","FFd10","EN",70,"VU",33,"CR","EN",0.7,"LC",0,0.230937667920473,"CR","B1i_rod","A3_nat, A3_wc, A2b, B1i_rod, B2i_rod, D3_step; D3_inv",151.6788,29.776,0.196309569959678,0.668766102124425,33,"RLE not adjusted"
"97","FFd11","LC",22,"LC",12,"CR","EN",0.2,"LC",0,0.580371483601805,"CR","B1i_inv","A3_nat, A2b, B1i_inv, B2i_inv, D3_step; D3_inv",76.61,60.0188,0.783432972196841,0.241095755607629,12,"RLE not adjusted"
"98","FFd2","VU",57,"VU",41,"EN","VU",0.8,"LC",0,0.0247607653606103,"EN","B1i_rod","A3_nat, A3_wc, A2b, B1i_rod, B2i_rod, D3_inv",2055.6608,756.9556,0.368229816903645,0.823356730995643,41,"RLE not adjusted"
"99","FFd3","LC",30,"LC",15,"EN","VU",0.3,"LC",0,0.0747608322648649,"EN","B1iii_sp","A3_nat, A3_wc, A2b, B1iii_sp, B2iii_sp, D3_inv",1009.5924,638.2968,0.632232176074226,0.299207063386196,15,"RLE not adjusted"
"100","FFd4","VU",52,"LC",18,"EN","VU",0.4,"LC",0,0.364765267014061,"EN","B1i_rod, B1i_inv, B1iii_sp","A3_nat, A2b, B1i_rod, B1i_inv, B1iii_sp, B2i_rod, B2i_inv, B2iii_sp, D3_inv",689.0436,330.844,0.480149587050805,0.352681209784937,18,"RLE not adjusted"
"101","FFd5","CR",70,"EN",76,"CR","EN",1.5,"LC",44,0.345090360767898,"CR","A3_nat, A3_wc, B1i_rod, B1i_inv, B1iii_sp","A3_nat, A3_wc, A2b, B1i_rod, B1i_inv, B1iii_sp, B2i_rod, B2i_inv, B2iii_sp, D3_coct; D3_inv",556.9336,88.866,0.15956300715202,1.51273843749419,76,"RLE not adjusted"
"102","FFd6","LC",36,"LC",23,"CR","EN",0.5,"LC",0,0.189263042429712,"CR","B1i_rod, B1iii_sp","A3_nat, A3_wc, A2b, B1i_rod, B1iii_sp, B2i_rod, B2iii_sp, D3_inv",88.5808,51.4168,0.580450842620523,0.456630009499199,23,"RLE not adjusted"
"103","FFd7","VU",52,"LC",16,"CR","EN",0.3,"LC",0,0.164401196502839,"CR","B1iii_sp","A3_nat, A2b, B1iii_sp, B2iii_sp, D3_inv",247.4448,119.5484,0.483131591369065,0.316551924777031,16,"RLE not adjusted"
"104","FFd8","VU",51,"LC",12,"CR","EN",0.2,"LC",0,0.0510741791649777,"CR","B1iii_sp","A3_nat, A3_wc, A2b, B1iii_sp, B2iii_sp, D3_inv",97.686,43.4192,0.444477202465041,0.236683965838748,12,"RLE not adjusted"
"105","FFd9","LC",41,"LC",17,"EN","VU",0.3,"LC",0,0.0988637981216249,"EN","B1iii_sp","A3_nat, A3_wc, A2b, B1iii_sp, B2iii_sp, D3_inv",517.29,264.1432,0.510628854221037,0.3326280073611,17,"RLE not adjusted"
"106","FFf1","VU",57,"LC",26,"EN","VU",0.5,"LC",0,0.258979594633485,"EN","B1i_rod, B1iii_sp","A3_nat, A3_wc, A2b, B1i_rod, B1iii_sp, B2i_rod, B2iii_sp, D3_inv",694.0016,233.5072,0.336464930340218,0.526117749798417,26,"RLE not adjusted"
"107","FFf2","VU",52,"LC",13,"CR","EN",0.3,"LC",0,0.214554087530966,"CR","B1iii_sp","A3_nat, A2b, B1iii_sp, B2iii_sp, D3_inv",40.588,19.376,0.47738247757958,0.257940641690973,13,"RLE not adjusted"
"108","FFg1","LC",1,"LC",0,"LC","LC",0,"LC",0,0.00032488628979857,"LC","","A3_nat, A2b, B1i_rod, B1i_inv, B1iii_sp, B2i_rod, B2i_inv, B2iii_sp, D3_inv",64.8176,64.0224,0.987731727185209,0.00683807439824943,0,"RLE not adjusted"
"109","FFg2","LC",36,"LC",21,"EN","VU",0.4,"LC",0,0.187548467774474,"EN","B1i_rod, B1iii_sp","A3_nat, A3_wc, A2b, B1i_rod, B1iii_sp, B2i_rod, B2iii_sp, D3_inv",523.9892,279.5672,0.533536187387068,0.422116895813481,21,"RLE not adjusted"
"110","FFg3","VU",59,"LC",27,"CR","EN",0.5,"LC",13,0.165513308472057,"CR","B1i_rod, B1iii_sp","A3_nat, A3_coct, A2b, B1i_rod, B1iii_sp, B2i_rod, B2iii_sp, D3_coct; D3_inv",91.7956,31.2132,0.340029369599414,0.533023756377551,27,"RLE not adjusted"
"111","FFg4","LC",14,"LC",6,"LC","LC",0.1,"LC",0,0.142984491736473,"LC","","A3_nat, A3_wc, A2b, B1i_rod, B1i_inv, B1iii_sp, B2i_rod, B2i_inv, B2iii_sp, D3_inv",16.934,14.1344,0.834675800165348,0.126520623455617,6,"RLE not adjusted"
"112","FFg5","VU",56,"VU",38,"CR","EN",0.8,"LC",0,0.351528045115321,"CR","B1i_rod, B1i_inv","A3_nat, A3_wc, A2b, B1i_rod, B1i_inv, B2i_rod, B2i_inv, D3_step; D3_inv",498.2224,177.678,0.356623869179708,0.764691254112786,38,"RLE not adjusted"
"113","FFh1","VU",54,"LC",21,"CR","EN",0.4,"LC",0,0.0208838448367099,"CR","B1i_rod","A3_nat, A2b, B1i_rod, B2i_rod, D3_inv",427.9772,198.7996,0.464509791643106,0.417991306181709,21,"RLE not adjusted"
"114","FFh10","LC",2,"LC",1,"LC","LC",0,"LC",0,0.0352381952909245,"LC","","A3_nat, A2b, B1i_rod, B1i_inv, B1iii_sp, B2i_rod, B2i_inv, B2iii_sp, D3_step; D3_inv",283.2676,277.9484,0.981221996444351,0.0116269108458335,1,"RLE not adjusted"
"115","FFh11","VU",58,"LC",19,"CR","CR",0.4,"LC",0,0.158008496683312,"CR","B1i_rod, B2i_rod","A3_nat, A2b, B1i_rod, B2i_rod, D3_coct; D3_inv",12.6292,5.3668,0.42495169923669,0.388713045748222,19,"RLE not adjusted"
"116","FFh2","LC",3,"LC",1,"LC","LC",0,"LC",0,NA,"LC","","A3_nat, A3_wc, A2b, B1i_rod, B1i_inv, B1iii_sp, B2i_rod, B2i_inv, B2iii_sp, ",106.534,101.2808,0.950689920588732,0.0236032556079472,1,"RLE not adjusted"
"117","FFh3","LC",9,"LC",5,"LC","LC",0.1,"LC",0,0.0210472762902527,"LC","","A3_nat, A3_wc, A2b, B1i_rod, B1i_inv, B1iii_sp, B2i_rod, B2i_inv, B2iii_sp, D3_step; D3_inv",75.1268,63.6852,0.847702817103883,0.0948555698337969,5,"RLE not adjusted"
"118","FFh4","LC",31,"LC",18,"EN","VU",0.4,"LC",0,0.123238073909055,"EN","B1i_rod, B1iii_sp","A3_nat, A3_wc, A2b, B1i_rod, B1iii_sp, B2i_rod, B2iii_sp, D3_inv",316.876,203.6124,0.642561759173936,0.367327745369126,18,"RLE not adjusted"
"119","FFh5","VU",57,"LC",22,"EN","EN",0.4,"LC",0,0.241944764096663,"CR","B1i_rod, B2i_rod, B1iii_sp, B2iii_sp","A3_nat, A2b, B1i_rod, B1iii_sp, B2i_rod, B2iii_sp, D3_inv",84.0044,35.8028,0.426201484684136,0.440030573260636,22,"RLE adjusted"
"120","FFh6","EN",76,"EN",50,"CR","EN",1,"LC",0,0.270352267985933,"CR","B1i_rod, B1iii_sp","A3_nat, A2b, B1i_rod, B1iii_sp, B2i_rod, B2iii_sp, D3_inv",279.4916,67.108,0.240107394998633,0.995074141783465,50,"RLE not adjusted"
"121","FFh7","LC",40,"LC",16,"CR","EN",0.3,"LC",0,0.126691232048375,"CR","B1iii_sp","A3_nat, A3_wc, A2b, B1iii_sp, B2iii_sp, D3_inv",266.618,148.176,0.555761426460329,0.326262499274704,16,"RLE not adjusted"
"122","FFh8","LC",15,"LC",7,"LC","LC",0.1,"LC",0,0.0208884876546629,"LC","","A3_nat, A3_wc, A2b, B1i_rod, B1i_inv, B1iii_sp, B2i_rod, B2i_inv, B2iii_sp, D3_inv",186.7676,144.4432,0.773384676999651,0.132072137660692,7,"RLE not adjusted"
"123","FFh9","VU",57,"LC",28,"EN","VU",0.6,"LC",0,0.40052542019668,"EN","B1i_rod, B1i_inv","A3_nat, A2b, B1i_rod, B1i_inv, B2i_rod, B2i_inv, D3_step; D3_inv",563.6392,243.7668,0.432487307483227,0.557395606662407,28,"RLE not adjusted"
"124","FFl1","LC",9,"LC",4,"CR","EN",0.1,"LC",0,0.336300224818258,"CR","B1i_inv, B1iii_sp","A3_nat, A3_wc, A2b, B1i_inv, B1iii_sp, B2i_inv, B2iii_sp, D3_inv",286.9588,257.4524,0.897175483031014,0.0871797321258657,4,"RLE not adjusted"
"125","FFl2","LC",4,"LC",2,"LC","LC",0,"LC",0,0.182478993679664,"LC","","A3_nat, A3_wc, A2b, B1i_rod, B1i_inv, B1iii_sp, B2i_rod, B2i_inv, B2iii_sp, D3_inv",694.2568,661.6104,0.952976477868132,0.0327134100377858,2,"RLE not adjusted"
"126","FFl3","LC",20,"LC",7,"LC","LC",0.1,"LC",0,0.136855032196572,"LC","","A3_nat, A3_wc, A2b, B1i_rod, B1i_inv, B1iii_sp, B2i_rod, B2i_inv, B2iii_sp, D3_inv",791.6736,622.3644,0.78613762035263,0.139972419530103,7,"RLE not adjusted"
"127","FFq1","LC",0,"LC",0,"LC","LC",0,"LC",0,NA,"LC","","A3_nat, A2b, B1i_rod, B1i_inv, B1iii_sp, B2i_rod, B2i_inv, B2iii_sp, ",49.024,49.024,1,0,0,"RLE not adjusted"
"128","FFq2","LC",1,"LC",1,"LC","LC",0,"LC",0,0.00043625291391721,"LC","","A3_nat, A3_wc, A2b, B1i_rod, B1i_inv, B1iii_sp, B2i_rod, B2i_inv, B2iii_sp, D3_inv",1646.1872,1617.4104,0.982519120547165,0.0129545227292766,1,"RLE not adjusted"
"129","FFq3","LC",1,"LC",0,"LC","LC",0,"LC",0,0.000216673974479198,"LC","","A3_nat, A3_wc, A2b, B1i_rod, B1i_inv, B1iii_sp, B2i_rod, B2i_inv, B2iii_sp, D3_inv",1268.0852,1249.804,0.985583618513961,0.006395887723664,0,"RLE not adjusted"
"130","FFq4","LC",6,"LC",2,"LC","LC",0,"LC",0,0.00467910925002847,"LC","","A3_nat, A3_wc, A2b, B1i_rod, B1i_inv, B1iii_sp, B2i_rod, B2i_inv, B2iii_sp, D3_inv",97.856,91.3208,0.933216154349248,0.0491485233886612,2,"RLE not adjusted"
"131","FFq5","LC",0,"LC",0,"LC","LC",0,"LC",1,0.000442165658896363,"LC","","A3_nat, A2b, B1i_rod, B1i_inv, B1iii_sp, B2i_rod, B2i_inv, B2iii_sp, D3_step; D3_inv",388.8108,388.316,0.998727401605099,0.00147361950809679,0,"RLE not adjusted"
"132","FFq6","LC",2,"LC",1,"LC","LC",0,"LC",0,0.047876226117079,"LC","","A3_nat, A2b, B1i_rod, B1i_inv, B1iii_sp, B2i_rod, B2i_inv, B2iii_sp, D3_step; D3_inv",683.2776,668.574,0.978480781456907,0.0215329387676529,1,"RLE not adjusted"
"133","FFs1","LC",21,"LC",9,"LC","LC",0.2,"LC",0,0.0168745315544896,"LC","","A3_nat, A2b, B1i_rod, B1i_inv, B1iii_sp, B2i_rod, B2i_inv, B2iii_sp, D3_inv",1014.1516,800.52,0.789349442430501,0.172933314357975,9,"RLE not adjusted"
"134","FFs10","LC",3,"LC",1,"LC","LC",0,"LC",0,0.0622141983276723,"LC","","A3_nat, A3_wc, A2b, B1i_rod, B1i_inv, B1iii_sp, B2i_rod, B2i_inv, B2iii_sp, D3_inv",1050.6224,1008.654,0.960053773839202,0.0221867265223065,1,"RLE not adjusted"
"135","FFs11","LC",9,"LC",3,"CR","VU",0.1,"LC",0,0.0468411027038468,"CR","B1iii_sp","A3_nat, A3_wc, A2b, B1iii_sp, B2iii_sp, D3_inv",914.2348,763.5196,0.835146069696756,0.0662640995492144,3,"RLE not adjusted"
"136","FFs12","LC",7,"LC",4,"EN","VU",0.1,"LC",0,0.123548573910526,"EN","B1iii_sp","A3_nat, A3_wc, A2b, B1iii_sp, B2iii_sp, D3_inv",1179.408,1049.864,0.89016184390813,0.071760992991228,4,"RLE not adjusted"
"137","FFs13","LC",2,"LC",1,"LC","LC",0,"LC",0,0.0246922492109446,"LC","","A3_nat, A3_wc, A2b, B1i_rod, B1i_inv, B1iii_sp, B2i_rod, B2i_inv, B2iii_sp, D3_inv",531.504,520.876,0.980003913423041,0.0186093835759178,1,"RLE not adjusted"
"138","FFs14","LC",6,"LC",3,"CR","EN",0.1,"LC",0,0.138762168828346,"CR","B1iii_sp","A3_nat, A3_wc, A2b, B1iii_sp, B2iii_sp, D3_inv",358.8828,333.1052,0.928172651350246,0.0512970952955195,3,"RLE not adjusted"
"139","FFs15","LC",7,"LC",3,"LC","LC",0.1,"LC",0,0.0218404054562177,"LC","","A3_nat, A3_wc, A2b, B1i_rod, B1i_inv, B1iii_sp, B2i_rod, B2i_inv, B2iii_sp, D3_inv",993.5776,906.3568,0.912215412263723,0.0685679677130433,3,"RLE not adjusted"
"140","FFs16","LC",2,"LC",1,"LC","LC",0,"LC",0,0.0987277041400753,"LC","","A3_nat, A3_wc, A2b, B1i_rod, B1i_inv, B1iii_sp, B2i_rod, B2i_inv, B2iii_sp, D3_inv",1215.3228,1173.312,0.965432393764027,0.0211030033966281,1,"RLE not adjusted"
"141","FFs17","LC",5,"LC",2,"CR","EN",0,"LC",0,0.0765454255404004,"CR","B1iii_sp","A3_nat, A3_wc, A2b, B1iii_sp, B2iii_sp, D3_inv",107.4468,100.296,0.933447994728554,0.039209257815269,2,"RLE not adjusted"
"142","FFs18","LC",13,"LC",4,"LC","LC",0.1,"LC",0,0.0647758264050894,"LC","","A3_nat, A3_wc, A2b, B1i_rod, B1i_inv, B1iii_sp, B2i_rod, B2i_inv, B2iii_sp, D3_step; D3_inv",878.8052,732.3164,0.833309133810314,0.088077489213796,4,"RLE not adjusted"
"143","FFs19","LC",23,"LC",8,"LC","LC",0.2,"LC",0,0.180514896209862,"LC","","A3_nat, A3_wc, A2b, B1i_rod, B1i_inv, B1iii_sp, B2i_rod, B2i_inv, B2iii_sp, D3_step; D3_inv",1571.0644,1047.7296,0.666891567271208,0.153444445251182,8,"RLE not adjusted"
"144","FFs2","LC",27,"LC",14,"LC","LC",0.3,"LC",0,0.0162503279027659,"LC","","A3_nat, A3_wc, A2b, B1i_rod, B1i_inv, B1iii_sp, B2i_rod, B2i_inv, B2iii_sp, D3_inv",1343.1468,937.778,0.698194717062945,0.282204265673539,14,"RLE not adjusted"
"145","FFs20","LC",32,"LC",9,"LC","LC",0.2,"LC",0,0.193448144416358,"LC","","A3_nat, A2b, B1i_rod, B1i_inv, B1iii_sp, B2i_rod, B2i_inv, B2iii_sp, D3_step; D3_inv",2298.4988,1567.7116,0.682058916019447,0.170417304833211,9,"RLE not adjusted"
"146","FFs21","LC",0,"LC",0,"LC","LC",0,"LC",3,0.00219470077235859,"LC","","A3_nat, A3_wc, A2b, B1i_rod, B1i_inv, B1iii_sp, B2i_rod, B2i_inv, B2iii_sp, D3_lk; D3_inv",318.3396,318.0388,0.99905509713526,0.0020502904028184,0,"RLE not adjusted"
"147","FFs22","LC",0,"LC",0,"LC","LC",0,"LC",1,0.00289534813719975,"LC","","A3_nat, A3_wc, A2b, B1i_rod, B1i_inv, B1iii_sp, B2i_rod, B2i_inv, B2iii_sp, D3_lk; D3_inv",388.3256,385.3768,0.992406372384411,0.00369654555388162,0,"RLE not adjusted"
"148","FFs23","LC",1,"LC",0,"LC","LC",0,"LC",0,0.000523337446283453,"LC","","A3_nat, A3_wc, A2b, B1i_rod, B1i_inv, B1iii_sp, B2i_rod, B2i_inv, B2iii_sp, D3_inv",852.1924,846.108,0.992860297744969,0.00646479026067929,0,"RLE not adjusted"
"149","FFs24","LC",0,"LC",0,"LC","LC",0,"LC",0,0.00361947233984676,"LC","","A3_nat, A3_wc, A2b, B1i_rod, B1i_inv, B1iii_sp, B2i_rod, B2i_inv, B2iii_sp, D3_inv",1084.7884,1082.2572,0.997666641715564,0.00371235364236108,0,"RLE not adjusted"
"150","FFs25","LC",0,"LC",0,"LC","LC",0,"LC",0,0.00253365616496809,"LC","","A3_nat, A3_wc, A2b, B1i_rod, B1i_inv, B1iii_sp, B2i_rod, B2i_inv, B2iii_sp, D3_lk; D3_inv",332.5684,330.9052,0.994998923529716,0.00362598161849961,0,"RLE not adjusted"
"151","FFs26","LC",5,"LC",2,"LC","LC",0,"LC",0,0.0191999554137465,"LC","","A3_nat, A3_wc, A2b, B1i_rod, B1i_inv, B1iii_sp, B2i_rod, B2i_inv, B2iii_sp, D3_lk; D3_inv",304.1844,287.084,0.943782784389995,0.0322713144943666,2,"RLE not adjusted"
"152","FFs27","LC",10,"LC",3,"LC","LC",0.1,"LC",0,0.0101490944517183,"LC","","A3_nat, A2b, B1i_rod, B1i_inv, B1iii_sp, B2i_rod, B2i_inv, B2iii_sp, D3_step; D3_inv",2402.9412,2155.9756,0.897223619121433,0.0587123922110903,3,"RLE not adjusted"
"153","FFs28","LC",9,"LC",2,"LC","LC",0,"LC",0,0.0175794769955046,"LC","","A3_nat, A2b, B1i_rod, B1i_inv, B1iii_sp, B2i_rod, B2i_inv, B2iii_sp, D3_step; D3_inv",4052.18,3696.5036,0.912225912965367,0.0462381029393454,2,"RLE not adjusted"
"154","FFs29","VU",65,"VU",31,"CR","EN",0.6,"LC",31,0.140651816660237,"CR","B1i_rod, B1iii_sp","A3_nat, A3_nmb, A2b, B1i_rod, B1iii_sp, B2i_rod, B2iii_sp, D3_nmb; D3_inv",334.1964,131.6812,0.394023394626633,0.617090864102427,31,"RLE not adjusted"
"155","FFs3","LC",3,"LC",2,"LC","LC",0,"LC",0,0.0208802606538334,"LC","","A3_nat, A3_wc, A2b, B1i_rod, B1i_inv, B1iii_sp, B2i_rod, B2i_inv, B2iii_sp, D3_inv",498.2384,469.3428,0.94200447014923,0.0319987372374094,2,"RLE not adjusted"
"156","FFs30","LC",0,"LC",0,"LC","LC",0,"LC",0,2.93486729063724e-05,"LC","","A3_nat, A3_wc, A2b, B1i_rod, B1i_inv, B1iii_sp, B2i_rod, B2i_inv, B2iii_sp, D3_inv",37.5252,37.4804,0.998806135610203,0.00373082621811435,0,"RLE not adjusted"
"157","FFs31","LC",0,"LC",0,"LC","LC",0,"LC",0,0.000124040165386887,"LC","","A3_nat, A3_wc, A2b, B1i_rod, B1i_inv, B1iii_sp, B2i_rod, B2i_inv, B2iii_sp, D3_step; D3_inv",50.8348,50.79,0.99911871395186,0.00275401890043842,0,"RLE not adjusted"
"158","FFs32","LC",35,"LC",22,"CR","EN",0.4,"LC",0,0.00547990363317385,"CR","B1i_rod","A3_nat, A2b, B1i_rod, B2i_rod, D3_inv",547.9488,354.3128,0.646616618194985,0.442874594372522,22,"RLE not adjusted"
"159","FFs4","LC",10,"LC",4,"LC","LC",0.1,"LC",0,0.00743958550292132,"LC","","A3_nat, A3_wc, A2b, B1i_rod, B1i_inv, B1iii_sp, B2i_rod, B2i_inv, B2iii_sp, D3_inv",2523.64,2232.7588,0.884737442741437,0.0705839223252144,4,"RLE not adjusted"
"160","FFs5","LC",5,"LC",2,"LC","LC",0,"LC",0,0.00958605884206536,"LC","","A3_nat, A3_wc, A2b, B1i_rod, B1i_inv, B1iii_sp, B2i_rod, B2i_inv, B2iii_sp, D3_inv",1135.986,1051.0576,0.925238163146377,0.043603909371978,2,"RLE not adjusted"
"161","FFs6","LC",10,"LC",5,"CR","EN",0.1,"LC",0,0.0280038628994405,"CR","B1iii_sp","A3_nat, A3_wc, A2b, B1iii_sp, B2iii_sp, D3_inv",422.8764,370.706,0.876629672405459,0.102175837159518,5,"RLE not adjusted"
"162","FFs7","LC",5,"LC",2,"LC","LC",0,"LC",0,0.00735577073364759,"LC","","A3_nat, A3_wc, A2b, B1i_rod, B1i_inv, B1iii_sp, B2i_rod, B2i_inv, B2iii_sp, D3_inv",394.0712,371.0828,0.94166434898059,0.0393347013888813,2,"RLE not adjusted"
"163","FFs8","LC",1,"LC",1,"LC","LC",0,"LC",0,0.0134223915351423,"LC","","A3_nat, A3_wc, A2b, B1i_rod, B1i_inv, B1iii_sp, B2i_rod, B2i_inv, B2iii_sp, D3_inv",319.7464,315.7336,0.987450054167928,0.0123860374144293,1,"RLE not adjusted"
"164","FFs9","LC",6,"LC",2,"CR","EN",0,"LC",1,0.0405488104842677,"CR","B1iii_sp","A3_nat, A3_coct, A2b, B1iii_sp, B2iii_sp, D3_coct; D3_inv",219.4464,203.276,0.926312757921752,0.0497662727966318,2,"RLE not adjusted"
"165","FFt1","LC",2,"LC",1,"LC","LC",0,"LC",0,0.00801962694849366,"LC","","A3_nat, A3_wc, A2b, B1i_rod, B1i_inv, B1iii_sp, B2i_rod, B2i_inv, B2iii_sp, D3_step; D3_inv",404.9544,395.7416,0.97724978417323,0.0155855097941994,1,"RLE not adjusted"
"166","FFt2","LC",14,"LC",2,"LC","LC",0,"LC",0,0.0213536537813349,"LC","","A3_nat, A2b, B1i_rod, B1i_inv, B1iii_sp, B2i_rod, B2i_inv, B2iii_sp, D3_step; D3_inv",211.1624,181.5708,0.859863308998193,0.0471982889552343,2,"RLE not adjusted"
"167","FOa1","LC",24,"LC",17,"LC","LC",0.3,"LC",0,0.00468306839918211,"VU","B2i_rod","A3_nat, A2b, B1i_rod, B1i_inv, B1iii_sp, B2i_rod, B2i_inv, B2iii_sp, D3_inv",176.5124,133.4168,0.755849447404262,0.348940452822752,17,"RLE adjusted"
"168","FOz1","LC",20,"LC",2,"LC","LC",0,"LC",0,0.0323711033640614,"LC","","A3_nat, A2b, B1i_rod, B1i_inv, B1iii_sp, B2i_rod, B2i_inv, B2iii_sp, D3_step; D3_inv",788.0828,632.212,0.802215198707547,0.0346840081363024,2,"RLE not adjusted"
"169","FOz2","LC",15,"LC",3,"LC","LC",0.1,"LC",0,0.0280362765649531,"LC","","A3_nat, A2b, B1i_rod, B1i_inv, B1iii_sp, B2i_rod, B2i_inv, B2iii_sp, D3_inv",214.0732,182.4208,0.852142164455896,0.0516214805741493,3,"RLE not adjusted"
"170","FOz3","LC",17,"LC",2,"LC","LC",0,"LC",0,0.0385190860825428,"LC","","A3_nat, A2b, B1i_rod, B1i_inv, B1iii_sp, B2i_rod, B2i_inv, B2iii_sp, D3_inv",1062.2748,884.3512,0.832506993482289,0.0305417904518256,2,"RLE not adjusted"
"171","FOz4","LC",26,"LC",1,"LC","LC",0,"LC",0,0.0432909303368795,"LC","","A3_nat, A2b, B1i_rod, B1i_inv, B1iii_sp, B2i_rod, B2i_inv, B2iii_sp, D3_inv",389.3584,288.9104,0.7420166098895,0.0287855062682533,1,"RLE not adjusted"
"172","FOz5","LC",8,"LC",1,"LC","LC",0,"LC",0,0.0138661895795585,"LC","","A3_nat, A2b, B1i_rod, B1i_inv, B1iii_sp, B2i_rod, B2i_inv, B2iii_sp, D3_inv",1029.478,946.1864,0.919093365764009,0.0260574312597362,1,"RLE not adjusted"
"173","FOz6","LC",19,"LC",3,"LC","LC",0.1,"LC",0,0.0146141756907893,"LC","","A3_nat, A2b, B1i_rod, B1i_inv, B1iii_sp, B2i_rod, B2i_inv, B2iii_sp, D3_inv",185.2344,150.9288,0.814798979023335,0.0534738376257844,3,"RLE not adjusted"
"174","FOz7","LC",25,"LC",13,"LC","LC",0.3,"LC",0,0.00360812850374911,"LC","","A3_nat, A3_kzn, A2b, B1i_rod, B1i_inv, B1iii_sp, B2i_rod, B2i_inv, B2iii_sp, D3_inv",680.3208,514.9484,0.756919970696177,0.252909813711954,13,"RLE not adjusted"
"175","FOz8","LC",9,"LC",4,"LC","LC",0.1,"LC",0,0.000548629000692746,"LC","","A3_nat, A3_kzn, A2b, B1i_rod, B1i_inv, B1iii_sp, B2i_rod, B2i_inv, B2iii_sp, D3_inv",265.4308,244.2452,0.920184093179842,0.0886567495488843,4,"RLE not adjusted"
"176","FOz9","LC",0,"LC",0,"LC","LC",0,"LC",0,NA,"LC","","A3_nat, A2b, B1i_rod, B1i_inv, B1iii_sp, B2i_rod, B2i_inv, B2iii_sp, ",81.6428,81.2604,0.995316182198553,0.000446033074121522,0,"RLE not adjusted"
"177","FRa1","VU",57,"VU",41,"EN","VU",0.8,"LC",0,0.102381329168358,"EN","B1i_rod","A3_nat, A3_wc, A2b, B1i_rod, B2i_rod, D3_inv",497.676,174.4068,0.350442456537989,0.82312947580216,41,"RLE not adjusted"
"178","FRa2","LC",35,"LC",17,"CR","EN",0.3,"LC",0,0.150000547447253,"CR","B1iii_sp","A3_nat, A3_wc, A2b, B1iii_sp, B2iii_sp, D3_inv",63.072,36.5332,0.579230086250634,0.331463492218851,17,"RLE not adjusted"
"179","FRc1","EN",80,"EN",60,"EN","CR",1.2,"LC",0,0.102890173410405,"CR","B2i_rod, B2iii_sp","A3_nat, A3_wc, A2b, B1i_rod, B1iii_sp, B2i_rod, B2iii_sp, D3_inv",101.0616,12.802,0.126675215907921,1.19117248980065,60,"RLE not adjusted"
"180","FRc2","EN",81,"EN",51,"EN","EN",1,"LC",0,0.0938197515266372,"EN","A3_nat, A3_wc, A2b, B1i_rod, B1iii_sp, B2i_rod, B2iii_sp","A3_nat, A3_wc, A2b, B1i_rod, B1iii_sp, B2i_rod, B2iii_sp, D3_inv",209.756,28.494,0.13584355155514,1.0275827954963,51,"RLE not adjusted"
"181","FRd1","LC",10,"LC",4,"LC","LC",0.1,"LC",0,0.0027479547510211,"LC","","A3_nat, A2b, B1i_rod, B1i_inv, B1iii_sp, B2i_rod, B2i_inv, B2iii_sp, D3_inv",219.4944,197.2376,0.898599690926055,0.080061069954294,4,"RLE not adjusted"
"182","FRd2","LC",2,"LC",0,"LC","LC",0,"LC",0,0.00072949111096331,"LC","","A3_nat, A2b, B1i_rod, B1i_inv, B1iii_sp, B2i_rod, B2i_inv, B2iii_sp, D3_inv",578.926,565.3256,0.976507532914397,0.00702876809036365,0,"RLE not adjusted"
