"","T_MAPCODE","D3_fin","D3_source","D3_prcdeg","prpinv_max","D3_inv"
"421","SVkd2","LC","D3_inv",0,0,"LC"
"422","SVkd3","LC","D3_inv",0,0,"LC"
"423","SVkd4","LC","",0,NA,NA
"424","SVl1","LC","D3_inv",0,0.0152002875271425,"LC"
"425","SVl10","LC","D3_inv",0,0.00687000118986392,"LC"
"426","SVl11","LC","D3_inv",0,0.000503530749570222,"LC"
"427","SVl12","LC","D3_inv",0,0.0396117546397036,"LC"
"428","SVl13","LC","D3_inv",0,0.0366761798038122,"LC"
"429","SVl14","LC","D3_inv",0,0.00604895976204556,"LC"
"430","SVl15","LC","",0,NA,NA
"431","SVl16","LC","D3_inv",0,0.0299179503794475,"LC"
"432","SVl17","LC","D3_inv",0,0.10966792021082,"LC"
"433","SVl18","LC","D3_inv",0,0.00237822960389506,"LC"
"434","SVl19","LC","D3_inv",0,0.00267406160245618,"LC"
"435","SVl2","LC","",0,NA,NA
"436","SVl20","LC","D3_inv",0,0.0330977664310998,"LC"
"437","SVl21","LC","D3_inv",0,0.0259477203031752,"LC"
"438","SVl22","LC","D3_inv",0,0.0395621778982301,"LC"
"439","SVl23","LC","D3_inv",0,0.030202126101213,"LC"
"440","SVl24","LC","D3_inv",0,0.0288062321702875,"LC"
"441","SVl25","LC","D3_inv",0,0.0664483410750957,"LC"
"442","SVl26","LC","D3_inv",0,0.0155769441788284,"LC"
"443","SVl27","LC","D3_inv",0,0.0376265561721914,"LC"
"444","SVl3","LC","D3_inv",0,0.00123033380951933,"LC"
"445","SVl4","LC","D3_inv",0,0.0014050430333808,"LC"
"446","SVl5","LC","D3_inv",0,0.000296030489258274,"LC"
"447","SVl6","LC","",0,NA,NA
"448","SVl7","LC","D3_inv",0,0.0137198424111816,"LC"
"449","SVl8","LC","D3_inv",0,0.0214924240812338,"LC"
"450","SVl9","LC","D3_inv",0,0.112752300617346,"LC"
"451","SVmp1","LC","D3_inv",0,0.0000316241613510943,"LC"
"452","SVmp2","LC","D3_inv",0,0.0000725469634901888,"LC"
"453","SVmp3","LC","",0,NA,NA
"454","SVmp4","LC","",0,NA,NA
"455","SVmp5","LC","",0,NA,NA
"456","SVmp6","LC","",0,NA,NA
"457","SVmp7","LC","D3_inv",0,0,"LC"
"458","SVmp8","LC","",0,NA,NA
"459","SVs1","LC","D3_inv",0,0.00311009976250885,"LC"
"460","SVs2","LC","D3_inv",0,0.0123352229201777,"LC"
"461","SVs3","LC","D3_inv",0,0.115259056527877,"LC"
"462","SVs4","LC","D3_inv",0,0.075621990689317,"LC"
"463","SVs5","LC","D3_inv",0,0.182556396744185,"LC"
"464","SVs6","LC","D3_inv",0,0.0835707114819484,"LC"
"465","SVs7","LC","D3_inv",0,0.0971798204237838,"LC"
"466","SVs8","LC","D3_step; D3_inv",0,0.0786386049716596,"LC"
