"","T_MAPCODE","EOO","AOO","sp_tot","sp_fire","sp_inv","sp_overg","ext2022","sp_km2","prp_fire","prp_inv","prp_overg","B1iii_sp","B2iii_sp"
"263","Gm25",885.1880331,12,11,3,10,5,103.7852,0.11,0.3,0.9,0.5,"LC","LC"
"264","Gm26",1116.678628,13,5,0,4,3,242.2212,0.02,0,0.8,0.6,"LC","LC"
"265","Gm27",1993.071714,20,1,0,1,1,261.144,0,0,1,1,"LC","LC"
"266","Gm28",808.2269192,10,5,2,1,1,91.556,0.05,0.4,0.2,0.2,"LC","LC"
"267","Gm29",20180.11738,40,3,0,1,0,502.7088,0.01,0,0.3,0,"LC","LC"
"268","Gm3",30463.63981,239,0,0,0,0,6008.3952,0,0,0,0,"LC","LC"
"269","Gm30",5659.921898,61,27,6,16,12,2611.3308,0.01,0.2,0.6,0.4,"LC","LC"
"270","Gm31",1690.665584,22,18,7,12,9,536.1616,0.03,0.4,0.7,0.5,"LC","LC"
"271","Gm4",35443.33609,258,4,1,4,4,7447.7704,0,0.2,1,1,"LC","LC"
"272","Gm5",37148.60795,228,3,0,2,3,2462.3852,0,0,0.7,1,"LC","LC"
"273","Gm6",13921.41552,138,2,0,2,2,5464.9784,0,0,1,1,"LC","LC"
"274","Gm7",13754.86264,9,0,0,0,0,27.6196,0,0,0,0,"LC","LC"
"275","Gm8",26759.68416,214,10,1,7,5,5504.348,0,0.1,0.7,0.5,"LC","LC"
"276","Gm9",5385.283129,38,5,1,3,3,435.8432,0.01,0.2,0.6,0.6,"LC","LC"
"277","Gs1",3870.448132,23,12,4,5,10,281.4492,0.04,0.3,0.4,0.8,"LC","LC"
"278","Gs10",54121.64895,266,26,9,12,19,7576.2196,0,0.3,0.5,0.7,"LC","LC"
"279","Gs11",5757.899612,49,9,3,4,5,1020.7256,0.01,0.3,0.4,0.6,"LC","LC"
"280","Gs12",16700.91936,166,6,1,2,5,4698.084,0,0.2,0.3,0.8,"LC","LC"
"281","Gs13",1438.42379,16,2,1,1,2,148.2664,0.01,0.5,0.5,1,"LC","LC"
"282","Gs14",11307.13894,96,0,0,0,0,2135.8588,0,0,0,0,"LC","LC"
"283","Gs15",13583.55945,124,2,0,0,1,3708.014,0,0,0,0.5,"LC","LC"
"284","Gs16",6853.747227,73,3,0,0,1,2980.22,0,0,0,0.3,"LC","LC"
"285","Gs17",27218.58012,200,2,1,1,2,4170.7988,0,0.5,0.5,1,"LC","LC"
"286","Gs18",5358.444453,42,2,0,1,1,1407.3916,0,0,0.5,0.5,"LC","LC"
"287","Gs19",21538.63015,107,24,10,17,18,1334.6488,0.02,0.4,0.7,0.8,"LC","LC"
"288","Gs2",11671.36702,61,8,2,6,6,1242.8228,0.01,0.2,0.8,0.8,"LC","LC"
"289","Gs20",24558.33591,160,45,18,26,31,2257.522,0.02,0.4,0.6,0.7,"LC","LC"
"290","Gs3",16228.08381,61,7,1,5,6,1563.8912,0,0.1,0.7,0.9,"LC","LC"
"291","Gs4",24918.266,169,16,5,11,13,4242.93,0,0.3,0.7,0.8,"LC","LC"
"292","Gs6",41839.55101,133,13,2,5,8,3303.6124,0,0.2,0.4,0.6,"LC","LC"
"293","Gs7",8098.094658,76,3,0,3,3,2366.6848,0,0,1,1,"LC","LC"
"294","Gs8",9437.14873,62,23,7,13,16,1664.26,0.01,0.3,0.6,0.7,"LC","LC"
"295","Gs9",23010.69293,135,54,20,26,38,2020.0288,0.03,0.4,0.5,0.7,"LC","LC"
"296","NKb1",54631.03793,219,2,0,0,2,4637.4332,0,0,0,1,"LC","LC"
"297","NKb2",1573.404357,20,2,0,0,2,601.392,0,0,0,1,"LC","LC"
"298","NKb3",114332.6315,685,7,0,0,5,40919.9956,0,0,0,0.7,"LC","LC"
"299","NKb4",39630.01153,95,0,0,0,0,2670.3192,0,0,0,0,"LC","LC"
"300","NKb5",34373.60113,203,0,0,0,0,8543.5324,0,0,0,0,"LC","LC"
"301","NKb6",63134.7663,563,1,0,0,1,40909.9712,0,0,0,1,"LC","LC"
"302","NKl1",28825.11208,275,5,0,0,5,20074.7364,0,0,0,1,"LC","LC"
"303","NKl2",18190.70532,155,3,0,0,3,8164.2908,0,0,0,1,"LC","LC"
"304","NKl4",5346.284014,31,1,0,0,1,683.2128,0,0,0,1,"LC","LC"
"305","NKu1",27601.06162,248,3,0,0,3,16965.0208,0,0,0,1,"LC","LC"
"306","NKu2",97641.6767,603,6,1,1,4,11706.3608,0,0.2,0.2,0.7,"LC","LC"
"307","NKu3",88583.21187,634,0,0,0,0,40004.2396,0,0,0,0,"LC","LC"
"308","NKu4",101007.8427,737,4,0,0,4,48084.2452,0,0,0,1,"LC","LC"
"309","SKk1",4512.490747,41,2,0,0,2,1666.85,0,0,0,1,"LC","LC"
"310","SKk2",782.1677445,9,2,0,1,0,129.1548,0.02,0,0.5,0,"LC","LC"
"311","SKk3",6998.020019,48,16,0,1,2,1298.8296,0.01,0,0.1,0.1,"LC","LC"
"312","SKk4",8051.443332,40,4,0,0,1,979.3724,0,0,0,0.2,"LC","LC"
"313","SKk5",4019.425582,37,19,1,4,7,829.1768,0.02,0.1,0.2,0.4,"LC","LC"
"314","SKk6",1793.959565,11,4,0,0,0,57.032,0.07,0,0,0,"LC","LC"
"315","SKk7",631.121688,8,18,3,4,4,130.8612,0.14,0.2,0.2,0.2,"LC","LC"
"316","SKk8",1125.737009,0,6,1,4,4,0.6316,9.5,0.2,0.7,0.7,"LC","LC"
"317","SKk9",2506.053724,20,1,0,1,0,140.2268,0.01,0,1,0,"LC","LC"
"318","SKn1",39308.88927,204,52,0,3,27,7342.0048,0.01,0,0.1,0.5,"LC","LC"
"319","SKn2",1107.328793,18,8,0,1,5,534.2036,0.01,0,0.1,0.6,"LC","LC"
"320","SKn3",12601.05549,104,18,0,2,10,2891.024,0.01,0,0.1,0.6,"LC","LC"
"321","SKn4",17280.72918,136,18,0,3,9,4581.266,0,0,0.2,0.5,"LC","LC"
"322","SKn5",2023.842537,26,3,0,0,2,650.5384,0,0,0,0.7,"LC","LC"
"323","SKn6",4399.343333,28,11,0,1,8,391.506,0.03,0,0.1,0.7,"LC","LC"
"324","SKn7",3919.086655,43,0,0,0,0,907.9312,0,0,0,0,"LC","LC"
"325","SKr1",2137.561117,30,58,0,4,52,1199.7416,0.05,0,0.1,0.9,"LC","LC"
"326","SKr10",144.3346894,3,5,0,0,5,127.1424,0.04,0,0,1,"LC","LC"
"327","SKr11",214.4363357,4,8,0,0,8,128.1204,0.06,0,0,1,"LC","LC"
"328","SKr12",1227.465574,17,15,0,0,11,611.8968,0.02,0,0,0.7,"LC","LC"
"329","SKr13",1638.55566,24,9,0,1,7,721.8316,0.01,0,0.1,0.8,"LC","LC"
"330","SKr14",1259.758031,14,8,0,0,1,365.2156,0.02,0,0,0.1,"LC","LC"
"331","SKr15",369.1462773,7,11,0,2,7,200.304,0.05,0,0.2,0.6,"LC","LC"
"332","SKr16",611.2946985,11,14,0,0,9,432.3352,0.03,0,0,0.6,"LC","LC"
"333","SKr17",509.0475642,11,4,0,0,3,259.666,0.02,0,0,0.8,"LC","LC"
"334","SKr18",10628.05109,67,14,0,0,3,812.362,0.02,0,0,0.2,"LC","LC"
"335","SKr19",6499.073941,35,4,0,0,1,367.7144,0.01,0,0,0.2,"LC","LC"
"336","SKr2",310.9232123,7,7,0,0,5,191.3312,0.04,0,0,0.7,"LC","LC"
"337","SKr3",188.9617241,5,10,0,1,10,170.7376,0.06,0,0.1,1,"LC","LC"
"338","SKr4",2980.053286,28,17,0,0,12,827.1612,0.02,0,0,0.7,"LC","LC"
"339","SKr5",20.44042552,2,9,0,0,1,18.3652,0.49,0,0,0.1,"LC","LC"
"340","SKr6",165.8484514,5,6,0,1,5,65.8232,0.09,0,0.2,0.8,"LC","LC"
"341","SKr7",2199.528039,19,7,0,0,6,326.5544,0.02,0,0,0.9,"LC","LC"
"342","SKr8",66.17438065,3,1,0,0,0,50.5104,0.02,0,0,0,"LC","LC"
"343","SKr9",4.207755122,1,1,0,0,1,3.2652,0.31,0,0,1,"LC","LC"
"344","SKs1",1304.176772,20,18,0,0,7,311.0076,0.06,0,0,0.4,"LC","LC"
"345","SKs10",243.9409375,4,3,0,0,1,133.9984,0.02,0,0,0.3,"LC","LC"
"346","SKs11",7954.436558,19,2,0,0,2,286.6852,0.01,0,0,1,"LC","LC"
"347","SKs12",2447.645116,19,7,1,1,2,423.524,0.02,0.1,0.1,0.3,"LC","LC"
"348","SKs13",853.5021802,12,20,1,5,4,108.1508,0.18,0,0.2,0.2,"LC","LC"
"349","SKs14",6694.115852,47,9,1,2,4,644.0144,0.01,0.1,0.2,0.4,"LC","LC"
"350","SKs2",821.4148715,14,12,0,0,8,524.9028,0.02,0,0,0.7,"LC","LC"
"351","SKs3",685.0390796,11,8,0,0,6,302.72,0.03,0,0,0.8,"LC","LC"
"352","SKs4",1236.36826,19,2,0,0,2,441.4408,0,0,0,1,"LC","LC"
"353","SKs5",993.2934924,15,4,0,0,4,565.6908,0.01,0,0,1,"LC","LC"
"354","SKs6",213.9441,5,3,0,0,2,122.7916,0.02,0,0,0.7,"LC","LC"
"355","SKs7",13857.28478,94,35,3,7,16,2540.0112,0.01,0.1,0.2,0.5,"LC","LC"
"356","SKs8",2567.075683,32,22,0,2,7,727.288,0.03,0,0.1,0.3,"LC","LC"
"357","SKs9",6931.679021,48,12,0,1,5,884.7432,0.01,0,0.1,0.4,"LC","LC"
"358","SKt1",877.0713217,7,0,0,0,0,101.3284,0,0,0,0,"LC","LC"
"359","SKt2",11398.74606,120,12,1,1,6,7313.0976,0,0.1,0.1,0.5,"LC","LC"
"360","SKt3",12514.79069,99,16,1,1,12,5222.7172,0,0.1,0.1,0.8,"LC","LC"
"361","SKv1",4077.196544,25,11,0,2,2,447.9824,0.02,0,0.2,0.2,"LC","LC"
"362","SKv10",4419.677244,28,14,0,3,11,226.2656,0.06,0,0.2,0.8,"LC","LC"
"363","SKv11",4790.322234,51,21,1,4,18,1369.166,0.02,0,0.2,0.9,"LC","LC"
"364","SKv13",5523.533369,59,2,0,0,2,2513.968,0,0,0,1,"LC","LC"
"365","SKv14",3468.004991,39,1,0,0,0,769.2448,0,0,0,0,"LC","LC"
"366","SKv2",1752.891124,23,3,0,2,0,557.15,0.01,0,0.7,0,"LC","LC"
"367","SKv3",3069.11865,32,10,1,2,4,902.9904,0.01,0.1,0.2,0.4,"LC","LC"
"368","SKv4",5580.268908,45,6,1,2,1,1313.5804,0,0.2,0.3,0.2,"LC","LC"
"369","SKv5",13660.2922,125,9,0,2,5,6923.8212,0,0,0.2,0.6,"LC","LC"
"370","SKv6",9123.828544,85,8,0,1,6,4674.8652,0,0,0.1,0.8,"LC","LC"
"371","SKv7",2838.393063,26,32,5,13,8,496.252,0.06,0.2,0.4,0.2,"LC","LC"
"372","SKv8",10270.17349,93,34,3,4,27,3931.7928,0.01,0.1,0.1,0.8,"LC","LC"
"373","SVcb1",18754.42525,173,1,0,0,0,5108.8792,0,0,0,0,"LC","LC"
"374","SVcb10",15533.94288,59,7,1,5,2,919.6632,0.01,0.1,0.7,0.3,"LC","LC"
"375","SVcb11",43221.30243,143,8,1,6,2,2493.6388,0,0.1,0.8,0.2,"LC","LC"
"376","SVcb12",41978.26708,319,3,0,2,2,10862.8848,0,0,0.7,0.7,"LC","LC"
"377","SVcb13",6610.415079,64,8,3,6,4,1920.4356,0,0.4,0.8,0.5,"LC","LC"
"378","SVcb14",1986.312374,25,1,1,1,1,441.2272,0,1,1,1,"LC","LC"
"379","SVcb15",13513.5201,121,3,1,1,3,2856.3324,0,0.3,0.3,1,"LC","LC"
"380","SVcb16",34133.49073,267,0,0,0,0,9880.8072,0,0,0,0,"LC","LC"
"381","SVcb17",20749.4781,183,5,1,2,0,8214.646,0,0.2,0.4,0,"LC","LC"
"382","SVcb18",10475.31971,98,1,0,0,0,5101.8224,0,0,0,0,"LC","LC"
"383","SVcb19",26724.5722,182,0,0,0,0,10665.7168,0,0,0,0,"LC","LC"
"384","SVcb2",6998.740086,41,1,0,0,0,1075.8564,0,0,0,0,"LC","LC"
"385","SVcb20",15278.59242,146,1,0,0,0,6219.6988,0,0,0,0,"LC","LC"
"386","SVcb21",8552.26669,79,12,3,2,7,3045.662,0,0.2,0.2,0.6,"LC","LC"
"387","SVcb22",1.114277259,0,1,0,0,1,0.5316,1.88,0,0,1,"LC","LC"
"388","SVcb23",6855.316109,70,7,1,2,4,2519.1048,0,0.1,0.3,0.6,"LC","LC"
"389","SVcb24",6744.264469,40,5,0,0,2,596.7168,0.01,0,0,0.4,"LC","LC"
"390","SVcb25",5826.595785,37,12,1,2,8,823.9772,0.01,0.1,0.2,0.7,"LC","LC"
"391","SVcb26",8376.351591,57,12,2,1,9,1747.8652,0.01,0.2,0.1,0.8,"LC","LC"
"392","SVcb27",4653.161972,50,10,1,1,6,1210.104,0.01,0.1,0.1,0.6,"LC","LC"
"393","SVcb28",6059.762359,51,15,1,2,11,1809.8568,0.01,0.1,0.1,0.7,"LC","LC"
"394","SVcb29",3340.106969,22,0,0,0,0,373.6608,0,0,0,0,"LC","LC"
"395","SVcb3",5638.601945,48,2,0,0,2,889.586,0,0,0,1,"LC","LC"
"396","SVcb4",21020.56572,142,3,1,1,2,3661.8716,0,0.3,0.3,0.7,"LC","LC"
"397","SVcb5",564.4748924,9,0,0,0,0,359.8116,0,0,0,0,"LC","LC"
"398","SVcb6",6427.25622,50,3,0,1,1,708.9796,0,0,0.3,0.3,"LC","LC"
"399","SVcb7",3265.492873,31,1,0,1,0,360.9508,0,0,1,0,"LC","LC"
"400","SVcb8",8118.074289,64,0,0,0,0,843.362,0,0,0,0,"LC","LC"
"401","SVcb9",36063.97631,134,12,2,6,2,2593.0128,0,0.2,0.5,0.2,"LC","LC"
"402","SVk1",31903.22462,229,1,0,0,0,12001.9708,0,0,0,0,"LC","LC"
"403","SVk10",64698.61384,222,0,0,0,0,5539.6844,0,0,0,0,"LC","LC"
"404","SVk11",22885.46613,192,0,0,0,0,13624.6808,0,0,0,0,"LC","LC"
"405","SVk12",12608.7486,116,0,0,0,0,7252.688,0,0,0,0,"LC","LC"
"406","SVk13",20772.29101,178,0,0,0,0,8409.2552,0,0,0,0,"LC","LC"
"407","SVk14",1543.554548,22,0,0,0,0,880.8224,0,0,0,0,"LC","LC"
"408","SVk15",12263.05505,82,0,0,0,0,1617.2148,0,0,0,0,"LC","LC"
"409","SVk16",42443.89966,151,0,0,0,0,7905.7652,0,0,0,0,"LC","LC"
"410","SVk17",36872.44651,176,0,0,0,0,3751.572,0,0,0,0,"LC","LC"
"411","SVk18",1312.457109,21,0,0,0,0,953.0492,0,0,0,0,"LC","LC"
"412","SVk2",17344.11899,94,1,0,0,0,3227.4224,0,0,0,0,"LC","LC"
"413","SVk3",1700.845545,24,1,0,0,0,576.2632,0,0,0,0,"LC","LC"
"414","SVk4",42742.66764,289,1,0,1,1,12455.3472,0,0,1,1,"LC","LC"
"415","SVk5",18756.64742,100,0,0,0,0,1418.3416,0,0,0,0,"LC","LC"
"416","SVk6",18032.2345,103,0,0,0,0,4220.3792,0,0,0,0,"LC","LC"
"417","SVk7",16619.50565,178,0,0,0,0,13112.6348,0,0,0,0,"LC","LC"
"418","SVk8",4434.208762,54,0,0,0,0,3235.7984,0,0,0,0,"LC","LC"
"419","SVk9",12050.6283,104,0,0,0,0,5504.2496,0,0,0,0,"LC","LC"
"420","SVkd1",105628.5252,641,0,0,0,0,37004.7196,0,0,0,0,"LC","LC"
"421","SVkd2",17823.73221,64,0,0,0,0,2239.5116,0,0,0,0,"LC","LC"
"422","SVkd3",8222.225073,56,0,0,0,0,2898.1184,0,0,0,0,"LC","LC"
"423","SVkd4",1946.198176,27,0,0,0,0,762.2544,0,0,0,0,"LC","LC"
"424","SVl1",11749.4717,55,3,0,0,1,1579.2596,0,0,0,0.3,"LC","LC"
"425","SVl10",2079.966729,23,4,1,1,1,615.1964,0.01,0.2,0.2,0.2,"LC","LC"
"426","SVl11",1310.267225,18,4,1,1,2,596.5872,0.01,0.2,0.2,0.5,"LC","LC"
"427","SVl12",1261.638471,18,3,1,1,1,368.3856,0.01,0.3,0.3,0.3,"LC","LC"
"428","SVl13",4106.51579,19,6,1,6,2,72.4612,0.08,0.2,1,0.3,"LC","LC"
"429","SVl14",17730.99517,118,4,0,2,0,3420.6212,0,0,0.5,0,"LC","LC"
"430","SVl15",4904.974415,45,2,0,0,0,1343.736,0,0,0,0,"LC","LC"
"431","SVl16",5667.109149,58,7,2,2,3,2251.9056,0,0.3,0.3,0.4,"LC","LC"
"432","SVl17",2069.040193,14,3,1,2,1,42.6524,0.07,0.3,0.7,0.3,"LC","LC"
"433","SVl18",2695.829502,33,5,1,1,3,865.0132,0.01,0.2,0.2,0.6,"LC","LC"
"434","SVl19",777.2303167,8,1,0,0,1,80.776,0.01,0,0,1,"LC","LC"
"435","SVl2",1350.443839,9,2,0,0,1,183.8284,0.01,0,0,0.5,"LC","LC"
"436","SVl20",5199.580571,48,3,2,2,3,648.648,0,0.7,0.7,1,"LC","LC"
"437","SVl21",4177.630137,30,1,0,0,1,268.5708,0,0,0,1,"LC","LC"
"438","SVl22",14455.00773,124,2,1,1,1,3681.678,0,0.5,0.5,0.5,"LC","LC"
"439","SVl23",27037.38453,153,12,3,6,6,5704.3004,0,0.2,0.5,0.5,"LC","LC"
"440","SVl24",922.5778268,16,0,0,0,0,182.28,0,0,0,0,"LC","LC"
"441","SVl25",1975.171934,24,6,2,2,3,472.9328,0.01,0.3,0.3,0.5,"LC","LC"
"442","SVl26",1465.706484,21,3,1,2,1,510.344,0.01,0.3,0.7,0.3,"LC","LC"
"443","SVl27",926.8109621,14,2,0,0,0,426.688,0,0,0,0,"LC","LC"
"444","SVl3",48356.32851,319,10,1,3,3,14882.14,0,0.1,0.3,0.3,"LC","LC"
"445","SVl4",7834.873993,62,3,0,0,1,1968.0536,0,0,0,0.3,"LC","LC"
"446","SVl5",7717.28972,69,4,0,1,2,2975.3692,0,0,0.2,0.5,"LC","LC"
"447","SVl6",5300.610784,32,1,0,0,0,757.7016,0,0,0,0,"LC","LC"
"448","SVl7",6210.888853,35,2,0,0,1,286.2132,0.01,0,0,0.5,"LC","LC"
"449","SVl8",9479.190325,68,4,2,2,2,1748.3556,0,0.5,0.5,0.5,"LC","LC"
"450","SVl9",8700.793382,66,6,1,1,0,1115.6136,0.01,0.2,0.2,0,"LC","LC"
"451","SVmp1",13632.69887,137,2,0,0,0,8133.022,0,0,0,0,"LC","LC"
"452","SVmp2",16194.61039,108,2,0,0,0,2718.2392,0,0,0,0,"LC","LC"
"453","SVmp3",821.9491823,11,0,0,0,0,276.878,0,0,0,0,"LC","LC"
"454","SVmp4",4734.15714,56,0,0,0,0,2800.2144,0,0,0,0,"LC","LC"
"455","SVmp5",12575.59988,105,0,0,0,0,4722.0828,0,0,0,0,"LC","LC"
"456","SVmp6",7578.342642,58,0,0,0,0,2431.4684,0,0,0,0,"LC","LC"
"457","SVmp7",4433.501829,46,0,0,0,0,2027.626,0,0,0,0,"LC","LC"
"458","SVmp8",2389.550753,25,0,0,0,0,310.2836,0,0,0,0,"LC","LC"
"459","SVs1",5121.834748,56,5,1,1,3,1972.284,0,0.2,0.2,0.6,"LC","LC"
"460","SVs2",8207.216277,73,6,1,3,4,1631.75,0,0.2,0.5,0.7,"LC","LC"
"461","SVs3",9073.263412,55,17,6,15,14,1014.296,0.02,0.4,0.9,0.8,"LC","LC"
"462","SVs4",4283.35206,25,3,2,2,2,325.9052,0.01,0.7,0.7,0.7,"LC","LC"
"463","SVs5",7395.012058,55,36,19,27,27,250.3336,0.14,0.5,0.8,0.8,"LC","LC"
"464","SVs6",64156.40512,297,25,10,18,18,7037.5756,0,0.4,0.7,0.7,"LC","LC"
"465","SVs7",32535.59538,194,15,4,7,12,4782.816,0,0.3,0.5,0.8,"LC","LC"
"466","SVs8",11358.69763,57,4,2,3,0,848.6824,0,0.5,0.8,0,"LC","LC"
